train_study,test_study,auc
PRJEB41443,PRJNA560950,0.6154258742759064
PRJEB41443,PRJNA780023,0.5079729729729731
PRJEB41443,PRJNA891951,0.49096385542168675
PRJEB41443,PRJNA293971,0.44375000000000003
PRJEB41443,PRJNA306884,0.5806837606837607
PRJEB41443,PRJNA428736,0.5943007870973972
PRJNA560950,PRJEB41443,0.630375823324293
PRJNA560950,PRJNA780023,0.48222972972972966
PRJNA560950,PRJNA891951,0.5357482561826252
PRJNA560950,PRJNA293971,0.6656250000000001
PRJNA560950,PRJNA306884,0.535982905982906
PRJNA560950,PRJNA428736,0.5614633130522961
PRJNA780023,PRJEB41443,0.49748159628051136
PRJNA780023,PRJNA560950,0.551705642565973
PRJNA780023,PRJNA891951,0.547816265060241
PRJNA780023,PRJNA293971,0.458125
PRJNA780023,PRJNA306884,0.4758119658119658
PRJNA780023,PRJNA428736,0.5296187647882564
PRJNA891951,PRJEB41443,0.46571096474234797
PRJNA891951,PRJNA560950,0.45451619824072087
PRJNA891951,PRJNA780023,0.526722972972973
PRJNA891951,PRJNA293971,0.56
PRJNA891951,PRJNA306884,0.4470940170940171
PRJNA891951,PRJNA428736,0.4915722029069487
PRJNA293971,PRJEB41443,0.454087562960093
PRJNA293971,PRJNA560950,0.6149431452478009
PRJNA293971,PRJNA780023,0.5037162162162162
PRJNA293971,PRJNA891951,0.4973842739378567
PRJNA293971,PRJNA306884,0.5526495726495726
PRJNA293971,PRJNA428736,0.4813939591481965
PRJNA306884,PRJEB41443,0.5784579620302208
PRJNA306884,PRJNA560950,0.6314095687620682
PRJNA306884,PRJNA780023,0.48861486486486483
PRJNA306884,PRJNA891951,0.49100348763474955
PRJNA306884,PRJNA293971,0.595625
PRJNA306884,PRJNA428736,0.5613471196098315
PRJNA428736,PRJEB41443,0.6917861294072064
PRJNA428736,PRJNA560950,0.6631087749409997
PRJNA428736,PRJNA780023,0.5087837837837837
PRJNA428736,PRJNA891951,0.521361762840837
PRJNA428736,PRJNA293971,0.535625
PRJNA428736,PRJNA306884,0.5906837606837607
