study,fold,auc
PRJEB41443,fold_1,0.6617647058823529
PRJEB41443,fold_2,1.0
PRJEB41443,fold_3,0.7638888888888888
PRJEB41443,fold_4,0.5944444444444446
PRJEB41443,fold_5,0.5324074074074074
PRJNA560950,fold_1,0.6711309523809523
PRJNA560950,fold_2,0.7828947368421052
PRJNA560950,fold_3,0.3535353535353535
PRJNA560950,fold_4,0.65875
PRJNA560950,fold_5,0.7005208333333333
PRJNA780023,fold_1,0.5016666666666667
PRJNA780023,fold_2,0.5672413793103448
PRJNA780023,fold_3,0.45
PRJNA780023,fold_4,0.5391666666666667
PRJNA780023,fold_5,0.6083333333333334
PRJNA891951,fold_1,0.5707142857142857
PRJNA891951,fold_2,0.6387310606060606
PRJNA891951,fold_3,0.6119081779053084
PRJNA891951,fold_4,0.6089154411764706
PRJNA891951,fold_5,0.597926267281106
PRJNA293971,fold_1,0.53125
PRJNA293971,fold_2,0.5
PRJNA293971,fold_3,0.625
PRJNA293971,fold_4,0.46875
PRJNA293971,fold_5,0.375
PRJNA306884,fold_1,0.6919642857142858
PRJNA306884,fold_2,0.6533333333333333
PRJNA306884,fold_3,0.48125
PRJNA306884,fold_4,0.60625
PRJNA306884,fold_5,0.61875
PRJNA428736,fold_1,0.5847578347578347
PRJNA428736,fold_2,0.5448221990775182
PRJNA428736,fold_3,0.6465278907139371
PRJNA428736,fold_4,0.6965432098765432
PRJNA428736,fold_5,0.6738138003292921
