train_study,test_study,auc
PRJEB41443,PRJNA560950,0.6796288350139456
PRJEB41443,PRJNA780023,0.4741891891891892
PRJEB41443,PRJNA891951,0.5788681039949269
PRJEB41443,PRJNA293971,0.5325
PRJEB41443,PRJNA306884,0.7173504273504273
PRJEB41443,PRJNA428736,0.5809008160703074
PRJNA560950,PRJEB41443,0.7191011235955057
PRJNA560950,PRJNA780023,0.4972972972972973
PRJNA560950,PRJNA891951,0.5213023145212429
PRJNA560950,PRJNA293971,0.55875
PRJNA560950,PRJNA306884,0.6257264957264957
PRJNA560950,PRJNA428736,0.5691290622434689
PRJNA780023,PRJEB41443,0.4672607516466486
PRJNA780023,PRJNA560950,0.5428556103840377
PRJNA780023,PRJNA891951,0.5427037095751427
PRJNA780023,PRJNA293971,0.6312499999999999
PRJNA780023,PRJNA306884,0.5483760683760683
PRJNA780023,PRJNA428736,0.5500461755758365
PRJNA891951,PRJEB41443,0.6319256102285936
PRJNA891951,PRJNA560950,0.6490023600085818
PRJNA891951,PRJNA780023,0.6002027027027027
PRJNA891951,PRJNA293971,0.746875
PRJNA891951,PRJNA306884,0.6134188034188034
PRJNA891951,PRJNA428736,0.5660431454922981
PRJNA293971,PRJEB41443,0.6321193335916312
PRJNA293971,PRJNA560950,0.6035185582493027
PRJNA293971,PRJNA780023,0.554358108108108
PRJNA293971,PRJNA891951,0.6022312935954344
PRJNA293971,PRJNA306884,0.5355555555555556
PRJNA293971,PRJNA428736,0.5773124004056208
PRJNA306884,PRJEB41443,0.7098024021697017
PRJNA306884,PRJNA560950,0.6901952370735894
PRJNA306884,PRJNA780023,0.5134121621621621
PRJNA306884,PRJNA891951,0.5233631896005073
PRJNA306884,PRJNA293971,0.580625
PRJNA306884,PRJNA428736,0.646842858177604
PRJNA428736,PRJEB41443,0.7181325067803177
PRJNA428736,PRJNA560950,0.6346813988414504
PRJNA428736,PRJNA780023,0.5307432432432432
PRJNA428736,PRJNA891951,0.5581999048826888
PRJNA428736,PRJNA293971,0.6181249999999999
PRJNA428736,PRJNA306884,0.7917094017094018
