train_study,test_study,auc
PRJEB41443,PRJNA560950,0.647929628835014
PRJEB41443,PRJNA780023,0.5005067567567567
PRJEB41443,PRJNA891951,0.5690987634749525
PRJEB41443,PRJNA293971,0.5974999999999999
PRJEB41443,PRJNA306884,0.7425641025641027
PRJEB41443,PRJNA428736,0.6714637959341349
PRJNA560950,PRJEB41443,0.7132894227043781
PRJNA560950,PRJNA780023,0.5610135135135135
PRJNA560950,PRJNA891951,0.5550689600507294
PRJNA560950,PRJNA293971,0.619375
PRJNA560950,PRJNA306884,0.6071794871794871
PRJNA560950,PRJNA428736,0.5584754816746342
PRJNA780023,PRJEB41443,0.5594730724525377
PRJNA780023,PRJNA560950,0.6252950010727311
PRJNA780023,PRJNA891951,0.5429415028535193
PRJNA780023,PRJNA293971,0.499375
PRJNA780023,PRJNA306884,0.4869230769230769
PRJNA780023,PRJNA428736,0.5274216524216525
PRJNA891951,PRJEB41443,0.6784192173576135
PRJNA891951,PRJNA560950,0.5874275906457841
PRJNA891951,PRJNA780023,0.5531418918918918
PRJNA891951,PRJNA293971,0.495
PRJNA891951,PRJNA306884,0.6217948717948718
PRJNA891951,PRJNA428736,0.5496342170070984
PRJNA293971,PRJEB41443,0.6235955056179775
PRJNA293971,PRJNA560950,0.6144604162196953
PRJNA293971,PRJNA780023,0.4918243243243243
PRJNA293971,PRJNA891951,0.5171607482561826
PRJNA293971,PRJNA306884,0.6249572649572649
PRJNA293971,PRJNA428736,0.5846356052923849
PRJNA306884,PRJEB41443,0.7274312282061217
PRJNA306884,PRJNA560950,0.549935636129586
PRJNA306884,PRJNA780023,0.5038175675675676
PRJNA306884,PRJNA891951,0.5496393468611287
PRJNA306884,PRJNA293971,0.6025
PRJNA306884,PRJNA428736,0.6862203631271429
PRJNA428736,PRJEB41443,0.7297559085625727
PRJNA428736,PRJNA560950,0.6112422226989915
PRJNA428736,PRJNA780023,0.5063851351351352
PRJNA428736,PRJNA891951,0.5828709575142675
PRJNA428736,PRJNA293971,0.614375
PRJNA428736,PRJNA306884,0.8264957264957264
