study,fold,auc
PRJEB41443,fold_1,0.892156862745098
PRJEB41443,fold_2,0.9074074074074074
PRJEB41443,fold_3,0.787037037037037
PRJEB41443,fold_4,0.8777777777777778
PRJEB41443,fold_5,0.7361111111111112
PRJNA560950,fold_1,0.5565476190476191
PRJNA560950,fold_2,0.7171052631578947
PRJNA560950,fold_3,0.5589225589225589
PRJNA560950,fold_4,0.53625
PRJNA560950,fold_5,0.6484375
PRJNA780023,fold_1,0.48749999999999993
PRJNA780023,fold_2,0.5129310344827586
PRJNA780023,fold_3,0.44396551724137934
PRJNA780023,fold_4,0.6291666666666667
PRJNA780023,fold_5,0.5233333333333334
PRJNA891951,fold_1,0.7335714285714284
PRJNA891951,fold_2,0.6837121212121212
PRJNA891951,fold_3,0.6423959827833573
PRJNA891951,fold_4,0.6341911764705882
PRJNA891951,fold_5,0.6261520737327189
PRJNA293971,fold_1,0.625
PRJNA293971,fold_2,0.75
PRJNA293971,fold_3,0.75
PRJNA293971,fold_4,0.4375
PRJNA293971,fold_5,0.71875
PRJNA306884,fold_1,0.7120535714285714
PRJNA306884,fold_2,0.8044444444444444
PRJNA306884,fold_3,0.6708333333333334
PRJNA306884,fold_4,0.9041666666666667
PRJNA306884,fold_5,0.8166666666666667
PRJNA428736,fold_1,0.6606125356125355
PRJNA428736,fold_2,0.7304344591578634
PRJNA428736,fold_3,0.7936249796714913
PRJNA428736,fold_4,0.813615520282187
PRJNA428736,fold_5,0.8260739410267924
