fid	AUC	study
1	AB233029	0.471910112359551	PRJEB41443
2	AB233029	0.5	PRJNA560950
3	AB233029	0.496148648648649	PRJNA780023
4	AB233029	0.489338934686113	PRJNA891951
5	AB233029	0.5	PRJNA293971
6	AB233029	0.444529914529915	PRJNA306884
7	AB233029	0.460640603119417	PRJNA428736
8	AB266102	0.471910112359551	PRJEB41443
9	AB266102	0.527140098691268	PRJNA560950
10	AB266102	0.472432432432432	PRJNA780023
11	AB266102	0.465678503487635	PRJNA891951
12	AB266102	0.5	PRJNA293971
13	AB266102	0.471367521367521	PRJNA306884
14	AB266102	0.469756506832778	PRJNA428736
15	G000469345	0.397132894227044	PRJEB41443
16	G000469345	0.40742329972109	PRJNA560950
17	G000469345	0.465608108108108	PRJNA780023
18	G000469345	0.491558338617628	PRJNA891951
19	G000469345	0.5	PRJNA293971
20	G000469345	0.398119658119658	PRJNA306884
21	G000469345	0.436467840069535	PRJNA428736
22	G900539055	0.442851607903913	PRJEB41443
23	G900539055	0.506865479510835	PRJNA560950
24	G900539055	0.516925675675676	PRJNA780023
25	G900539055	0.463280754597337	PRJNA891951
26	G900539055	0.435625	PRJNA293971
27	G900539055	0.482136752136752	PRJNA306884
28	G900539055	0.495527306967985	PRJNA428736
29	G902363025	0.450213095699341	PRJEB41443
30	G902363025	0.432203389830508	PRJNA560950
31	G902363025	0.484527027027027	PRJNA780023
32	G902363025	0.516169942929613	PRJNA891951
33	G902363025	0.558125	PRJNA293971
34	G902363025	0.383418803418803	PRJNA306884
35	G902363025	0.453453208749819	PRJNA428736
36	GB-GCA-900542515.1-UQOA01000002.1	0.409531189461449	PRJEB41443
37	GB-GCA-900542515.1-UQOA01000002.1	0.499034541943789	PRJNA560950
38	GB-GCA-900542515.1-UQOA01000002.1	0.495	PRJNA780023
39	GB-GCA-900542515.1-UQOA01000002.1	0.483631896005073	PRJNA891951
40	GB-GCA-900542515.1-UQOA01000002.1	0.48625	PRJNA293971
41	GB-GCA-900542515.1-UQOA01000002.1	0.485042735042735	PRJNA306884
42	GB-GCA-900542515.1-UQOA01000002.1	0.480385943309672	PRJNA428736
43	GB-GCA-900762515.1-CAAFHA010000156.1	0.41108097636575	PRJEB41443
44	GB-GCA-900762515.1-CAAFHA010000156.1	0.42946792533791	PRJNA560950
45	GB-GCA-900762515.1-CAAFHA010000156.1	0.452736486486486	PRJNA780023
46	GB-GCA-900762515.1-CAAFHA010000156.1	0.5	PRJNA891951
47	GB-GCA-900762515.1-CAAFHA010000156.1	0.5	PRJNA293971
48	GB-GCA-900762515.1-CAAFHA010000156.1	0.332820512820513	PRJNA306884
49	GB-GCA-900762515.1-CAAFHA010000156.1	0.478406127770535	PRJNA428736
50	GB-GCA-900767615.1-CAAFZU010000193.1	0.485083301046106	PRJEB41443
51	GB-GCA-900767615.1-CAAFZU010000193.1	0.372613173138811	PRJNA560950
52	GB-GCA-900767615.1-CAAFZU010000193.1	0.422027027027027	PRJNA780023
53	GB-GCA-900767615.1-CAAFZU010000193.1	0.447150443880786	PRJNA891951
54	GB-GCA-900767615.1-CAAFZU010000193.1	0.4725	PRJNA293971
55	GB-GCA-900767615.1-CAAFZU010000193.1	0.510598290598291	PRJNA306884
56	GB-GCA-900767615.1-CAAFZU010000193.1	0.477026896518422	PRJNA428736
57	KR364771	0.5	PRJEB41443
58	KR364771	0.492383608667668	PRJNA560950
59	KR364771	0.500472972972973	PRJNA780023
60	KR364771	0.5	PRJNA891951
61	KR364771	0.5	PRJNA293971
62	KR364771	0.438461538461539	PRJNA306884
63	KR364771	0.459362475252306	PRJNA428736
64	KY978733	0.5	PRJEB41443
65	KY978733	0.5	PRJNA560950
66	KY978733	0.456047297297297	PRJNA780023
67	KY978733	0.480619847812302	PRJNA891951
68	KY978733	0.47	PRJNA293971
69	KY978733	0.483076923076923	PRJNA306884
70	KY978733	0.454056811048337	PRJNA428736
71	LC487980	0.501549786904301	PRJEB41443
72	LC487980	0.496513623685904	PRJNA560950
73	LC487980	0.5	PRJNA780023
74	LC487980	0.506024096385542	PRJNA891951
75	LC487980	0.5	PRJNA293971
76	LC487980	0.5	PRJNA306884
77	LC487980	0.520889166545946	PRJNA428736
78	MJ006-1-barcode31-umi166219bins-ubs-3	0.5	PRJEB41443
79	MJ006-1-barcode31-umi166219bins-ubs-3	0.5	PRJNA560950
80	MJ006-1-barcode31-umi166219bins-ubs-3	0.5	PRJNA780023
81	MJ006-1-barcode31-umi166219bins-ubs-3	0.484424540266328	PRJNA891951
82	MJ006-1-barcode31-umi166219bins-ubs-3	0.5	PRJNA293971
83	MJ006-1-barcode31-umi166219bins-ubs-3	0.446153846153846	PRJNA306884
84	MJ006-1-barcode31-umi166219bins-ubs-3	0.432690798686561	PRJNA428736
85	MJ006-1-barcode33-umi150609bins-ubs-3	0.5	PRJEB41443
86	MJ006-1-barcode33-umi150609bins-ubs-3	0.5	PRJNA560950
87	MJ006-1-barcode33-umi150609bins-ubs-3	0.446081081081081	PRJNA780023
88	MJ006-1-barcode33-umi150609bins-ubs-3	0.464905675332911	PRJNA891951
89	MJ006-1-barcode33-umi150609bins-ubs-3	0.5	PRJNA293971
90	MJ006-1-barcode33-umi150609bins-ubs-3	0.409145299145299	PRJNA306884
91	MJ006-1-barcode33-umi150609bins-ubs-3	0.406790224057173	PRJNA428736
92	MJ006-1-barcode37-umi101248bins-ubs-4	0.5	PRJEB41443
93	MJ006-1-barcode37-umi101248bins-ubs-4	0.449957090753057	PRJNA560950
94	MJ006-1-barcode37-umi101248bins-ubs-4	0.5	PRJNA780023
95	MJ006-1-barcode37-umi101248bins-ubs-4	0.462725903614458	PRJNA891951
96	MJ006-1-barcode37-umi101248bins-ubs-4	0.36	PRJNA293971
97	MJ006-1-barcode37-umi101248bins-ubs-4	0.5	PRJNA306884
98	MJ006-1-barcode37-umi101248bins-ubs-4	0.5	PRJNA428736
99	MJ006-1-barcode39-umi169644bins-ubs-3	0.5	PRJEB41443
100	MJ006-1-barcode39-umi169644bins-ubs-3	0.618268611885861	PRJNA560950
101	MJ006-1-barcode39-umi169644bins-ubs-3	0.562027027027027	PRJNA780023
102	MJ006-1-barcode39-umi169644bins-ubs-3	0.493421052631579	PRJNA891951
103	MJ006-1-barcode39-umi169644bins-ubs-3	0.5	PRJNA293971
104	MJ006-1-barcode39-umi169644bins-ubs-3	0.534102564102564	PRJNA306884
105	MJ006-1-barcode39-umi169644bins-ubs-3	0.518109577961273	PRJNA428736
106	MJ006-1-barcode39-umi72580bins-ubs-5	0.43025958930647	PRJEB41443
107	MJ006-1-barcode39-umi72580bins-ubs-5	0.454569834799399	PRJNA560950
108	MJ006-1-barcode39-umi72580bins-ubs-5	0.51722972972973	PRJNA780023
109	MJ006-1-barcode39-umi72580bins-ubs-5	0.45804930247305	PRJNA891951
110	MJ006-1-barcode39-umi72580bins-ubs-5	0.5	PRJNA293971
111	MJ006-1-barcode39-umi72580bins-ubs-5	0.447863247863248	PRJNA306884
112	MJ006-1-barcode39-umi72580bins-ubs-5	0.489524482109228	PRJNA428736
113	MJ006-1-barcode40-umi86277bins-ubs-5	0.5	PRJEB41443
114	MJ006-1-barcode40-umi86277bins-ubs-5	0.332922119716799	PRJNA560950
115	MJ006-1-barcode40-umi86277bins-ubs-5	0.495540540540541	PRJNA780023
116	MJ006-1-barcode40-umi86277bins-ubs-5	0.49643310082435	PRJNA891951
117	MJ006-1-barcode40-umi86277bins-ubs-5	0.5	PRJNA293971
118	MJ006-1-barcode40-umi86277bins-ubs-5	0.487350427350427	PRJNA306884
119	MJ006-1-barcode40-umi86277bins-ubs-5	0.486120165145589	PRJNA428736
120	MJ006-1-barcode42-umi145145bins-ubs-4	0.51840371948857	PRJEB41443
121	MJ006-1-barcode42-umi145145bins-ubs-4	0.590753057283845	PRJNA560950
122	MJ006-1-barcode42-umi145145bins-ubs-4	0.488108108108108	PRJNA780023
123	MJ006-1-barcode42-umi145145bins-ubs-4	0.511136651870641	PRJNA891951
124	MJ006-1-barcode42-umi145145bins-ubs-4	0.49125	PRJNA293971
125	MJ006-1-barcode42-umi145145bins-ubs-4	0.565470085470085	PRJNA306884
126	MJ006-1-barcode42-umi145145bins-ubs-4	0.511897001303781	PRJNA428736
127	MJ006-1-barcode42-umi174216bins-ubs-3	0.5	PRJEB41443
128	MJ006-1-barcode42-umi174216bins-ubs-3	0.5	PRJNA560950
129	MJ006-1-barcode42-umi174216bins-ubs-3	0.527972972972973	PRJNA780023
130	MJ006-1-barcode42-umi174216bins-ubs-3	0.477092580849715	PRJNA891951
131	MJ006-1-barcode42-umi174216bins-ubs-3	0.5	PRJNA293971
