fid	AUC	study
1	AA10	0.497869043006587	PRJEB41443
2	AA10	0.450761639133233	PRJNA560950
3	AA10	0.438141891891892	PRJNA780023
4	AA10	0.468214965123653	PRJNA891951
5	AA10	0.5625	PRJNA293971
6	AA10	0.502222222222222	PRJNA306884
7	AA10	0.484934086629002	PRJNA428736
8	CBM15	0.5	PRJEB41443
9	CBM15	0.487341772151899	PRJNA560950
10	CBM15	0.49472972972973	PRJNA780023
11	CBM15	0.493421052631579	PRJNA891951
12	CBM15	0.5	PRJNA293971
13	CBM15	0.5	PRJNA306884
14	CBM15	0.500408940557246	PRJNA428736
15	CBM20	0.5	PRJEB41443
16	CBM20	0.487341772151899	PRJNA560950
17	CBM20	0.4925	PRJNA780023
18	CBM20	0.495283766645529	PRJNA891951
19	CBM20	0.5	PRJNA293971
20	CBM20	0.5	PRJNA306884
21	CBM20	0.500027162103433	PRJNA428736
22	CBM48	0.554823711739636	PRJEB41443
23	CBM48	0.495065436601588	PRJNA560950
24	CBM48	0.46472972972973	PRJNA780023
25	CBM48	0.492707672796449	PRJNA891951
26	CBM48	0.48625	PRJNA293971
27	CBM48	0.508034188034188	PRJNA306884
28	CBM48	0.542891979332657	PRJNA428736
29	CBM50	0.547074777218132	PRJEB41443
30	CBM50	0.554065651147822	PRJNA560950
31	CBM50	0.526689189189189	PRJNA780023
32	CBM50	0.465202916930881	PRJNA891951
33	CBM50	0.55	PRJNA293971
34	CBM50	0.502735042735043	PRJNA306884
35	CBM50	0.503838910618572	PRJNA428736
36	CBM6	0.433940333204184	PRJEB41443
37	CBM6	0.409461488950869	PRJNA560950
38	CBM6	0.504527027027027	PRJNA780023
39	CBM6	0.477548351299937	PRJNA891951
40	CBM6	0.375	PRJNA293971
41	CBM6	0.434188034188034	PRJNA306884
42	CBM6	0.421365710560626	PRJNA428736
43	CBM73	0.484695854320031	PRJEB41443
44	CBM73	0.408603304012015	PRJNA560950
45	CBM73	0.441114864864865	PRJNA780023
46	CBM73	0.46789790741915	PRJNA891951
47	CBM73	0.5375	PRJNA293971
48	CBM73	0.513846153846154	PRJNA306884
49	CBM73	0.475068207059732	PRJNA428736
50	CE1	0.408368849283224	PRJEB41443
51	CE1	0.436601587642137	PRJNA560950
52	CE1	0.499864864864865	PRJNA780023
53	CE1	0.515892517438174	PRJNA891951
54	CE1	0.51875	PRJNA293971
55	CE1	0.476923076923077	PRJNA306884
56	CE1	0.419400985078951	PRJNA428736
57	CE10	0.395195660596668	PRJEB41443
58	CE10	0.527783737395409	PRJNA560950
59	CE10	0.496554054054054	PRJNA780023
60	CE10	0.541296766011414	PRJNA891951
61	CE10	0.5025	PRJNA293971
62	CE10	0.459145299145299	PRJNA306884
63	CE10	0.485154401467961	PRJNA428736
64	GH101	0.49360712901976	PRJEB41443
65	GH101	0.490452692555246	PRJNA560950
66	GH101	0.449459459459459	PRJNA780023
67	GH101	0.499445149017121	PRJNA891951
68	GH101	0.4525	PRJNA293971
69	GH101	0.433504273504274	PRJNA306884
70	GH101	0.468437635810517	PRJNA428736
71	GH102	0.450213095699341	PRJEB41443
72	GH102	0.522420081527569	PRJNA560950
73	GH102	0.497736486486487	PRJNA780023
74	GH102	0.496076410906785	PRJNA891951
75	GH102	0.5	PRJNA293971
76	GH102	0.521538461538462	PRJNA306884
77	GH102	0.513985465256652	PRJNA428736
78	GH103	0.453312669507943	PRJEB41443
79	GH103	0.514910963312594	PRJNA560950
80	GH103	0.493040540540541	PRJNA780023
81	GH103	0.550848129359543	PRJNA891951
82	GH103	0.51875	PRJNA293971
83	GH103	0.535726495726496	PRJNA306884
84	GH103	0.513873798831426	PRJNA428736
85	GH105	0.524602867105773	PRJEB41443
86	GH105	0.460845312164771	PRJNA560950
87	GH105	0.553378378378378	PRJNA780023
88	GH105	0.54181198478123	PRJNA891951
89	GH105	0.47	PRJNA293971
90	GH105	0.451452991452991	PRJNA306884
91	GH105	0.47540320633541	PRJNA428736
92	GH116	0.466098411468423	PRJEB41443
93	GH116	0.370414074232997	PRJNA560950
94	GH116	0.522027027027027	PRJNA780023
95	GH116	0.498850665821179	PRJNA891951
96	GH116	0.53125	PRJNA293971
97	GH116	0.512478632478633	PRJNA306884
98	GH116	0.464894490318219	PRJNA428736
99	GH121	0.456412243316544	PRJEB41443
100	GH121	0.469105342201244	PRJNA560950
101	GH121	0.486756756756757	PRJNA780023
102	GH121	0.478836398224477	PRJNA891951
103	GH121	0.526875	PRJNA293971
104	GH121	0.512307692307692	PRJNA306884
105	GH121	0.483913998744507	PRJNA428736
106	GH127	0.632700503680744	PRJEB41443
107	GH127	0.579811199313452	PRJNA560950
108	GH127	0.499324324324324	PRJNA780023
109	GH127	0.500733195941661	PRJNA891951
110	GH127	0.55	PRJNA293971
111	GH127	0.374700854700855	PRJNA306884
112	GH127	0.566427941957603	PRJNA428736
113	GH13	0.525765207283998	PRJEB41443
114	GH13	0.527998283630122	PRJNA560950
115	GH13	0.45777027027027	PRJNA780023
116	GH13	0.48244292961319	PRJNA891951
117	GH13	0.49625	PRJNA293971
118	GH13	0.49042735042735	PRJNA306884
119	GH13	0.546598097445555	PRJNA428736
120	GH130	0.551336691204959	PRJEB41443
121	GH130	0.489701780733748	PRJNA560950
122	GH130	0.510405405405405	PRJNA780023
123	GH130	0.473842739378567	PRJNA891951
124	GH130	0.49125	PRJNA293971
125	GH130	0.533333333333333	PRJNA306884
126	GH130	0.493423752957651	PRJNA428736
127	GH15	0.418829910887253	PRJEB41443
128	GH15	0.435207037116499	PRJNA560950
129	GH15	0.50277027027027	PRJNA780023
