fid	AUC	study
1	ko:K00042	0.325067803177063	PRJEB41443
2	ko:K00042	0.391868697704355	PRJNA560950
3	ko:K00042	0.464054054054054	PRJNA780023
4	ko:K00042	0.439402346227013	PRJNA891951
5	ko:K00042	0.35375	PRJNA293971
6	ko:K00042	0.35965811965812	PRJNA306884
7	ko:K00042	0.402143995364334	PRJNA428736
8	ko:K00087	0.369624176675707	PRJEB41443
9	ko:K00087	0.375134091396696	PRJNA560950
10	ko:K00087	0.450945945945946	PRJNA780023
11	ko:K00087	0.435478757133798	PRJNA891951
12	ko:K00087	0.5	PRJNA293971
13	ko:K00087	0.373846153846154	PRJNA306884
14	ko:K00087	0.419871794871795	PRJNA428736
15	ko:K00171	0.397907787679194	PRJEB41443
16	ko:K00171	0.444110705857112	PRJNA560950
17	ko:K00171	0.491689189189189	PRJNA780023
18	ko:K00171	0.406864299302473	PRJNA891951
19	ko:K00171	0.34125	PRJNA293971
20	ko:K00171	0.34957264957265	PRJNA306884
21	ko:K00171	0.434353723018977	PRJNA428736
22	ko:K00219	0.441301820999613	PRJEB41443
23	ko:K00219	0.376206822570264	PRJNA560950
24	ko:K00219	0.434324324324324	PRJNA780023
25	ko:K00219	0.451173113506658	PRJNA891951
26	ko:K00219	0.5575	PRJNA293971
27	ko:K00219	0.425128205128205	PRJNA306884
28	ko:K00219	0.494872398474093	PRJNA428736
29	ko:K00318	0.505811700891127	PRJEB41443
30	ko:K00318	0.6891761424587	PRJNA560950
31	ko:K00318	0.486317567567568	PRJNA780023
32	ko:K00318	0.535946417247939	PRJNA891951
33	ko:K00318	0.575	PRJNA293971
34	ko:K00318	0.447606837606838	PRJNA306884
35	ko:K00318	0.428960536481723	PRJNA428736
36	ko:K00674	0.519566059666796	PRJEB41443
37	ko:K00674	0.4826217549882	PRJNA560950
38	ko:K00674	0.461891891891892	PRJNA780023
39	ko:K00674	0.40638871274572	PRJNA891951
40	ko:K00674	0.60125	PRJNA293971
41	ko:K00674	0.661367521367521	PRJNA306884
42	ko:K00674	0.565029093630788	PRJNA428736
43	ko:K00851	0.697791553661372	PRJEB41443
44	ko:K00851	0.495601802188372	PRJNA560950
45	ko:K00851	0.464459459459459	PRJNA780023
46	ko:K00851	0.502041058972733	PRJNA891951
47	ko:K00851	0.56375	PRJNA293971
48	ko:K00851	0.666752136752137	PRJNA306884
49	ko:K00851	0.605292384953402	PRJNA428736
50	ko:K00999	0.695466873304921	PRJEB41443
51	ko:K00999	0.558624758635486	PRJNA560950
52	ko:K00999	0.45125	PRJNA780023
53	ko:K00999	0.542465916296766	PRJNA891951
54	ko:K00999	0.461875	PRJNA293971
55	ko:K00999	0.66991452991453	PRJNA306884
56	ko:K00999	0.586822154618765	PRJNA428736
57	ko:K01200	0.82448663308795	PRJEB41443
58	ko:K01200	0.560716584423943	PRJNA560950
59	ko:K01200	0.442702702702703	PRJNA780023
60	ko:K01200	0.521916613823716	PRJNA891951
61	ko:K01200	0.51375	PRJNA293971
62	ko:K01200	0.756239316239316	PRJNA306884
63	ko:K01200	0.643376671978367	PRJNA428736
64	ko:K01210	0.701666020922123	PRJEB41443
65	ko:K01210	0.564471143531431	PRJNA560950
66	ko:K01210	0.485945945945946	PRJNA780023
67	ko:K01210	0.49215282181357	PRJNA891951
68	ko:K01210	0.545	PRJNA293971
69	ko:K01210	0.695726495726496	PRJNA306884
70	ko:K01210	0.612363585880535	PRJNA428736
71	ko:K01213	0.283029833397908	PRJEB41443
72	ko:K01213	0.412465136236859	PRJNA560950
73	ko:K01213	0.559459459459459	PRJNA780023
74	ko:K01213	0.493916455294864	PRJNA891951
75	ko:K01213	0.375	PRJNA293971
76	ko:K01213	0.317777777777778	PRJNA306884
77	ko:K01213	0.41133534936501	PRJNA428736
78	ko:K01226	0.2932971716389	PRJEB41443
79	ko:K01226	0.408925123364085	PRJNA560950
80	ko:K01226	0.45722972972973	PRJNA780023
81	ko:K01226	0.440908370323399	PRJNA891951
82	ko:K01226	0.485	PRJNA293971
83	ko:K01226	0.357264957264957	PRJNA306884
84	ko:K01226	0.399177290067121	PRJNA428736
85	ko:K01337	0.519178612940721	PRJEB41443
86	ko:K01337	0.688425230637202	PRJNA560950
87	ko:K01337	0.498648648648649	PRJNA780023
88	ko:K01337	0.529743975903614	PRJNA891951
89	ko:K01337	0.52625	PRJNA293971
90	ko:K01337	0.458632478632479	PRJNA306884
91	ko:K01337	0.424362595972765	PRJNA428736
92	ko:K01354	0.703990701278574	PRJEB41443
93	ko:K01354	0.567582063934778	PRJNA560950
94	ko:K01354	0.484054054054054	PRJNA780023
95	ko:K01354	0.505984464172479	PRJNA891951
96	ko:K01354	0.53625	PRJNA293971
97	ko:K01354	0.665982905982906	PRJNA306884
98	ko:K01354	0.618870418658554	PRJNA428736
99	ko:K01361	0.410693529639675	PRJEB41443
100	ko:K01361	0.380605020381892	PRJNA560950
101	ko:K01361	0.446689189189189	PRJNA780023
102	ko:K01361	0.405992390615092	PRJNA891951
103	ko:K01361	0.52625	PRJNA293971
104	ko:K01361	0.381367521367521	PRJNA306884
105	ko:K01361	0.467592592592593	PRJNA428736
106	ko:K01389	0.710383572258814	PRJEB41443
107	ko:K01389	0.568279339197597	PRJNA560950
108	ko:K01389	0.485337837837838	PRJNA780023
109	ko:K01389	0.512543595434369	PRJNA891951
110	ko:K01389	0.508125	PRJNA293971
111	ko:K01389	0.662564102564103	PRJNA306884
112	ko:K01389	0.61709280988942	PRJNA428736
113	ko:K01428	0.408756296009299	PRJEB41443
114	ko:K01428	0.361081313022956	PRJNA560950
115	ko:K01428	0.457972972972973	PRJNA780023
116	ko:K01428	0.430564362714014	PRJNA891951
117	ko:K01428	0.51375	PRJNA293971
118	ko:K01428	0.362735042735043	PRJNA306884
119	ko:K01428	0.428313173016563	PRJNA428736
120	ko:K01429	0.408756296009299	PRJEB41443
121	ko:K01429	0.360759493670886	PRJNA560950
122	ko:K01429	0.460878378378378	PRJNA780023
123	ko:K01429	0.430683259353202	PRJNA891951
124	ko:K01429	0.5125	PRJNA293971
125	ko:K01429	0.362564102564103	PRJNA306884
126	ko:K01429	0.429028441740306	PRJNA428736
127	ko:K01430	0.419217357613328	PRJEB41443
128	ko:K01430	0.36665951512551	PRJNA560950
129	ko:K01430	0.457094594594595	PRJNA780023
130	ko:K01430	0.430762523779328	PRJNA891951
131	ko:K01430	0.53375	PRJNA293971
132	ko:K01430	0.346153846153846	PRJNA306884
133	ko:K01430	0.424338451880825	PRJNA428736
134	ko:K01452	0.38938395970554	PRJEB41443
135	ko:K01452	0.409997854537653	PRJNA560950
136	ko:K01452	0.434189189189189	PRJNA780023
137	ko:K01452	0.480837824984147	PRJNA891951
138	ko:K01452	0.5525	PRJNA293971
139	ko:K01452	0.345384615384615	PRJNA306884
140	ko:K01452	0.483301342411512	PRJNA428736
141	ko:K01485	0.674544750096862	PRJEB41443
142	ko:K01485	0.447436172495173	PRJNA560950
143	ko:K01485	0.43472972972973	PRJNA780023
144	ko:K01485	0.468849080532657	PRJNA891951
145	ko:K01485	0.57375	PRJNA293971
146	ko:K01485	0.663076923076923	PRJNA306884
147	ko:K01485	0.602328697667681	PRJNA428736
148	ko:K01697	0.704378148004649	PRJEB41443
149	ko:K01697	0.460416219695344	PRJNA560950
150	ko:K01697	0.506013513513514	PRJNA780023
151	ko:K01697	0.501902346227013	PRJNA891951
152	ko:K01697	0.43125	PRJNA293971
153	ko:K01697	0.667350427350427	PRJNA306884
154	ko:K01697	0.54188094548264	PRJNA428736
155	ko:K01728	0.383184812088338	PRJEB41443
156	ko:K01728	0.356683115211328	PRJNA560950
157	ko:K01728	0.533918918918919	PRJNA780023
158	ko:K01728	0.482423113506658	PRJNA891951
159	ko:K01728	0.375	PRJNA293971
160	ko:K01728	0.377264957264957	PRJNA306884
