"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_otu","Study","CI_low","CI_hig"
"1","",-0.238317176294482,"","","",0.182716885554419,"AB233029","Combined",-0.588872853309386,0.112238500720422
"2","",-0.269871307279031,"","","",0.173842036308888,"AB266102","Combined",-0.6588072846629,0.119064670104839
"3","",-0.502010368298948,"","","",0.0115092211322996,"G000469345","Combined",-0.891397985663863,-0.112622750934034
"4","",-0.254402014371976,"","","",0.117986895962452,"G900539055","Combined",-0.573358940359605,0.0645549116156534
"5","",-0.338307431185848,"","","",0.0887060144988634,"G902363025","Combined",-0.727830231050067,0.0512153686783715
"6","",-0.250936882504621,"","","",0.161443423173758,"GB-GCA-900542515.1-UQOA01000002.1","Combined",-0.60218349307377,0.100309728064527
"7","",-0.405078992757098,"","","",0.0263251545761068,"GB-GCA-900762515.1-CAAFHA010000156.1","Combined",-0.76248736713291,-0.0476706183812853
"8","",-0.357629486951638,"","","",0.0799120346895926,"GB-GCA-900767615.1-CAAFZU010000193.1","Combined",-0.757893441593832,0.0426344676905566
"9","",-0.280340178359809,"","","",0.159353182854522,"KR364771","Combined",-0.670787176581244,0.110106819861627
"10","",-0.307397869601228,"","","",0.0953914550682127,"KY978733","Combined",-0.668684759756844,0.0538890205543886
"11","",0.230719531540739,"","","",0.177343722593119,"LC487980","Combined",-0.104498425187364,0.565937488268841
"12","",-0.477047651993526,"","","",0.0162655300419035,"MJ006-1-barcode31-umi166219bins-ubs-3","Combined",-0.866158851403563,-0.0879364525834892
"13","",-0.852412896614769,"","","",0.000237486974138464,"MJ006-1-barcode33-umi150609bins-ubs-3","Combined",-1.30697659799576,-0.397849195233779
"14","",-0.802616430094907,"","","",0.0232248649637103,"MJ006-1-barcode37-umi101248bins-ubs-4","Combined",-1.49569865261514,-0.109534207574676
"15","",0.49385480562546,"","","",0.0393991886781488,"MJ006-1-barcode39-umi169644bins-ubs-3","Combined",0.0239806226865328,0.963728988564387
"16","",-0.22029532426798,"","","",0.19155434652868,"MJ006-1-barcode39-umi72580bins-ubs-5","Combined",-0.55090224670856,0.110311598172599
"17","",-0.41211227158354,"","","",0.171212274307043,"MJ006-1-barcode40-umi86277bins-ubs-5","Combined",-1.00241706399389,0.178192520826813
