"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_otu","Study","CI_low","CI_hig"
"1","",-0.0651772322347258,"","","",0.740026127692313,"AA10","Combined",-0.450161592051963,0.319807127582511
"2","",-0.048637171123079,"","","",0.737740839142048,"CBM15","Combined",-0.333326089142187,0.236051746896029
"3","",-0.0313260737352315,"","","",0.809954487751055,"CBM20","Combined",-0.286635308427399,0.223983160956936
"4","",0.00798095198239563,"","","",0.91593101869854,"CBM48","Combined",-0.14020297675922,0.156164880724011
"5","",0.0351694689059882,"","","",0.779352755126815,"CBM50","Combined",-0.210869407021826,0.281208344833802
"6","",-0.237431639621132,"","","",0.061303674581533,"CBM6","Combined",-0.486113174867006,0.0112498956247414
"7","",-0.153235112750235,"","","",0.423511678476521,"CBM73","Combined",-0.528493010477577,0.222022784977107
"8","",-0.047704240117241,"","","",0.546797018917855,"CE1","Combined",-0.202871463798336,0.107462983563854
"9","",-0.00786694824445125,"","","",0.930509168362952,"CE10","Combined",-0.184681000506045,0.168947104017142
"10","",-0.128587911833407,"","","",0.362194844936231,"GH101","Combined",-0.405179458908869,0.148003635242055
"11","",-0.00178617582394236,"","","",0.989622438452546,"GH102","Combined",-0.27094262882987,0.267370277181986
"12","",0.0378221183417288,"","","",0.75888589110325,"GH103","Combined",-0.203687590438404,0.279331827121862
"13","",-0.00537028233705837,"","","",0.948309417133665,"GH105","Combined",-0.167726793342702,0.156986228668585
"14","",-0.0409260110048668,"","","",0.815056820553363,"GH116","Combined",-0.383854394448689,0.302002372438956
"15","",-0.127046170272148,"","","",0.492213685277427,"GH121","Combined",-0.489609865416463,0.235517524872167
"16","",0.200065467186943,"","","",0.432518142101572,"GH127","Combined",-0.299521959544629,0.699652893918515
"17","",0.00725149813732075,"","","",0.926217623012627,"GH13","Combined",-0.146225352906254,0.160728349180896
"18","",-0.0366165872205752,"","","",0.781694924320374,"GH130","Combined",-0.295600202436111,0.22236702799496
"19","",-0.0713060433872376,"","","",0.524910553136112,"GH15","Combined",-0.291121310339005,0.148509223564529
"20","",-0.303220870501884,"","","",0.103377285541469,"GH16","Combined",-0.668115120650659,0.0616733796468916
"21","",-0.0215364602803384,"","","",0.807570881783802,"GH18","Combined",-0.194842928462302,0.151770007901625
"22","",-0.126818227983944,"","","",0.502279947110866,"GH19","Combined",-0.49730066221684,0.243664206248951
