"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"AAVN02000007",116.715465867283,-0.00727048453657625,0.0165879644913755,-0.43829877622154,0.661212094065798,0.999766238421733,FALSE,2233.82361100013
"AB023968",114.691728784682,0.00693021022093106,0.00790738977017794,0.876421982772085,0.380893807960031,0.999766238421733,FALSE,2260.21205757883
"AB037875",116.353761147232,-0.0101987830686257,0.0112298790185736,-0.908182808715701,0.363878242029813,0.999766238421733,FALSE,2265.47034046014
"AB071952",114.47024350097,6.96596412398647e-05,0.00444960089308656,0.0156552560361304,0.987510800929358,0.999766238421733,FALSE,2266.64257501901
"AB100802",115.492925407266,0.00959556833530771,0.0120092314071518,0.799016024422121,0.424365891622586,0.999766238421733,FALSE,2238.41423954867
"AB116294",166.877511307087,0.0403139069169299,0.0508422310131832,0.792921673843869,0.427906588193033,0.999766238421733,FALSE,2262.75422923656
"AB116313",194.302493384661,0.0292328984353827,0.0386411813989184,0.756521860281449,0.449415147989851,0.999766238421733,FALSE,2262.17733109197
"AB214328",192.60678006691,-0.0571622427411723,0.116650604633886,-0.490029545243927,0.624160390248527,0.999766238421733,FALSE,2267.95562722676
"AB222699",193.977023220396,-0.0766663184258798,0.115517594023159,-0.663676551387575,0.506964806847011,0.999766238421733,FALSE,2267.95620756631
"AB233029",186.185044021853,-0.282849568451831,0.0805515949599922,-3.51140866412782,0.000454444961968082,0.0937779639375563,FALSE,2267.86483603947
"AB238928",401.011761954709,-0.0715772917355537,0.0837244746232255,-0.854914791136807,0.392688836702755,0.999766238421733,FALSE,2262.54489456514
"AB253726",118.549768565948,0.0266741158553216,0.0431189330460419,0.618617251656929,0.536231778887287,0.999766238421733,FALSE,2227.75894667894
"AB253732",117.70941682834,0.00548163165027483,0.0231954560273377,0.236323512838648,0.813202997290859,0.999766238421733,FALSE,2266.47485611925
"AB260026",120.571509119563,0.0522906449065156,0.0435850590548484,1.19973784687803,0.230374575036485,0.999766238421733,FALSE,2130.39371920141
"AB266102",400.056434458387,-0.269193651211509,0.115444382645279,-2.33180380927367,0.0197982919966055,0.591332534785277,FALSE,2264.54835772678
"AB306661",116.205595118137,0.00480767641293012,0.0109908475201196,0.437425449141143,0.661844503596677,0.999766238421733,FALSE,2266.69967282898
"AB370249",117.150267209829,0.0258041594030031,0.0265329441893496,0.972532833855691,0.330890228718461,0.999766238421733,FALSE,2246.73474187005
"AB370250",123.851927573815,0.0023262095847598,0.0378305881515078,0.0614901776161544,0.950974255581882,0.999766238421733,FALSE,2267.63215224021
"AB443948",116.017780187763,-0.0056411240057611,0.00785342249209188,-0.718301353510716,0.472645546666468,0.999766238421733,FALSE,2266.04112863772
"AB443949",128.008611612857,0.0530158429125248,0.0403133500154595,1.3150939550346,0.18861129462506,0.999766238421733,FALSE,2267.63265814137
"AB470343",116.34460795411,-0.0129698881212213,0.0171036749224916,-0.758310022845775,0.448344993447623,0.999766238421733,FALSE,2245.32741713815
"AB490803",133.856671632252,0.0481080132026716,0.054511072103591,0.882536544341831,0.377580262835723,0.999766238421733,FALSE,2267.79513804529
"AB490809",120.777172213407,0.0460118675407079,0.0249615081084039,1.84331280549579,0.065413769739678,0.791762694814328,FALSE,2267.70800476791
"AB490811",118.239855499175,-0.00357718007976438,0.0240840844673408,-0.148528796459554,0.88193870501835,0.999766238421733,FALSE,2261.28776994889
"AB510705",139.258145818058,-0.0702848328437354,0.0532086992811398,-1.32092747601985,0.186658975601347,0.999766238421733,FALSE,2265.11682619518
"AB510710",145.86248382298,0.0147900301822061,0.0585311807354087,0.252686345916456,0.800533539214348,0.999766238421733,FALSE,2263.9797810858
"AB538436",126.65285421485,-0.0538099454255562,0.0269859405812767,-1.99399925540822,0.0462717471323865,0.724547845341271,FALSE,2266.83461728528
"AB540986",115.438460161388,-0.00851380674841842,0.00736326854873349,-1.15625373325313,0.247699207079636,0.999766238421733,FALSE,2267.24269615165
"AB540987",122.670308077127,-0.0184248073422295,0.0221959126375275,-0.830099110728967,0.40657012039487,0.999766238421733,FALSE,2267.8860437861
"AB545933",115.454313387488,-0.00702379199941834,0.0083297990132006,-0.843212661948677,0.399198495775261,0.999766238421733,FALSE,2266.48571853743
"AB547639",118.062691522456,0.0163823674569152,0.0167154402520737,0.98007394420155,0.327154150873453,0.999766238421733,FALSE,2267.99999991665
"AB547640",124.678610359729,-0.0394825982480123,0.0374851774184749,-1.05328561759863,0.292322311657125,0.999766238421733,FALSE,2267.91983383879
"AB547647",147.880883875627,0.0249336914167389,0.0550209605468417,0.453167141557112,0.650471809491773,0.999766238421733,FALSE,2264.43605175847
"AB547651",398.104282793338,-0.0115109718161597,0.142685689684491,-0.0806736249557536,0.935708711324206,0.999766238421733,FALSE,2242.5385633871
"AB547652",131.655932269307,-0.0149209069098111,0.0471995057161238,-0.316124219595673,0.751937372369038,0.999766238421733,FALSE,2263.42095541303
"AB547667",115.207747350593,0.0238853765640731,0.0122751102084897,1.94583805427291,0.0518002647712857,0.759649568143373,FALSE,2219.54990195447
"AB547668",115.571333653544,-0.00314410457561253,0.010106855889587,-0.311086317046616,0.755763764379887,0.999766238421733,FALSE,2254.37527270627
"AB547670",116.24506869879,-0.00682850343112168,0.0113208725252192,-0.603178192838939,0.54645082990993,0.999766238421733,FALSE,2254.37260176951
"AB547672",114.630844579426,-0.00306631769355995,0.00508285309064845,-0.603267031109246,0.546391402773819,0.999766238421733,FALSE,2267.30292577478
"AB547675",115.127519064555,0.0119278689611274,0.0140198406740803,0.850784915350678,0.394982110562652,0.999766238421733,FALSE,2183.93851547512
"AB547677",134.85561826866,0.0172750202419171,0.0442169367761353,0.390687856315743,0.69606468001033,0.999766238421733,FALSE,2267.35157939845
"AB547706",123.204553086464,0.0191254283310622,0.0309770760370131,0.617405861941589,0.537031228764112,0.999766238421733,FALSE,2190.52433314033
"AB554230",143.286153688646,-0.0146165141527492,0.0476633335909142,-0.306661600260698,0.759129144808809,0.999766238421733,FALSE,2265.29574625269
"AB558487",118.128925578599,0.0122427307758173,0.0215001084943242,0.569426464943155,0.569123254157067,0.999766238421733,FALSE,2263.86202883939
"AB566418",152.591226759957,-0.0130397966349427,0.0605669722692375,-0.215295500936997,0.829556488305995,0.999766238421733,FALSE,2245.58500930599
"AB566419",185.085910863628,-0.0823296243811018,0.0625343332682213,-1.31655076624828,0.188122407782231,0.999766238421733,FALSE,2265.74150681972
"AB574481",119.355623472631,-0.00149376702966118,0.0104666690756537,-0.1427165623432,0.886526735759067,0.999766238421733,FALSE,2263.91676078465
"AB574482",115.194867629318,0.00193905273205861,0.00984544275614089,0.196949266791396,0.843885115381615,0.999766238421733,FALSE,2238.93763879853
"AB588020",115.598675057952,0.0148008447033999,0.00980385199835813,1.50969687280863,0.131260086589259,0.961952757074602,FALSE,2267.97479970236
"AB588023",134.834222209724,0.0469033658482448,0.0486511430464736,0.964075310696004,0.335111068627399,0.999766238421733,FALSE,2265.37341834921
"AB600999",285.646299773388,0.0222181590507032,0.0988949750901474,0.224664185722786,0.82226076689468,0.999766238421733,FALSE,2267.91945490386
"AB601000",142.549605402148,-0.0867526455980105,0.0507736415493228,-1.70861578864177,0.0876590645010495,0.880678624760442,FALSE,2266.3551865663
"AB601001",122.902725708201,0.054286707608726,0.037058229781116,1.46490288201487,0.143090198196359,0.974126724500469,FALSE,2201.60235530964
"AB616134",114.04861105101,0.0294107811676334,0.0126812881474857,2.31922662947019,0.0204719252576932,0.591332534785277,FALSE,2249.18943438462
"AB644260",114.744640627524,-0.00527207794678129,0.00625317154503297,-0.843104640391485,0.399258829918344,0.999766238421733,FALSE,2267.98110437616
"AB649277",120.450747959011,-0.0377131585386577,0.021956770456081,-1.71760954618045,0.0860045690032495,0.870287915412917,FALSE,2264.59538267797
"AB663369",114.323000501554,0.00520668360553517,0.00645911170954182,0.806099017894909,0.420270269013639,0.999766238421733,FALSE,2267.99724066075
"AB681132",119.209280734825,0.00294094000263462,0.017252459159298,0.170464974035289,0.864659687782049,0.999766238421733,FALSE,2267.21958473802
"AB681294",115.057334376758,-0.00469597663480835,0.00674929363747211,-0.695773052269687,0.486642347489032,0.999766238421733,FALSE,2265.05900205342
"AB691575",115.454924738273,0.0399488938108443,0.0182412318269814,2.19003267924889,0.0286238519819369,0.654070614655059,FALSE,2257.60013458915
"AB739697",120.634154437506,-0.0390847110954693,0.0267059727595345,-1.46351946987272,0.143472108437158,0.974126724500469,FALSE,2140.62034905762
"AB818948",234.968690662234,-0.145091725104038,0.09111452786217,-1.59241043671455,0.111432069490798,0.942513562851887,FALSE,2264.67534280428
"AB818950",158.338929546562,-0.149726629313437,0.0565813823390775,-2.64621723831637,0.00819604388113548,0.447246547639047,FALSE,2266.56043822854
"AB910737",115.378074416751,0.0038205210826703,0.00848240041745916,0.450405651070963,0.652461247908139,0.999766238421733,FALSE,2256.13098515953
"AB910738",116.761177619369,-0.00744983365511764,0.0197733296827375,-0.376761717659595,0.706387119239933,0.999766238421733,FALSE,2194.43928737729
"AB910742",141.150110276295,0.0369507514144601,0.0369483828397019,1.00006410496417,0.317386327109547,0.999766238421733,FALSE,2264.66278231886
"AB916501",169.377762120181,0.0891038331206495,0.0816611333491262,1.09114127451187,0.275326627319544,0.999766238421733,FALSE,2267.98944431522
"AB916502",120.374030176315,0.00805522604158494,0.0248173342824938,0.324580631823424,0.745528429666251,0.999766238421733,FALSE,2267.36467548909
"ABCA03000037",117.379829670017,-0.00171261481819569,0.00863667056874773,-0.198295721084104,0.842831493384347,0.999766238421733,FALSE,2265.18891233661
"ABFY02000057",115.991870267271,0.0174153969066723,0.0176367248491354,0.987450734512429,0.323528302440848,0.999766238421733,FALSE,2241.41987364454
"ABOU02000049",128.045203127669,-0.00346027937294019,0.0155024760706965,-0.223208173788506,0.823393639415619,0.999766238421733,FALSE,2262.63131748341
"ABVQ01000037",117.714764777676,-0.00557179088568251,0.0227558586060976,-0.244850830818113,0.806595368418652,0.999766238421733,FALSE,2143.74594692776
"ABVR01000038",117.308264630926,0.00016118885071531,0.00841768085054275,0.0191488432000742,0.984724053866496,0.999766238421733,FALSE,2265.06313908124
"ABWK02000010",117.408901571115,-0.0353347951274101,0.0170672328733651,-2.07032946638662,0.0385402974180417,0.6725799676857,FALSE,2156.00709352787
"ABXH02000033",179.378540040792,-0.220642332054055,0.0911266158728963,-2.42127209422336,0.0155443276002988,0.582329456364732,FALSE,2267.17364426802
"ABYT01000002",119.020061307985,0.00151189806806134,0.0132763517849844,0.113879030365202,0.90934378104233,0.999766238421733,FALSE,2265.11353039938
"ACBZ01000217",120.326608512963,0.000278829384661125,0.0114816160664705,0.024284855289264,0.980627533805357,0.999766238421733,FALSE,2263.61649724919
"ACCH01000108",127.489306222122,-0.0052042101044946,0.0180956167210577,-0.287595067066077,0.773683055364104,0.999766238421733,FALSE,2262.92787252801
"ACUX02000005",114.223179357614,0.00723795343979745,0.00570395586038199,1.26893573810242,0.204594211243653,0.999766238421733,FALSE,2267.73570128904
"AEWV01000047",114.569068394345,0.0070630256834047,0.00536500769353472,1.31649870547553,0.188139775848728,0.999766238421733,FALSE,2267.28561422546
"AF000221",114.196496154922,0.0116485093267685,0.00799229558801535,1.4574672818953,0.145125903741493,0.977289136109236,FALSE,2267.58437412263
"AF133535",115.367417660608,0.00578144164262253,0.0108721704816875,0.531765175349343,0.594941483512096,0.999766238421733,FALSE,2235.45441219299
"AF175402",115.978081207508,-0.00600635010924878,0.0133292857720707,-0.450613049487924,0.652311716094664,0.999766238421733,FALSE,2258.38804623873
"AF192152",120.125074273683,-5.63027044910465e-05,0.0108461334794778,-0.00519103923970492,0.995858625968305,0.999766238421733,FALSE,2263.55484651996
"AF231131",117.486576819062,0.00328491507734627,0.0137564016663649,0.23879173907651,0.811288661085688,0.999766238421733,FALSE,2266.87082358682
"AF275949",116.350383896771,0.0475182814305507,0.0204671905646629,2.32168070553816,0.0203383243820093,0.591332534785277,FALSE,2267.80914984818
"AF429763",119.379329045707,-0.0125280330924057,0.0251203772350772,-0.498719942585575,0.618025092929542,0.999766238421733,FALSE,2266.32493772081
"AF450134",114.33199675762,0.0074133783287572,0.0092168684537712,0.804327236082437,0.421292405288187,0.999766238421733,FALSE,2265.48599916409
"AF473835",178.604960572526,0.0441957785092263,0.110795602961895,0.398894697332224,0.690008363483561,0.999766238421733,FALSE,2267.15215865128
"AF479674",122.68422401242,0.00788418789290759,0.038934517917016,0.202498664802059,0.839546726063138,0.999766238421733,FALSE,2077.94561434452
"AF542230",114.887161691801,0.00863061913684495,0.0123640441536718,0.698041759603542,0.485223148090182,0.999766238421733,FALSE,2251.927538992
"AJ006963",115.51198273069,0.00273881220080317,0.0136842636266736,0.200143191882436,0.841386589946281,0.999766238421733,FALSE,2261.47192591828
"AJ239291",117.800744475099,-0.018283141611148,0.0194096160417906,-0.941963074992457,0.346312319704269,0.999766238421733,FALSE,2257.78509202232
"AJ270473",128.240961028707,-0.00646107754230952,0.0428163852833522,-0.150901985292572,0.880066463422981,0.999766238421733,FALSE,2266.41592571182
"AJ270490",276.34817733106,-0.0484452151940866,0.125565195919248,-0.385817222992604,0.699668281710399,0.999766238421733,FALSE,2264.40975221395
"AJ290755",116.826010318839,-0.0135282772760875,0.0127152568389133,-1.06394054382654,0.287474443090324,0.999766238421733,FALSE,2162.0964242797
"AJ295750",114.90600161255,0.00853282656549338,0.00911332262217073,0.93630247926644,0.349217253063433,0.999766238421733,FALSE,2265.81188302154
"AJ295989",114.871340695466,0.000996114219592939,0.00641278415269349,0.155332566304224,0.876572975781588,0.999766238421733,FALSE,2266.3310674419
"AJ305238",631.93190447338,-0.155879186024904,0.126864917699456,-1.22870206241085,0.219311137685743,0.999766238421733,FALSE,2265.69603055922
"AJ312385",156.913667131816,-0.0481502038467555,0.0667658444524858,-0.721180181897075,0.470873134808224,0.999766238421733,FALSE,2263.76321514838
"AJ315980",160.666468703853,-0.102243506311888,0.0625238548545347,-1.63527195419674,0.102130876345382,0.91651165589445,FALSE,2267.01783035813
"AJ400848.134008.135498",115.250329409376,-0.00586090904461584,0.00844951505874895,-0.693638511070198,0.487980441496852,0.999766238421733,FALSE,2252.97131875514
"AJ413954",140.801027166861,-0.0521921409421412,0.0579678233055204,-0.900363994470892,0.368022289597969,0.999766238421733,FALSE,2265.06794099884
"AJ427624",115.207341856305,-0.00906555921244801,0.00778939371337159,-1.16383373931731,0.244613862806607,0.999766238421733,FALSE,2267.11989681877
"AJ430347",116.510227720511,-0.0327085133099004,0.0173629952394818,-1.88380592511622,0.0597200378681047,0.770956684586617,FALSE,2250.70307645339
"AJ458473",114.758825175482,-0.00462799116293961,0.00766881193534333,-0.603482156292103,0.546248344262709,0.999766238421733,FALSE,2267.47136250035
"AJ540309",124.06077940356,-0.0238841549621304,0.0220241865233475,-1.08445117538444,0.278280131952813,0.999766238421733,FALSE,2266.72024969816
"AJ575430",114.907987833696,0.0033023435488243,0.00617600590349555,0.534705374383662,0.592906018539824,0.999766238421733,FALSE,2267.99917330651
"AJ608686",116.12190162894,-0.00406282782103046,0.016695263831898,-0.24335211841744,0.807754861042152,0.999766238421733,FALSE,2245.50507561109
"AJ867049",1243.58096273368,-0.0271138734769491,0.137794165388711,-0.196770838594378,0.844024538952535,0.999766238421733,FALSE,2263.36197605251
"AKIO01000026",115.365824089015,0.00327728010043027,0.00835500382644678,0.392253572650252,0.694907779844267,0.999766238421733,FALSE,2264.38693156187
"AM113782",122.763284106247,-0.0401121390708995,0.0269513561005962,-1.48831616936753,0.13680657336582,0.963248860532567,FALSE,2267.70784658669
"AM503357",116.623923028867,0.019194707663112,0.0200723145901591,0.956277741507829,0.339033996772719,0.999766238421733,FALSE,2264.73225641456
"AP007232.135184.136674",115.089588392506,-0.000730702321566636,0.013926224202339,-0.0524695215982455,0.958159219281914,0.999766238421733,FALSE,2259.01404398072
"AQHX01000008",131.403463653421,-0.0113869283118132,0.016791553343817,-0.678134302328029,0.497755889717127,0.999766238421733,FALSE,2262.50719237135
"ARFY01000032",127.845176238854,0.0072793931728246,0.0151284555860293,0.481172260541051,0.630440602272249,0.999766238421733,FALSE,2262.58393316627
"ATUT01000005",117.896552652113,0.0153741192805191,0.0228283384706873,0.673466415449385,0.500721775139103,0.999766238421733,FALSE,2186.87214089025
"AWOL010467427.6408.7719",116.138845756226,-0.0079189542924219,0.0138520825019163,-0.571679694466618,0.56759580765452,0.999766238421733,FALSE,2261.45056301662
"AY033434",116.826840814002,-0.00919164025359784,0.0114384329934829,-0.803575127715032,0.421726644644245,0.999766238421733,FALSE,2266.85846255392
"AY049713",125.295808450727,0.0603550119589875,0.0391715748140336,1.54078594607242,0.12350860169826,0.961952757074602,FALSE,2264.61680719239
"AY126616",368.950789672503,-0.21897505808706,0.174021510268876,-1.25832178877616,0.208404925518896,0.999766238421733,FALSE,2267.99316846354
"AY136666",132.519065167841,0.00598214171877728,0.0421153750083502,0.142041753577908,0.887059653974578,0.999766238421733,FALSE,2265.75366873825
"AY162221",115.524140938638,-0.0129690141412073,0.00920833864116324,-1.40839891391842,0.15915018299489,0.996283594089353,FALSE,2265.72300776105
"AY188349",116.65810170969,0.0206546582758437,0.0156402544126403,1.32060884247195,0.186765066307124,0.999766238421733,FALSE,2267.97264834559
"AY211542",116.896315354178,-0.0274925418155316,0.0286868028091495,-0.958368975393904,0.337980615811451,0.999766238421733,FALSE,2230.16473620816
"AY278626",115.416467947941,-0.00828747223332449,0.00887252967363823,-0.934059680628396,0.350372659405734,0.999766238421733,FALSE,2265.29271184639
"AY305310",251.439228179567,0.0472308291617635,0.0893815892081547,0.52841787195986,0.597261151783381,0.999766238421733,FALSE,2262.96329464596
"AY323228",116.6075362443,-0.0235178799224349,0.0141739519161824,-1.65923237651065,0.0972080786539402,0.911712365123287,FALSE,2254.25423701697
"AY574991",123.391891525924,0.0164419498546477,0.0258936449386202,0.634980123255055,0.525506211602492,0.999766238421733,FALSE,2240.66119067649
"AY850119",120.276445254882,0.0293916349927147,0.0295564707031674,0.99442302458544,0.320123044988416,0.999766238421733,FALSE,2267.97994907721
"AYZT01025737.5596.7065",115.356947831067,0.0276087452645039,0.0175023554987704,1.57743026454031,0.114837235764577,0.942513562851887,FALSE,2248.31901236784
"CP000776",125.76883163474,0.0404919545692659,0.0345504008899689,1.17196772038098,0.241333947407873,0.999766238421733,FALSE,2252.68505215726
"CP001104",168.925167759528,-0.0352524921897612,0.02067576257377,-1.70501533203345,0.0883288676250725,0.881458026144506,FALSE,2262.09828319429
"CP001721",114.355736332097,0.00694713838861811,0.00704485871765176,0.986128844743358,0.32417507889945,0.999766238421733,FALSE,2267.98585815849
"CP001726",217.745208764376,-0.106634126181413,0.0814508059748276,-1.30918442003346,0.190604724169109,0.999766238421733,FALSE,2264.31749980911
"CP001820",114.153367796954,0.0107073059596999,0.00830459122020473,1.28932366154874,0.1974171275618,0.999766238421733,FALSE,2266.8676406809
"CP001859",117.603655691521,0.000320176305305142,0.00928009134647149,0.0345014174269827,0.972480352012139,0.999766238421733,FALSE,2265.09905578966
"CP002122",114.691131356183,-0.00423155647994547,0.0073245060877704,-0.577725846526474,0.56350658524405,0.999766238421733,FALSE,2267.62653416884
"CP002544",119.197791849783,-0.00584199915304234,0.0186519653399517,-0.313210916199219,0.754149292480016,0.999766238421733,FALSE,2262.71085499667
"CP002689",115.928314453385,-0.0191568464910987,0.00920227116111003,-2.0817520105317,0.0374784007333521,0.672516147320834,FALSE,2240.22985231652
"CU463952",138.063990756721,0.0323987610393465,0.0503281607923855,0.64375014960309,0.519803756022444,0.999766238421733,FALSE,2226.85025201428
"D50541",114.641176111989,-0.00326716036777887,0.0058547388394887,-0.558036909476255,0.576874262683152,0.999766238421733,FALSE,2267.86729117155
"D86182",123.756867428347,-0.00532525789928968,0.0329986214441797,-0.161378192973845,0.871809914864732,0.999766238421733,FALSE,2267.97562524515
"D86184",116.042391106485,0.00611418404173252,0.0156115589224507,0.391644682770266,0.695358191379497,0.999766238421733,FALSE,2229.81152389216
"D86187",131.101937367884,0.0236088906561169,0.049952406196795,0.472627696113499,0.636524339193491,0.999766238421733,FALSE,2265.81257869112
"DQ100445",154.269504772844,-0.136436863445683,0.0487253399620493,-2.80012132397536,0.00515161138875354,0.382347494903447,FALSE,2267.98535598459
"DQ174155",114.696990716352,-0.00550502302575517,0.00532442331384105,-1.03391911222473,0.301284230272971,0.999766238421733,FALSE,2267.59572899018
"DQ217599",115.174719335791,0.0104571647798041,0.0100810618830663,1.03730786509401,0.299704068892839,0.999766238421733,FALSE,2245.89075884126
"DQ279737",123.967493880167,-0.0102725631505774,0.037772078595469,-0.271961817632395,0.785676459347106,0.999766238421733,FALSE,2238.4334981329
"DQ343754",115.975947256236,0.0193754335192656,0.0147318814903347,1.31520427529758,0.188574410819529,0.999766238421733,FALSE,2264.57634321997
"DQ911241",114.227612673093,0.0118788781248578,0.00898069385335448,1.32271273454231,0.186064363385294,0.999766238421733,FALSE,2266.5858415956
"EF108443",207.414374491473,-0.217251841903019,0.100254659446381,-2.16699994895709,0.0303386874951778,0.654070614655059,FALSE,2267.05541673401
"EF529620",114.495156063711,0.00287241020543194,0.00755891388822885,0.380003033227434,0.703978748990363,0.999766238421733,FALSE,2267.72407241772
"EF564277",161.721059286299,-0.199231988504683,0.0744828996009594,-2.67486885677202,0.00752958550035576,0.447246547639047,FALSE,2266.44494447461
"EF694028",114.681029024799,-0.00379449934579895,0.00646853919168458,-0.586608387667627,0.557525128283355,0.999766238421733,FALSE,2267.99997190468
"EU341292.1.1459",114.643618432613,0.0188904026897436,0.00994387338933821,1.89970265610962,0.0575990462700064,0.770956684586617,FALSE,2265.2196536744
"EU483153",114.751292081754,0.000444537676263795,0.00470541841402156,0.0944735700738382,0.9247413250181,0.999766238421733,FALSE,2267.15129117314
"FG613726.1.1202",115.622384101948,0.000731590435355449,0.0127476562817645,0.057390191513242,0.954239452876454,0.999766238421733,FALSE,2258.52009265133
"FJ225426",116.978989891562,0.00447305162322969,0.0225552280668361,0.198315512925654,0.842816226972328,0.999766238421733,FALSE,2238.03781054539
"FJ562154.1.1226",116.80200721304,0.00754122853016088,0.0176170889864217,0.428063259257716,0.668645870705345,0.999766238421733,FALSE,2259.02864594086
"FJ711049",119.480989551365,-0.033817337802283,0.0190027290363846,-1.77960427355107,0.0752746489969611,0.836417157508541,FALSE,2267.49001444802
"FN178463",117.785591125666,0.00401541692311273,0.0166252281712692,0.241525522642267,0.809169683776664,0.999766238421733,FALSE,2266.73197189847
