"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"AB116294",675.51853601123,1.12315002855511,0.481361565832773,2.3332773288869,0.0219374564769444,0.205663654471353,FALSE,87.1002303209192
"AB116313",2782.57616183326,1.13356667238322,0.4759945783314,2.38146971412352,0.0194183032519452,0.18996166224729,FALSE,87.2452170492154
"AB222699",32.0157799364723,0.236531512871884,0.355965702462761,0.664478378774787,0.508157643455837,0.852486909375527,FALSE,86.2104116136517
"AB233029",25.0753915241779,-0.260216052379212,0.226369344304935,-1.14951983970358,0.253473519758122,0.654427432643795,FALSE,87.5142698448639
"AB238928",7956.43052665906,-0.15574435703799,0.38236202465247,-0.40732171867629,0.684769926320536,0.939048704474489,FALSE,87.1988619536464
"AB266102",45.2320637879861,-0.308112930805078,0.533306394501799,-0.577740927132346,0.564927965447144,0.883921827441932,FALSE,87.1984138049753
"AB306661",21.1677149710811,0.283662551123884,0.16085654147566,1.76345051635221,0.0813223528991908,0.389309136219531,FALSE,87.3268189961782
"AB443948",22.0950851126856,-0.072899706113335,0.138756117690651,-0.525380122524477,0.600649191534881,0.909054269699652,FALSE,87.4089167537092
"AB443949",25.8448873876808,0.0254100072997542,0.201263208395433,0.126252619653313,0.899822597901579,0.997737653862925,FALSE,87.2039970424804
"AB490803",29.5344841267172,0.201542522290944,0.279094942542104,0.722128894401373,0.472146113789495,0.852486909375527,FALSE,87.2559778460289
"AB547647",103.574622443917,0.21624471635599,0.349664015229586,0.61843571811073,0.537902043172207,0.876524692964515,FALSE,87.102567102316
"AB547651",107.038316993454,0.118704767990379,0.213299168159182,0.556517725853444,0.579285522701332,0.892790018326576,FALSE,87.0094139988398
"AB547652",72.5084223923855,-0.00107158048553789,0.169173094227762,-0.00633422525271777,0.994960526051403,0.997737653862925,FALSE,87.17620326478
"AB566418",31.3844510163316,0.0162008457670447,0.374827541506974,0.0432221327758095,0.965624343962737,0.997737653862925,FALSE,86.2710824052714
"AB600999",58.941650565918,0.398441927303118,0.413143401068216,0.964415566781204,0.337501257426471,0.728576218979682,FALSE,87.3098910691828
"AB910742",25.9642432830862,-0.00340656985879771,0.336561341153485,-0.010121690884409,0.991947106985937,0.997737653862925,FALSE,88.0044432761963
"AB916501",32.9601543355815,-0.0853519370320067,0.275217874780833,-0.310124976802382,0.757205348202374,0.968194662476854,FALSE,87.2644969135604
"ABXH02000033",64.7650080991953,0.230393948273112,0.112967487773143,2.03947129226934,0.0444328117561901,0.288386037840657,FALSE,87.1194743902374
"AF231131",22.3485579981499,0.325674811224208,0.212231474938288,1.5345264472148,0.128505815221132,0.479521321087392,FALSE,87.5595312615238
