"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"AB214328",258.516667338029,0.0739922821910661,0.0478717123330129,1.54563684031917,0.122507049993812,0.355471481118051,FALSE,1005.20118735691
"AB222699",284.157537749022,-0.0162800677607512,0.0413887411179205,-0.39334532341459,0.694148005381652,0.869986558469047,FALSE,1003.4212194637
"AB233029",311.64364898191,-0.33247240648479,0.098657457698412,-3.36996730141913,0.000778968985967164,0.0130543901048086,TRUE,1055.70544228465
"AB253726",137.068045954161,0.0153862415394333,0.0156341588560361,0.984142586826343,0.325282692577998,0.574564756048987,FALSE,1003.21479743278
"AB260026",133.292146114265,0.010524822114351,0.0231763126539127,0.454119784778367,0.649840051046439,0.834273272983577,FALSE,1011.36760127733
"AB266102",438.557997813956,-0.361958851502686,0.114148431581041,-3.17094896959411,0.00156352984602498,0.0199666987093731,TRUE,1047.70306905991
"AB490803",145.231262013282,-0.00375431330492855,0.0260375240657713,-0.14418856783176,0.885380393395387,0.960602148976625,FALSE,1007.87182280317
"AB538436",128.386298678333,0.0126623684110712,0.0227815183792267,0.555817579859709,0.578446812976955,0.789930980149166,FALSE,1117.62376682798
"AB540987",132.726327122544,-0.0271988376133827,0.0276819162966784,-0.982548943573184,0.326039975214051,0.574827941375519,FALSE,1129.06964016191
"AB547651",265.336367192085,0.022769823545621,0.0421898748971316,0.539698768985187,0.589524514123794,0.801583691866166,FALSE,1003.56635659408
"AB547652",135.725324874843,0.0125051628269477,0.0148715892226727,0.84087602472793,0.400617811308837,0.646047494346162,FALSE,1002.97157131198
"AB547677",150.215350406692,-0.0010928312282237,0.0590800698093328,-0.0184974600021727,0.985245269345851,0.996457050337586,FALSE,1129.97404899659
"AB547706",136.354303810982,0.0644549250216511,0.0436116822427976,1.47792797037302,0.139707277369709,0.382676455403986,FALSE,1123.71653937731
"AB566418",141.982401612363,0.0558336675301416,0.040356931968378,1.38349633648788,0.166808210842441,0.412056419842136,FALSE,1044.94138713066
