"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"AA10",0.240996567969039,0.177303764691053,0.411892487047794,0.430461273916074,0.667908771172566,0.908232604701425,FALSE,88.3188071939564
"CBM48",51421.6744890368,0.0762269724224527,0.0848251395562765,0.898636569550005,0.371308562041647,0.759887289759649,FALSE,87.6412130402828
"CBM50",529.374970593187,0.164296403009085,0.226066375300234,0.726761787509914,0.469311106066073,0.795402046197697,FALSE,87.5296508005908
"CBM6",1670.8304712444,-0.233033003559982,0.162067272408644,-1.43787823473947,0.154026199816253,0.542172223353209,FALSE,87.7293282838254
"CBM73",0.226746999719181,-0.103666784188307,0.351400710854559,-0.295010172108654,0.768678863309623,0.931597702312464,FALSE,88.2704279484643
"CE1",9944.76517178216,-0.039515345948303,0.0544565950287542,-0.725630126662126,0.470010300025912,0.795402046197697,FALSE,87.1214489168233
"CE10",6883.11365998311,-0.126697713630417,0.0858407462408275,-1.47596239756543,0.143551562758731,0.526355730115346,FALSE,87.3083133929782
"GH101",578.853573535813,-0.082721914433945,0.178888452165753,-0.462421768607495,0.644928392620779,0.908232604701425,FALSE,87.3741251959112
"GH102",201.262560854298,-0.304630902851522,0.289429912722173,-1.05252045300494,0.295469458024486,0.684245060688284,FALSE,87.1780846782982
"GH103",288.553250384261,-0.116849688613342,0.240560159404193,-0.485739986632653,0.628373480047047,0.908232604701425,FALSE,86.9407400732145
"GH105",13057.1041386579,0.0948419671442932,0.0781372527865598,1.21378681438115,0.228103275589787,0.647518975867782,FALSE,87.2848452300233
"GH116",205.957375640548,-0.203161916909797,0.299921020474981,-0.677384721444505,0.4999559781725,0.830115586399622,FALSE,87.1596571447262
"GH121",57.8695544732922,-0.668951798194377,0.601891658157862,-1.11141563290935,0.269448205698915,0.660905922155248,FALSE,87.0940089413204
"GH127",19.0270023077964,1.14263251375096,0.345129099290257,3.31073941925133,0.00135454511050674,0.0506210203431452,FALSE,87.2330222336685
"GH13",115489.6344785,0.0517358124438479,0.0933319379994216,0.55432056327994,0.580770106942809,0.908232604701425,FALSE,87.7116817845424
"GH130",446.384013838081,0.273555822551217,0.17631344794035,1.55153124022489,0.124393851723053,0.497575406892212,FALSE,87.2621309543107
"GH15",1114.3248206018,-0.0949589245092737,0.164441271375739,-0.577464061879561,0.565110168969216,0.908232604701425,FALSE,87.4298164237723
"GH16",38.2524149771101,-1.65563727037696,0.510848344118543,-3.24095651760158,0.00168702061758815,0.0506210203431452,FALSE,87.2959082349996
"GH18",5204.04855808545,-0.086481838635171,0.0782128831423048,-1.10572370127081,0.271881401881741,0.660905922155248,FALSE,87.3752690373399
"GH19",1.70145135439719,0.446595693003674,0.47502372583296,0.940154499063311,0.349733045273199,0.756287995316458,FALSE,87.2797932587289
"GH20",37162.8874761566,0.0339071574710565,0.0757283218686675,0.447747376864634,0.6554461704268,0.908232604701425,FALSE,87.1794489459312
"GH23",5240.54601200453,0.162424131499526,0.119998030498499,1.35355664442808,0.179367916318038,0.584610492412838,FALSE,87.4044752058981
"GH26",10773.7445465867,0.111225296128818,0.0675624791565756,1.64625835992569,0.103300410056169,0.434189594685704,FALSE,87.4397333623501
"GH28",45.1058820033788,-1.02883887637905,0.563979924545346,-1.82424733860598,0.0715096290008143,0.419523156804777,FALSE,87.9737087306234
"GH29",36441.6251867601,-0.0187592143248678,0.0660814931916219,-0.283880000569451,0.777175811956258,0.931597702312464,FALSE,87.13385851778
"GH3",85195.2722361489,0.0612004390384248,0.0560492273932412,1.09190513205548,0.277880899088002,0.660905922155248,FALSE,87.2461452193406
"GH30",8782.67077653993,0.150571732905829,0.0783665499018348,1.9213775915163,0.0579482466255539,0.364246121646339,FALSE,87.2659076317781
"GH31",62780.7514984571,0.143900387390952,0.0620309853186026,2.31981463218508,0.0226839193356958,0.22179832239347,FALSE,87.3180742079698
"GH32",18434.7477423676,-0.0260507945207657,0.104959519170139,-0.248198493349968,0.804561651997128,0.931597702312464,FALSE,87.6123383448127
