"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"1CMET2-PWY",6301.35256861841,0.00761032783546767,0.096824361266388,0.0785993084377779,0.937530453724519,0.999446251375812,FALSE,87.673111999521
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.0662365537357836,0.124323614026471,0.334797314464381,0.371339938091702,0.711272365159644,0.999446251375812,FALSE,88.4500212535144
"AEROBACTINSYN-PWY",0.0582871989688042,-0.182379104911476,0.215189257783797,-0.847528853390602,0.398979999632166,0.999446251375812,FALSE,88.7598621458331
"ALLANTOINDEG-PWY",1.00969403081628,0.190154041497839,0.542106588280548,0.350768733693071,0.726601859085389,0.999446251375812,FALSE,87.8227086041162
"ANAEROFRUCAT-PWY",5545.05568338432,0.0249763932283007,0.10238160274193,0.243953919057684,0.807836121107823,0.999446251375812,FALSE,87.7276358876043
"ANAGLYCOLYSIS-PWY",7099.46704952536,0.0468613522697433,0.0979996799688182,0.478178625528714,0.633713525657301,0.999446251375812,FALSE,87.6550926059192
"ARG+POLYAMINE-SYN",1385.11768452968,-0.30710926723274,0.0954452138375518,-3.21764973731885,0.00181395796298079,0.242465714385099,FALSE,87.3419585716393
"ARGDEG-PWY",0.404122415709115,0.102492825627814,0.519440404224235,0.197313926283581,0.844036594688839,0.999446251375812,FALSE,88.0625309096384
"ARGININE-SYN4-PWY",5085.37166419048,-0.0549132669555102,0.109659400232715,-0.500762058145268,0.617789488116905,0.999446251375812,FALSE,87.9509075400591
"ARGSYN-PWY",6002.60708621298,-0.00831282854504581,0.101920481296089,-0.081561904333009,0.935180373471089,0.999446251375812,FALSE,87.9734004635124
"ARGSYNBSUB-PWY",6141.16304515127,-0.0092957739337447,0.106169903148612,-0.0875556410815678,0.930428806521401,0.999446251375812,FALSE,87.9934862818297
"ARO-PWY",7451.94933146286,-0.00805038852689202,0.0990657343958007,-0.0812630984466136,0.935417690234701,0.999446251375812,FALSE,87.7942385834024
"ASPASN-PWY",4199.088915034,-0.0330799281880125,0.106752572797161,-0.309874762933041,0.75739355215103,0.999446251375812,FALSE,87.4337869616683
"AST-PWY",0.389108780667233,-0.0367720846954062,0.447473828970233,-0.0821770622430131,0.934692743119282,0.999446251375812,FALSE,87.9046328036717
"BRANCHED-CHAIN-AA-SYN-PWY",7264.04345851473,-0.000898327939592991,0.0994686822092369,-0.00903126410887114,0.992814688371023,0.999446251375812,FALSE,87.7680479744632
"CALVIN-PWY",10030.6056673256,-0.0117615681135478,0.0989306405584941,-0.11888701060814,0.905636459891497,0.999446251375812,FALSE,87.8007264669422
"CARNMET-PWY",1.59594155098117,-1.02737319104611,0.605407154033994,-1.69699545867676,0.0932388987992611,0.623146640308395,FALSE,87.8266403551129
"CATECHOL-ORTHO-CLEAVAGE-PWY",0.064122606179292,-0.00447076891850845,0.288949564148098,-0.015472488881198,0.987690239858367,0.999446251375812,FALSE,88.0456199821584
"CITRULBIO-PWY",644.269232102925,-0.2938749951022,0.135827701952958,-2.16358659446347,0.0332211537180764,0.391814195322019,FALSE,87.518941260353
"COA-PWY",6383.21026612263,0.00133127226251772,0.0972265908986139,0.0136924708581621,0.98910642660284,0.999446251375812,FALSE,87.7132483232981
"COA-PWY-1",6741.77113477895,0.00459313279732715,0.097039314519441,0.0473327003603983,0.96235568397677,0.999446251375812,FALSE,87.702795868705
"COBALSYN-PWY",5030.95928221338,-0.0250826367012912,0.0965663920891776,-0.259744991592186,0.795670787994107,0.999446251375812,FALSE,87.4831777701886
"CODH-PWY",1645.64304736517,-0.313311467243612,0.136131205983947,-2.3015403777482,0.0237244078378826,0.344050779474922,FALSE,87.9421959837237
"COLANSYN-PWY",5990.99595254721,0.0323519453130324,0.100627756977074,0.321501206872803,0.748597182499409,0.999446251375812,FALSE,87.5174955025427
"COMPLETE-ARO-PWY",7820.96706247931,-0.0192207082539961,0.100519345212433,-0.191214021672901,0.848799237340308,0.999446251375812,FALSE,87.8334850947354
"CRNFORCAT-PWY",0.0974300775946377,-0.0335542000613751,0.497739602745381,-0.0674131611716253,0.946406122865927,0.999446251375812,FALSE,87.7703262149044
"DAPLYSINESYN-PWY",6006.24407766759,-0.0303122380303835,0.101070622630937,-0.299911460336698,0.764953296075129,0.999446251375812,FALSE,87.8359578182247
"DARABCATK12-PWY",2027.27007138662,-0.161322772075394,0.110874363853344,-1.45500516502426,0.149247134126645,0.806538080749725,FALSE,87.473333431852
"DENITRIFICATION-PWY",0.069994649646079,-0.44795933644883,0.342825898527796,-1.30666714029631,0.193910427188601,0.914800956501516,FALSE,116.000000000109
"DENOVOPURINE2-PWY",2254.6981636048,-0.0159076092463838,0.0909540295811001,-0.174897245560732,0.861564220385813,0.999446251375812,FALSE,87.5483554109163
"DHGLUCONATE-PYR-CAT-PWY",0.315642489522244,-0.0731525009834157,0.432128752610653,-0.169284039864216,0.865961058269314,0.999446251375812,FALSE,88.1588985890538
"DTDPRHAMSYN-PWY",7611.27973695343,-0.0202838274145651,0.101317938282843,-0.200199764803149,0.841787916931267,0.999446251375812,FALSE,87.6898898738712
"ECASYN-PWY",0.491181065220322,-0.0285171245845002,0.545987554159113,-0.0522303564747369,0.958463627316038,0.999446251375812,FALSE,87.9250127474021
"FAO-PWY",0.510271261875133,-0.114285396007855,0.55505698770745,-0.205898490675503,0.83734650236674,0.999446251375812,FALSE,87.8688213393495
"FERMENTATION-PWY",6182.83866457867,-0.00848746420168575,0.0981267733600558,-0.0864948872877208,0.931270413474914,0.999446251375812,FALSE,87.6029129523638
"FOLSYN-PWY",5917.69044731109,-0.0152273193457921,0.100005844077064,-0.15226429501518,0.879328713893088,0.999446251375812,FALSE,87.5803181770915
"FUC-RHAMCAT-PWY",2098.54407131828,-0.132969135154255,0.108007643970466,-1.23110856108124,0.221584726240787,0.964741885743798,FALSE,87.4042370106449
"FUCCAT-PWY",2073.55010774243,-0.191993867118728,0.110626405115541,-1.73551573802117,0.0861693725079321,0.595757213373806,FALSE,87.5142928861669
"GALACTARDEG-PWY",963.882659040825,-0.327670781474501,0.122451471293129,-2.67592359662311,0.00889730515980757,0.263227336531278,FALSE,87.3971597166486
"GALACTITOLCAT-PWY",295.451536600146,-0.22694360039852,0.130642320752985,-1.73713693304347,0.0858877794931831,0.595757213373806,FALSE,87.3527372537473
"GALLATE-DEGRADATION-I-PWY",0.0586317722571699,-0.186800021339329,0.189525135840908,-0.985621355766412,0.327025515976952,0.999446251375812,FALSE,87.8582289093555
"GALLATE-DEGRADATION-II-PWY",0.061261690553284,0.0342036827464232,0.264682274951999,0.129225437376289,0.897472800152137,0.999446251375812,FALSE,88.4117163288573
"GLCMANNANAUT-PWY",2633.90575617324,-0.0100929939201775,0.108314176743593,-0.0931825752049999,0.925971276214726,0.999446251375812,FALSE,87.6119532471123
"GLUCARDEG-PWY",118.817692435066,-0.280115089719867,0.210186918140254,-1.33269516579977,0.186088683979287,0.888351931853503,FALSE,87.5816858693715
"GLUCARGALACTSUPER-PWY",963.882659040825,-0.327670781474501,0.122451471293129,-2.67592359662311,0.00889730515980757,0.263227336531278,FALSE,87.3971597166486
"GLUCONEO-PWY",7770.98241424714,-0.0110916604397212,0.097678576242646,-0.113552642415345,0.909851744906942,0.999446251375812,FALSE,87.7771348003764
"GLUCOSE1PMETAB-PWY",8866.49675743689,0.0215508427594903,0.0998305836298328,0.215874153750316,0.829586572026646,0.999446251375812,FALSE,87.7996199514337
"GLUDEG-I-PWY",853.513234447833,-0.251666192503329,0.140430171644176,-1.79210912837879,0.0765507327938048,0.575228849314166,FALSE,88.0418459262423
"GLUTORN-PWY",6110.93360083937,0.0240311217518795,0.103548324566243,0.232076393824276,0.817017932685333,0.999446251375812,FALSE,87.9334974761781
"GLYCOCAT-PWY",52.2402367252781,1.23505465129567,0.410935041125653,3.00547416913523,0.00345999597403572,0.263227336531278,FALSE,87.4313816219061
"GLYCOGENSYNTH-PWY",9544.89069433269,-0.014960456757818,0.103251401305357,-0.144893498477311,0.885126832420225,0.999446251375812,FALSE,87.8589125645312
"GLYCOL-GLYOXDEG-PWY",0.769531158567681,-0.3500368589681,0.585774702014787,-0.597562267138098,0.55167158207797,0.999446251375812,FALSE,87.7184293180114
"GLYCOLYSIS",7895.1987142948,-0.0215343902065906,0.0983658248378416,-0.218921462226241,0.82721897565081,0.999446251375812,FALSE,87.8607886288794
"GLYCOLYSIS-E-D",0.595706480708267,-0.0594174290168647,0.632178571368855,-0.0939883629529046,0.925332374443842,0.999446251375812,FALSE,87.8748673006483
"GLYOXYLATE-BYPASS",0.615498300327651,-0.206471536827211,0.530009011857963,-0.389562313484856,0.697804267530811,0.999446251375812,FALSE,87.7332348499453
"GOLPDLCAT-PWY",337.649071131041,-0.297600910763752,0.245642313887445,-1.21152136231755,0.228962091949919,0.964741885743798,FALSE,87.3730798249256
"HCAMHPDEG-PWY",0.277091345319519,0.0595463465232711,0.387675838362761,0.153598291744846,0.878278474080074,0.999446251375812,FALSE,87.9231520923696
"HEME-BIOSYNTHESIS-II",28.6100650401317,-0.463232371363738,0.246527258679327,-1.87903104040228,0.0635756610277073,0.5542139146111,FALSE,87.3334439364526
"HEME-BIOSYNTHESIS-II-1",106.818547226086,-0.334919866565385,0.212647787648992,-1.57499812374357,0.11887290126937,0.711463185209213,FALSE,87.3281266457896
"HEMESYN2-PWY",106.818547226086,-0.334919866565385,0.212647787648992,-1.57499812374357,0.11887290126937,0.711463185209213,FALSE,87.3281266457896
"HEXITOLDEGSUPER-PWY",851.033122828223,-0.228901605295231,0.118675076381195,-1.92880942043786,0.0570003100471626,0.545297285999575,FALSE,87.3908798497508
"HISDEG-PWY",2137.54040899354,0.0653321548513151,0.130212642713086,0.501734343839943,0.617113610970426,0.999446251375812,FALSE,87.5647360691538
"HISTSYN-PWY",6011.68333816304,0.0501189765574747,0.0989929324648126,0.506288432007909,0.61392425366334,0.999446251375812,FALSE,87.7231403626154
"HOMOSER-METSYN-PWY",1881.27842369919,-0.0015708433091495,0.126458964756579,-0.0124217631559235,0.990117346006642,0.999446251375812,FALSE,87.6692072404955
"HSERMETANA-PWY",3890.67363306115,0.153792112416079,0.110733957335116,1.38884327912761,0.168412171804727,0.872383570534267,FALSE,87.3317151220477
