"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df"
"14DICHLORBENZDEG-PWY",0.495322455809586,-0.00402558577979698,0.129077300776049,-0.0311874028631992,0.975279147990721,0.996449233590735,FALSE,39.0000002312802
"1CMET2-PWY",6187.07044648802,-0.00896696975942451,0.0558956048735154,-0.160423521307545,0.873375532878883,0.996449233590735,FALSE,39.0000000326896
"ALLANTOINDEG-PWY",3.09718852519005,0.202345930570173,0.433670490210151,0.466589115787239,0.643389879781005,0.996449233590735,FALSE,39.0000000278598
"ANAEROFRUCAT-PWY",4638.344422323,-0.140181154250401,0.0739985855402099,-1.89437613201713,0.0656078827759807,0.925000675715852,FALSE,39.000000365502
"ANAGLYCOLYSIS-PWY",6031.59829704757,-0.12648902465434,0.0687754136689985,-1.83916050673436,0.0735139604298641,0.925000675715852,FALSE,39.0000003718388
"ARG+POLYAMINE-SYN",1256.22276795886,0.028650541651846,0.0867196990025473,0.330381008944743,0.742880404205928,0.996449233590735,FALSE,39.0000005522569
"ARGDEG-PWY",0.682008702581649,0.253618212142025,0.200102486966998,1.26744157949348,0.212513199715572,0.996449233590735,FALSE,39.0000000209631
"ARGININE-SYN4-PWY",6437.91403111891,-0.042282881681632,0.0676450528250086,-0.625069830176848,0.535565669841867,0.996449233590735,FALSE,39.0000000645954
"ARGSYN-PWY",7196.70348288865,-0.011592648235867,0.0716793105508955,-0.161729349051645,0.872353968470302,0.996449233590735,FALSE,39.0000028597312
"ARGSYNBSUB-PWY",7371.20264717817,-0.0258404266911525,0.0747165085772648,-0.34584628194224,0.731316981538331,0.996449233590735,FALSE,39.0000003467707
"ARO-PWY",8230.42459136151,-0.00845422504371501,0.0605595282215287,-0.139601897372601,0.889692997690573,0.996449233590735,FALSE,39.0000000519511
"ASPASN-PWY",2732.21377764828,0.100777980123755,0.0772116955857484,1.30521651362823,0.199467499428679,0.996449233590735,FALSE,39.0000005108694
"AST-PWY",0.66969236875284,0.122095635606894,0.177121981487112,0.689330791027639,0.494696286954389,0.996449233590735,FALSE,39.0000009119945
"BRANCHED-CHAIN-AA-SYN-PWY",7739.29530239497,-0.012239592759991,0.0727749325690041,-0.168184185514505,0.867307555505265,0.996449233590735,FALSE,39.0000004049263
"CALVIN-PWY",10958.4670682695,-0.0244460680920519,0.0615342748112187,-0.3972756348726,0.693330190211578,0.996449233590735,FALSE,39.0000004131586
"CARNMET-PWY",5.94082809641015,-0.670529583195036,0.388508296063274,-1.72590801789682,0.0922798983226288,0.996449233590735,FALSE,39.0000008924961
"CITRULBIO-PWY",284.031994810033,-0.309898264348953,0.138113254399071,-2.2437981473778,0.030596242070183,0.763080845654906,FALSE,39.0000029113567
"COA-PWY",6793.81402048461,0.0161700657494752,0.0640306348505201,0.25253639585527,0.801952768770043,0.996449233590735,FALSE,39.0000003920434
"COA-PWY-1",7228.4526762559,0.0158552337284141,0.0633583356452453,0.250247004864371,0.803709933977059,0.996449233590735,FALSE,39.0000003935845
"COBALSYN-PWY",5881.29673688194,-0.00992401595401244,0.0817256329775245,-0.121430885175789,0.903973270862264,0.996449233590735,FALSE,39.0000003536378
"CODH-PWY",1295.69782816311,-0.0585677474565769,0.100907833796913,-0.580408331571661,0.564978081265513,0.996449233590735,FALSE,39.0000001191768
"COLANSYN-PWY",4881.44810536569,0.043919982523382,0.0737708967803336,0.595356494772753,0.55504442587916,0.996449233590735,FALSE,39.0000000421584
"COMPLETE-ARO-PWY",8592.66686898113,-0.0128218787246481,0.0609825257751419,-0.210254963396,0.834563311296816,0.996449233590735,FALSE,39.0000000773337
"CRNFORCAT-PWY",0.493846043168465,0.211935413290731,0.20969152632795,1.01070089479568,0.318389378024678,0.996449233590735,FALSE,39.0000003362006
"DAPLYSINESYN-PWY",6856.49798776738,-0.0168396056785812,0.0639053642198362,-0.263508484524906,0.793546003563481,0.996449233590735,FALSE,39.0000003165819
"DARABCATK12-PWY",1542.38876086844,-0.156625785626553,0.0650382596788256,-2.40820997363718,0.0208571495570514,0.763080845654906,FALSE,39.0000007049056
"DENITRIFICATION-PWY",0.597919328566767,-0.270205165448405,0.249678531284213,-1.08221225132419,0.285804407612048,0.996449233590735,FALSE,38.9999996893042
"DENOVOPURINE2-PWY",1161.11752717312,0.0156561047976111,0.100030412041277,0.156513449041385,0.876435733187596,0.996449233590735,FALSE,39.0000002467347
"DHGLUCONATE-PYR-CAT-PWY",0.470951982916334,0.202414953175951,0.125387182013399,1.61431934210245,0.114521167307761,0.996449233590735,FALSE,39.0000007537732
"DTDPRHAMSYN-PWY",7599.14390118726,0.00926741214566257,0.068160781935717,0.13596399399295,0.892549143139767,0.996449233590735,FALSE,39.0000003141314
"ECASYN-PWY",9.44886523805705,-0.137976209533913,0.411322362716946,-0.335445436573217,0.739086925975892,0.996449233590735,FALSE,39.0000000397172
"FAO-PWY",0.834989503500494,0.0705219693030975,0.28687253924618,0.245830324116799,0.80710275345435,0.996449233590735,FALSE,39.0000002696514
"FERMENTATION-PWY",4381.69503390401,0.0789988100772186,0.102007940438617,0.77443785000988,0.443341810760427,0.996449233590735,FALSE,39.0000000520118
"FOLSYN-PWY",5376.36122164032,0.038905297305801,0.0585980830631615,0.663934642091721,0.510638464494771,0.996449233590735,FALSE,38.9994026554743
"FUC-RHAMCAT-PWY",1659.13515855207,-0.137376464779652,0.0577958347143378,-2.37692673630636,0.0224601820587875,0.763080845654906,FALSE,39.0000008237766
"FUCCAT-PWY",1645.23325574866,-0.16543085486518,0.0707111165170369,-2.33953108101923,0.024521856228577,0.763080845654906,FALSE,39.0000000435537
"GALACTARDEG-PWY",725.613673832353,-0.204684892442891,0.112885042496055,-1.8132153553474,0.0775000566140309,0.925000675715852,FALSE,39.0000009317941
"GALACTITOLCAT-PWY",516.898898776344,0.185838291418594,0.131553017413353,1.41264940229133,0.165689788198717,0.996449233590735,FALSE,39.0000004916773
"GLCMANNANAUT-PWY",2807.93073132135,-0.00294565414051684,0.114820334802722,-0.0256544639551687,0.979663766759341,0.996449233590735,FALSE,39.0000000421145
"GLUCARDEG-PWY",34.5779904361542,-0.287160251509788,0.576056889398501,-0.498492869010959,0.620936588185318,0.996449233590735,FALSE,38.9999982217061
"GLUCARGALACTSUPER-PWY",725.613673832353,-0.204684892442891,0.112885042496055,-1.8132153553474,0.0775000566140309,0.925000675715852,FALSE,39.0000009317941
"GLUCONEO-PWY",8362.14692147566,-0.0196142657677896,0.0624754058712341,-0.313951794218287,0.755230878385307,0.996449233590735,FALSE,39.000000100825
"GLUCOSE1PMETAB-PWY",9776.27050827423,-0.0661770968287803,0.066279841892175,-0.998449829383089,0.324216195167215,0.996449233590735,FALSE,39.0000003427553
"GLUDEG-I-PWY",698.84345165852,-0.216941749862772,0.118962529272657,-1.82361413454442,0.0758809851912876,0.925000675715852,FALSE,39.0000000749367
"GLUTORN-PWY",6671.97005789286,-0.0397519999339856,0.0711751000786427,-0.558509926787077,0.579688968476118,0.996449233590735,FALSE,39.0000000564203
"GLYCOCAT-PWY",1.85327444132429,0.880404689447941,0.503276177438001,1.74934703631268,0.0880975462457433,0.996449233590735,FALSE,39.0000002018114
