"X"	"ERR4856242"	"ERR4856124"	"ERR4856128"	"ERR4856134"	"ERR4856138"	"ERR4856140"	"ERR4856144"	"ERR4856148"	"ERR4856152"	"ERR4856158"	"ERR4856160"	"ERR4856166"	"ERR4856170"	"ERR4856172"	"ERR4856178"	"ERR4856182"	"ERR4856184"	"ERR4856188"	"ERR4856194"	"ERR4856196"	"ERR4856200"	"ERR4856206"	"ERR4856210"	"ERR4856212"	"ERR4856216"	"ERR4856222"	"ERR4856226"	"ERR4856230"	"ERR4856232"	"ERR4856238"	"ERR4856123"	"ERR4856127"	"ERR4856133"	"ERR4856137"	"ERR4856139"	"ERR4856143"	"ERR4856147"	"ERR4856151"	"ERR4856157"	"ERR4856159"	"ERR4856165"	"ERR4856169"	"ERR4856171"	"ERR4856177"	"ERR4856181"	"ERR4856183"	"ERR4856187"	"ERR4856193"	"ERR4856195"	"ERR4856199"	"ERR4856205"	"ERR4856209"	"ERR4856211"	"ERR4856215"	"ERR4856225"	"ERR4856229"	"ERR4856231"	"ERR4856237"	"ERR4856241"	"ERR4856221"	"ERR4856125"	"ERR4856129"	"ERR4856131"	"ERR4856135"	"ERR4856141"	"ERR4856145"	"ERR4856149"	"ERR4856153"	"ERR4856155"	"ERR4856163"	"ERR4856167"	"ERR4856173"	"ERR4856175"	"ERR4856179"	"ERR4856185"	"ERR4856189"	"ERR4856191"	"ERR4856197"	"ERR4856201"	"ERR4856203"	"ERR4856207"	"ERR4856213"	"ERR4856217"	"ERR4856219"	"ERR4856223"	"ERR4856227"	"ERR4856233"	"ERR4856235"	"ERR4856239"
"AB116294"	0.431378065363155	0	0	0	0	0	0	0.444249170083968	1.15204937958442	1.78728760226558	1.04448177634943	3.85336547660047	0	0.0651371498878194	0.292030164128345	0	0.336014807432192	0	0	0.636422274779617	0	0	5.13839921986348	0.359120155618734	0	0.338286818895735	1.1428133149256	0	0	0	0	0	0	0	0	0	0.165978826484838	1.52290523460139	1.24512279091118	1.12172499900908	0.795984786103596	0	0	0.122345776351921	0	0	0	0	0.137197736237352	0	0	3.78787878787879	0	0	0.275723226399405	0	0	0	0.486813245599957	0	0	0	0	0	0	0.434555883886668	0.333113999012996	1.4512558419197	1.05875661722886	0.385653294667311	0	0.0565307944064267	0	0	0.0889081122645136	0	0.0143120894219347	0.108787622386075	0.142503562589065	0.281509284867641	0.101777717465056	0	0	0	0.260442752679555	0	0	0	0.24666328771752
"AB116313"	0.0609555961926197	0	0	0.180359063456606	0.315330963897277	0	0	0.0781097441905878	0.632041769716955	0.331445353471785	0.664670221313271	7.15953009604714	0	0.605534245253432	1.13115481295283	5.0796102661597	1.11767637217911	0	0	0.382713394968824	0	5.47220723151646	2.42292401170205	0.448900194523418	0.363760372854382	0	0.720969473845682	0	0	1.37191420477539	0.153646141118071	0.634903977332354	0.126702565726956	0.101494740727071	0	0	0.183922483402117	0.573401566064492	0.212302042689924	0.598517578976575	0.846959181272791	0	0.538759689922481	0.603572496669476	4.19478706074005	0.308628367355937	0	0	0.428742925741725	2.373649819976	0	2.69181173436493	0.230986397467705	0.109117361784675	0.341371613637358	0	0	0.569871159563925	0.294227785802172	0	0.554881220738686	0.376070067791578	0	0.274427673864375	0	0.25783649110609	0.102812962658332	0.273306184918965	0.350002187513672	0.594590784598034	0	0.740850937221065	0.135806440084343	0.712281459097777	0.266724336793541	0	0	0.229662758370603	2.06255156378909	0	0.793866196227439	0.459738088604068	0.175654312313367	0	0.961634779124512	0	0	1.02573608922668	0.239905389423889
"AB238928"	1.20973413982276	1.82460270747499	1.03620999502925	1.51071399023745	0.0668074076053553	0.134251692738735	0.413052457662123	0.995899238429994	2.19206459931934	0.281099223830501	0.854575998831349	0.11097080319902	0	3.20137029263468	2.65784415200355	0	0.805866021214494	0.501511910907884	0	1.30724575360138	0.339695891297315	3.52941176470588	0	1.18210384557833	0.466067977719677	0.338286818895735	0	0.0875848478213269	2.21343873517787	1.44071226224201	0.750502304692117	0.634903977332354	1.50581126190882	0	0.119811121291141	0.541811197431414	0.906154674322627	1.55681607990628	0.579527197613037	0.578699116096556	1.10183115711877	0	0.736434108527132	2.02822109241184	0.104724226204329	0.423261760945285	1.34092149372418	0	0.62882295775453	0.960128017068942	0.203717850776674	0	2.07032252545128	0.1454898157129	0	0	8.65156742162892	1.42467789890981	0.732894666452683	0.260536398467433	1.45656320443905	0.494829036567866	1.27036730185032	0	0.111150807828193	0.408482530853468	0.785491034709656	0.822651616606084	0.43750273439209	0.601639278234252	0.0985196786742788	5.04314192204701	1.87984703906222	0.166507354074805	1.05968858131488	1.06586995579062	0	0.157137676779886	3.38258456461412	0	0	0.919476177208136	0.10539258738802	0.286250123383674	0	0	1.99484445485969	2.03602434578429	0.574421354958608
"AB266102"	0	0	0	0	0	0	0.152511676675245	0	0	0	0	0	0	0.0699621239535837	0	0	0	0	0	0.0774027090948183	0	0	0	0	0	0	0	0	0	0	0	0	0.121829390122073	0	0	0	0	0	0	0.186293551072179	0	0	0	0	0.0465441005352572	0	0.155921103921416	0.0880105612673521	0	0.166688891852247	0	0	0	0	0	0	0.110994450277486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11910289278721	0.125946386913025	0	0.435010875271882	0	0	0	0	0	0	0	0	0.142120060555504	0
"AB547647"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611929657794677	1.12621912152061	0	0	0	1.19702361695244	0	0	1.18210384557833	0.61384562919177	0	0	0.295598861396978	0	2.52934034803723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788340702815918	1.28301221286539	0	0	0	0	0.853068500127324	0	0.658738985370862	1.72162948593598	0	0.0535227715064227	0	0.945655764783614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91696216582899	2.42695117262591	0	0	0	0	0.148162781509285	0	0.473669545834494	1.29984191111892	0	0	0.220529270248597	0	1.08134828683536	0
"AB547651"	0.384489145214986	0	0.279126677627806	0.430214279804749	0	0.443614289049732	0	0	0	0	0	0	0	0	0.388141357385776	0	0.691962696661209	0	0	0	0	0.766324878575283	0	0	0	0	0	0	0	0	0	0.146919928638892	0.509246850710265	0	0.532102332793009	0	0	0	0	0	0	0	0	0.663385987330415	0	0.396807900886204	0	0	0	0.680090678757168	0.407435701553349	0	0	0	0	0	0	0	0.871984165195528	0	0	0.66307090900094	0.220933443800055	0	0.527966337183915	0	0	0	0	0	0	0	1.44741074300418	0	0.487793156478278	0	0	0	0.322508062701568	0.0938364282892137	0	0	0	0	0	0	0	0	0.969758405136003
"AB600999"	0	0	0.0305892249455129	0.0512947795151816	0.392827556719489	0	0.273250087376481	0	0	0	0	0	0	0	0	0	0	0	0.637519105462151	0	0	0	0	0	0	0	0.0536892161374444	0	0.0299850074962519	0	0	0	0.0438585804439463	0.0953435443193701	0	0.0516010664220394	0	0	0	0	0	0	0	0	0	0	0	0.48005760691283	0.05716572343223	0	0	0	0	0.254607177497575	0	0	0	0	0	0	0	0.0940175169478945	0.230139003958391	0.28887123564671	0	0	0	0	0	0	0	0	0	0	0	0	0.127377595855219	0.193400217575245	0	0	0	0	0	0	0	0	0.0292928701154139	0	0
"AJ305238"	0	0	0	0	0.197749926511852	0	0.193816922441458	0.0537004491310291	0.262117657006363	0	0	0	0	0	0	0	0	0.0835853184846473	0	0	0	0	0	0	0	0	0.153397760392698	0	0	0.27923917442331	0.121144072804633	0.398782663448421	0	0.307559820385065	0	1.58529942952154	0.197380226090077	0.123312164745052	0	0.293313250624282	0	0.290815387447083	0	0.095157826051494	0	0	0.183207297107664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178138453164432	0	0.122770275149852	0	0.168028275102845	0.21385096232933	0.144852278007051	0	0.0246697277267601	0.694690041934017	0	0.092920195847182	0	0	0	0.0715604471096735	0	0	0	0	0	0	0	0	0	0.0908078973577831	0.237896623103779	0
"AY126616"	0	0.507651559741024	0	0	0	0	0.108029104311632	0	0.985055065846492	0	0	0	0	0	0	0	1.14757599487435	0	0	0	0	0	0	0	2.1370921905195	0	0	0	0	0.866046135167948	0.552535161328448	0	0.243658780244146	0	0	0.111802310581085	0	1.08206424563783	0	0	0	0	0	0	0	1.34473788633658	0	0	0	0	0	0	0	0	0	0	0	0.677238189626693	0	0	0.901681983700364	0	0.598361410291816	0	0	0	0	0.92650796687529	0	0	0	0	0	0	0.975586312956555	0	0	0	0	0	0	0	0.597224661865449	0.227025959924983	0	0	0	0.722958568912782	0
"AY305310"	2.03029024241572	0	0	0	0	3.1811814148961	0	3.71021284905292	0	3.73400461506188	6.60287780293624	0	2.56398862424458	5.61626981254976	0	0	6.78151918559123	5.95176635445092	0	0	0	0	0	0	0	13.8214328863115	4.17241908268139	5.56163783665426	0	0.683933630109267	0	1.16486514849407	0	0	0	6.78840696041051	0	0	1.68694055542805	12.7670537873083	0	0	1.86434108527132	3.21089693048041	0	0	3.03266547127154	0	1.16618075801749	8.17442325643419	3.03030303030303	0	0	0	6.74865420806162	0	0	3.14667988107037	4.79323811052266	3.8007662835249	0	0	3.17591825462579	0	0	1.48328408366649	2.21664747491364	0	0	0	0	0.776554596846177	3.48808119795576	0	3.49865436370627	0	4.39094903464957	0	0	3.87198735677598	0	0	0	3.94827756391274	10.2173695281979	0	0	4.40572187722063	5.49755026186856
