"X"	"SRR2467275"	"SRR2467278"	"SRR2467282"	"SRR2467285"	"SRR2467290"	"SRR2467293"	"SRR2467297"	"SRR2467300"	"SRR2467303"	"SRR2467306"	"SRR2467309"	"SRR2467312"	"SRR2467315"	"SRR2467318"	"SRR2467322"	"SRR2467324"	"SRR2467328"	"SRR2467330"	"SRR2467333"	"SRR2467337"
"AB238928"	0.10417751849151	0.15625	0.455758114717652	0.0493924725871777	0	1.77737059092991	0.360936372073837	0.101902173913043	0	0	0.302915562287012	0	0	0	0	0.287088764742396	0	0.156976014065051	0.24116196218142	0.142675967025999
"AB547651"	0.11459527034066	0	0.0555802578923966	0.414896769732293	0	0	0	0	0	0	0	0	0.522427046794537	0	0	1.46648044692737	0	0	0.0383666758015895	0.49143944197844
"AB554230"	0	0	0	0	0	0	0	0	0	0	0	0.188205771643664	0	0	0	0.178460583488516	0	0	0	0.673747622067216
"AB910742"	0.520887592457548	0	0.0778123610493553	0	0	0	0	0	0	0	0	0	0.246287036345996	0	0.460282108389013	0	0	0	0.0328857221156481	0
"ABOU02000049"	0	0.09375	0	0	0	0	0.134062081055997	0.36231884057971	0	0	0	0	0	0	0	0.100869025450031	0.216832637327337	0	0	0
"ACCH01000108"	0	0	0.177856825255669	0	0	0	0	0	0	0	0.170390003786445	0	0	0	0	2.72346368715084	0	0	0.164428610578241	0
"AF192152"	0	0	0	0.167934406796404	0	0	0.309374033206146	0	0	0	0	0	0	0	0	0	0	0	0	0
"AQHX01000008"	0.125013022189811	0	0	0.0296354835523066	0	0	0	0.0566123188405797	0	0	0.302915562287012	0	0	0.465900875572335	0	0	0	0	0.0438476294875308	0.396322130627774
"ARFY01000032"	0	0	0	0	0	0	0.0206249355470764	0	0	0	0.141991669822037	0.448108980103961	0	0	0	0.279329608938547	0	0	0	0
"CP001104"	0.0833420147932076	0.8125	0.500222321031569	0.276597846488195	0.309663641217298	0.229042601923958	0.866247292977209	0	0	0.934023944977499	0	1.26366732389317	0.104485409358907	0.232950437786168	0.601336302895323	0.100869025450031	0	0.0439532839382142	0.356261989586188	0.0634115409004439
"FP929032"	0.364621314720283	0	0.266785237883504	0.138298923244098	0.106780565936999	0.100778744846541	0.164999484376611	0.554800724637681	0	0.271716056720727	1.99734948882999	0.107546155224951	0	0	0	0	0	0.0439532839382142	0.306933406412716	0.261572606214331
"FR733670"	0	0	1.92307692307692	0	0	0	0	0	0	0	0	0	2.67184118217777	0	1.48478099480327	0	0	0	0	1.0859226379201
"G000020605"	0	0.739583333333333	0	0	0	0	0	0.147192028985507	0	0	0	0	0	0	0	0	0	0	0	0
"G000153885"	0	0	0	0	0	0	0	0.0905797101449275	0	0	0	0.313676286072773	0	0	0	0.170701427684668	0	0	0.246642915867361	0.0792644261255549
"G000153925"	0.0520887592457548	0	0.188972876834149	0.197569890348711	0	0	0	0	0.12977819726286	0	0	0.600466033339308	0.276140010448541	0.249015985219696	0	0	0	0.470928042195153	0	0
"G000154245"	0	2.86458333333333	3.40151178301467	0	0	0.989464040311498	0.866247292977209	0.554800724637681	0	0	0	0	0	0	1.70007423904974	0	0	1.45045836996107	0.394628665387778	0
"G000154425"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734966592427617	7.991930477964	0	0.0753484867512244	5.7659632776103	0.380469245402663
"G000154445"	1.34388998854047	0	0	0	0	0	0.278436629885532	1.01902173913043	0	1.47745605841895	0	1.47875963434307	0.194044331666542	0	0	0.473308504034761	0	0.0627904056260203	0	0
"G000154525"	0	0	0	0	0	0.439761795693999	0	0	0	0	0	0	0	0.988031167162021	0	0	0	0	0.20279528637983	0
"G000156015"	0	0	1.36727434415296	0	6.15056059797117	0	0	0	0	0	0.066262779250284	0	2.08224494365251	0	1.10616184112843	0	0	0	0.575500137023842	3.46385542168675
"G000157935"	0	0	0	4.32678059863677	0	1.19102153000458	0	0	0	0	0	0	0	0	1.40311804008909	0	0	0.219766419691071	0.328857221156481	3.32117945466075
"G000160055"	0	4.8125	0.0444642063139173	0	0	0	0	0.339673913043478	0	0.40757408508109	0	0	0	0.265081532653225	0	1.25698324022346	0	0.778601029762652	0.575500137023842	0
"G000162015"	0	0	0	0	0.160170848905499	0	0	0.917119565217391	0	0	0	0	0	0	0	0	0	0.690694461886224	0	0
"G000210555"	0.208355036983019	0	0.611382836816363	0	0	0	0.350623904300299	0	0	0.399082958308568	0	0.412260261695644	0	0	0	0	0	0	0	0
"G000210635"	0	0	0.555802578923966	0	1.12119594233849	0	0	0	0	0	0	0	0	1.80737408627199	0	0	0	0	0.109619073718827	0
"G000225345"	0	0.375	0	0.167934406796404	0.662039508809397	0	0	0	0	0	0	0.241978849256139	0.858273005448168	0.586392481323801	0.185597624350408	0	0.353356890459364	0.113022730126837	0.109619073718827	0.681674064679772
"G000235885"	0	2.27083333333333	0	0	0	0	0	0	0	0	0	0	0.940368684230166	0	0	0	0	0	0	0
"G000236865"	0.0937597666423586	0	0.122276567363273	0.0493924725871777	0	0	0	0	0	0	0	0.259903208460298	0	0.192786569202346	0.089086859688196	0	0	0	0	0.110970196575777
"G000265365"	0	0	0	0	0	0	0.0412498710941528	0	0	0	0	0.197167951245743	0	0.546228612739979	0	0.271570453134699	0	0	0	0
"G000296465"	1.5939160329201	0	0	0.0790279561394844	0	0	0	0	0	0	0	0.179243592041585	0	0	0.0148478099480327	1.20266914959652	0	0	0	0
"G000312145"	0	0	0	0	0	0	0	0.147192028985507	0	0	0.151457781143506	0	0	0	0	0	0	0	0	0
"G000411515"	0.0312532555474529	0	0	0	0	0	0	0	0	0	0.160923892464975	0	0	0	0.0519673348181143	0	0	0	0.279528637983009	0
"G000431455"	0	0	0	0	0	0	0.164999484376611	0	0.25955639452572	0	0	0.152357053235347	0	0	0	0	0	0	0	0
"G000433315"	0.666736118345661	0	0	0	0	0	0	0	0.0235960358659745	0	0	0	0.567206507948354	0	0.126206384558278	0	0	0	0.131542888462592	0
"G000434535"	0	0	0	0.256840857453324	0.288307528029899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"G000723465"	0.10417751849151	0	0	0.889064506569199	0.0854244527495996	0	0	0	0	0	0	4.36458146621258	0	0	0	0	0	0	0	0
"G000752095"	0	0	0.911516229435305	1.11626988047022	0.149492792311799	0.586349060925332	0	0	0.684285040113261	0.602870000849113	0	0.179243592041585	0.320919471602358	0.562294160173508	0.3637713437268	0.535381750465549	0	0.753484867512244	0.422033433817484	0
"G000765235"	0.125013022189811	0.302083333333333	0	1.17554084757483	0.149492792311799	0.586349060925332	0	0.350996376811594	0.353940537989618	0.416065211853613	0	0	0.686618404358534	0.281147080086754	0	0.907821229050279	0	0.514881326133367	0	0.98287888395688
"G000813025"	0	0	0	0	0	0	0.40218624316799	0	0	0	0	0	0	0	0	0	0	0	1.43600986571663	0.0871908687381103
"G001314995"	0	0.416666666666667	0.188972876834149	0	0.138814735718099	0	0	0	0	0	0	0	0	0	0.0816629547141797	0	0	0	0	0
"G001318345"	0.750078133138869	0.145833333333333	0	0	0	0	0	0	0.530910806984427	0.467011972488749	0	0	0.141801626987089	0	0	0.752638112973309	0	0.194650257440663	0.219238147437654	0
"G001405615"	0	0.572916666666667	0	1.17554084757483	1.04644954618259	0	0	0	0	3.08227901842575	0	4.92919878114357	0	2.04835729777492	0	0.26381129733085	0.682621265660135	0	0.301452452726774	2.43341788205453
"G001406335"	0	0.739583333333333	0.477990217874611	0	0	0	0.474373517582758	2.04936594202899	0.294950448324681	0	0	0.286789747266535	0.850809761922532	0.53016306530645	0.690423162583519	0	0.224863475746868	0.477207082757755	0.580981090709783	0.285351934051997
"G001406535"	3.87540368788415	0.135416666666667	0.0889284126278346	0.0493924725871777	0.181526962092899	0	0.154687016603073	0.611413043478261	0	0	0	0.0896217960207923	0	0	0.103934669636229	0.0620732464307883	0	0	0.164428610578241	0.0475586556753329
"G001414325"	0.135430774038962	0	0	0.237083868418453	0	0	0	0	0.483718735252478	0	0	0	0	0.337376496104105	0	0	0	0	0	0.118896639188332
"G001481375"	0	0	0.188972876834149	0	0	0	0	0	0.0825861255309108	0	0	0.0268865388062377	0.141801626987089	0	0	0	0.040154192097655	0.0188371216878061	0.0219238147437654	0
"G001643385"	0	0	0	0	0	0	0.195936887697226	0	0.0943841434638981	0.0934023944977499	0	0.367449363685248	0	0	0.0519673348181143	0	0	0	0	0
"G001701255"	0	0	0.0444642063139173	0	0	0	0	0	0	0	0	0	0	0	0	1.80012414649286	0	0	0.115100027404768	0.998731769181991
"G001765415"	0	0	0	0	0.128136679124399	0	0.134062081055997	0	0	0	0	0	0	0	0	0	0	0	0	0
"G001916615"	0	0.0625	0.133392618941752	0	0.0640683395621997	0	0.0721872744147675	0	0	0.229260422858113	0	0	0	0	0	0.131905648665425	0	0	0	0
"G003150645"	0	0.0833333333333333	0	0	0	0.119102153000458	0	0.169836956521739	0.235960358659745	0	0	0.322638465674852	0.216434062243451	0	0.0371195248700817	0	0	0	0	0.0317057704502219
"G003324125"	0	1.07291666666667	0.289017341040462	0.810036550429715	0.982381206620395	0.723774622079707	3.06280292874085	2.17391304347826	0	3.71911352636495	0	1.2098942462807	0	2.91589685918548	1.37342242019302	1.62942271880819	1.89527786700932	0.634183096822805	1.81967662373253	0.943246670894103
"G003343725"	0.166684029586415	0	0	0.0395139780697422	0	0	0	0	0	0	0	0	0	0.112458832034702	0	0	0	0.0376742433756122	0	0
"G003435925"	0	0.635416666666667	0	0.651980638150746	0.363053924185798	0.59551076500229	1.30968340723935	0	2.25342142520057	0	0	0.725936547768417	0	0.265081532653225	1.06904231625835	2.77001862197393	0.216832637327337	0	0.575500137023842	0.237793278376665
"G003477605"	0.0416710073966038	0.479166666666667	0	0	0.138814735718099	0	0.11343714550892	0	0.448324681453516	0.101893521270273	0.889814464218099	0.295751926868614	0.156728114038361	0.417704233271749	0.155902004454343	0.418994413407821	0.835207195631224	0	0.383666758015895	0.0475586556753329
"G003478355"	0	0	0.100044464206314	0	0	0	0	0	0	0	0	0	0.0373162176281812	0.152622700618524	0.0965107646622123	0	0	0	0.115100027404768	0
"G003481355"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136557153184995	0.215293244246474	0	0	0	0	0
"G003481395"	0	0	0	0	0.715429791777896	0	0.123749613282458	0	0	0	0	0	0	0	0.089086859688196	0	0	0	0	0.150602409638554
"G003490145"	0	0	0	0	0	0.0366468163078333	0.051562338867691	0.147192028985507	0	0	0	0	0	0	0.111358574610245	0.0387957790192427	0	0	0	0.190234622701332
"G003524985"	0	0	0	0	0.128136679124399	0	0	0	0	0	0	0	0.0820956787819987	0	0	0	0	0	0.734447793916141	0
"G003539625"	0.10417751849151	0.135416666666667	0	0	0	0	0	0.0226449275362319	0	0	0	0	0.141801626987089	0	0.066815144766147	0	0	0	0.0328857221156481	0.174381737476221
"G004558765"	0.687571622043963	0.09375	0.144508670520231	0	0	0	0.144374548829535	0	0	0	0	0	0.171654601089634	0	0	0	0	0	0.0274047684297068	0.206087507926443
"G004558915"	2.39608292530472	0.114583333333333	3.66829702089818	0.0691494616220488	0.0320341697810998	0	4.1559245127359	0.373641304347826	0.0235960358659745	0	1.32525558500568	0	0.485110829166356	0	0.207869339272457	0	0	0.144417932939847	0.24116196218142	0.277425491439442
"G008667375"	0	0	0	0	0	0	0	0	0	0	0	0.654239110951783	1.3583103216658	1.98409510804081	0.356347438752784	0	0	1.87115408765541	0.197314332693889	0
"G008680475"	0	0.0729166666666667	0	0	0	0	0.103124677735382	0	1.09721566776782	0	0	0	0	0	0	0.0698324022346369	0	0	0.268566730611126	0
"G900066395"	0	0.697916666666667	0	0.256840857453324	0	0	0	0	11.6682397357244	0	0	0.0985839756228715	0	0	0	0	0	2.1662689940977	0.28500959166895	0
"G900066525"	0	0	0	0	0	0.320659642693541	0	0	0	0	0	0.170281412439505	0	0	0	0	0	0.546276528946377	0	0
"G900066845"	0	0	0	0	0	0	0	0	0	0.271716056720727	0	0	0	0.27311430636999	0	0	0	0	0.0109619073718827	0.0634115409004439
"G900116045"	0	0	0	0	0	0	0	0	0	0	0.33131389625142	0	0.350772445704903	0	0	0	0	0	0.0493285831734722	0
"G900128485"	0	0.270833333333333	0	0	0	0.1099404489235	0	0	0	0	0	0	0.619449212627808	0	0	0	0	0	0.0274047684297068	0.150602409638554
"G900538515"	0	0	0	0	0.149492792311799	0	0	0	0	0.0424556338626136	0.198788337750852	0	0	0	0	0.217256362507759	0	0	0	0
"G900538815"	0	0.25	1.12272120942641	0	0	0	0.0412498710941528	0.328351449275362	0	0	0	0	0.320919471602358	0	0.348923533778768	0	0	0	0	0.0951173113506658
"G900539055"	0.270861548077925	0.46875	0	0.0790279561394844	0	0	3.50623904300299	0.339673913043478	0.141576215195847	0	10.5357819007952	2.94855708908407	0.656765430255989	0	0	0	0	1.83347984427979	0.268566730611126	0
"G900539085"	0	0	0.16674077367719	0	0	0	0	0	0	0.144349155132886	0	0	0.231360549294723	0	0	0	0	0	0	0.0317057704502219
"G900539545"	0	0	5.51356158292574	0	0.0213561131873999	0	0	0	0.153374233128834	0	0	0	0	0	0	0	0	0	0.0548095368594135	0
"G900539795"	0	0	0	0	0	3.1424644983967	0.886872228524286	0	0	0	0	0	0.141801626987089	0	0	0	0	0	0.0383666758015895	0
"G900539925"	6.10480258360246	0.208333333333333	0.0666963094708759	0.0493924725871777	0	0	0.299061565432608	0	0	0.152840281905409	0	0	0	0	0.0965107646622123	0	0	0	0.142504795834475	0.689600507292327
"G900540045"	0	0.09375	0.177856825255669	0	0	0	0.257811694338455	0	0.224162340726758	0	0.0567966679288148	0.134432694031188	0	0.168688248052052	0	0	0	0	0	0
