"X"	"SRR5504378"	"SRR5504379"	"SRR5504380"	"SRR5504381"	"SRR5504382"	"SRR5504383"	"SRR5504384"	"SRR5504385"	"SRR5504386"	"SRR5504387"	"SRR5504388"	"SRR5504389"	"SRR5504391"	"SRR5504407"	"SRR5504408"	"SRR5504409"	"SRR5504410"	"SRR5504411"	"SRR5504412"	"SRR5504413"	"SRR5504414"	"SRR5504415"	"SRR5504416"	"SRR5504417"	"SRR5504418"	"SRR5504419"	"SRR5504420"	"SRR5504421"	"SRR5504434"	"SRR5504435"	"SRR5504437"	"SRR5504438"	"SRR5504439"	"SRR5504440"	"SRR5504441"	"SRR5504442"	"SRR5504443"	"SRR5504444"	"SRR5504445"
"G000160055"	0	1.3164687661332	0	0	0	0	2.29710968067651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5173745173745	0	0	0	0	0	0	0	0	2.10751919985712	0	0	0	0	0	0
"G000434535"	0	0	0	0	0	0	0	0	0	8.62885857860732	4.44237918215613	7.23742277140335	0	0	0	0	0	0	0	0	0	0	6.42474717430101	0	0	0	0	59.5642153781689	0	0	0	0	0	0	0	0	0	0	0
"G004558915"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.176629944013	17.841726618705	3.88297872340426	0	0	0	0	0	0	4.63320463320463	0	0	0	0	0	0	0	1.33944307366937	0	0	0	0	0	0	0
"G900538515"	0	0	0	0	0	0	0	0	0	0	0	0	1.03343465045593	0.530035335689046	0	0	0	0	0	0.29158215010142	0	0	0	0	0	0	0	0	1.66123778501629	0	0.319829424307036	0	0	0	0	0	0.0799840031993601	0	0
"G902387315"	0	0	0	0	0.34049240440021	0	0	0	0	0	0.223048327137546	0	0	0.375441696113074	0	0	0	0	0	0.253549695740365	0	0	0	0	0	0.913060738388249	0	0	0	0	0	0	0	0	0	0.262022194821208	0	0	0
"GB-GCA-000980215.1-LARH01000082.1"	46.4661109097499	0	0	0	0	0	0	0	23.396285312939	11.9454414931802	0	0	0	0	0	0	0	0	0	0	0	0	12.5639500297442	24.8648648648649	0	0	0	0	0	0	0	0	0	41.0409114448472	0	0	0	6.95233585858586	0
"GB-GCA-015554585.1-JADNIT010000076.1"	0	0	0	19.2523364485981	0	30.1483679525223	0	0	0	0	0	0	0	0	0	0	0	0	0	22.920892494929	24.6036622833968	0	0	0	13.2087912087912	0	0	0	20.5211726384365	15.1874435411021	0	0	0	19.4717762817193	34.8630136986301	7.42909987669544	0	7.22853535353535	8.6271075104007
"GB-GCA-018336475.1-CP048741.1--6"	0	0	0	0	5.29072812991095	0	0	1.08729908603845	0	8.7724335965542	0	0	0	0	0	0	0	22.2441243366187	0	0	0	0	3.01011302795955	0	1.7032967032967	0	0	0	3.55048859934853	0	0	10.3395605686758	22.754063225576	0	0	0	0	0	0
"GB-GCA-900545115.1-UQXN01000021.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36925795053004	0	0	6.80851063829787	0	0	0.735294117647059	0	0	0	0	0	0	0	0	1.79153094462541	0	0	0	0	0	0	0	0	0	0
"GB-GCA-902646515.1-CACRCQ010000098.1"	0.616165277274375	0	1.19421747328724	0	0	0	0.32815852581093	0	0	0	0	0	0	0	2.54650532779483	0	0	0	0	0.633874239350913	0	0	0	1.85328185328185	0	1.98491464867011	3.20064550833782	0	0	0	0	0	0	0	0	0	0	0	0
"MJ006-1-barcode28-umi157746bins-ubs-3"	8.11888365349764	0	0	0	0	0	3.72333711977786	0	10.8162946776963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2161100196464	0	0	0	0	0	0
"MJ006-1-barcode39-umi169144bins-ubs-3"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14840989399293	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27802220825477	0	0	0	0	6.4475799249866	0	1.89497716894977	0	0	0	0
"RS-GCF-000210395.1-NC-017175.1--13"	0	0	0.565681961030798	0	0	0	0	0	0	0	0	0	93.8601823708207	0	0	3.59712230215827	0	16.5579984836998	0	0	0	0	0	0	0	0	0	8.19191284307563	0	0	0	0.845964046528022	2.41114484729416	0	0	0	0	0	0
"RS-GCF-001487165.1-NZ-LN913006.1"	0	0	0	0	0	0	0	0	0	9.01651112706389	0	0	0	0	0	0	0	0	0	0	0	0	24.5330160618679	0	0	0	0	0	0	13.6630532971996	22.5746268656716	0	0	0	0	0	0	1.38099747474747	0
"RS-GCF-003438725.1-NZ-QSTT01000002.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9468085106383	0	0	0.697261663286004	0	0	0.16656751933373	8.10810810810811	0	0	0	0	0	0	0	0	0.232184318628327	0	0	0	0	0	0
"RS-GCF-003439785.1-NZ-QSVN01000017.1"	0	0	0	0	0	17.9821958456973	7.95153351003408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79120879120879	0	0	0	0	0	0	0	0	0	0	0	0	0	7.90453251587475
"RS-GCF-003461545.1-NZ-QTXH01000007.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99762046400952	0	0	0	0	0	6.15635179153094	0	1.89232409381663	0	5.32237899624933	0	0	0	0	0	0
"RS-GCF-003473495.1-NZ-QUCI01000034.1"	0	0	0	0	0	0	0	31.7680428616451	0	0	0	0	0	0	0	0	0	0	0	0	16.1484576625292	0	0	0	0	0	0	0	0	0	0	0	0	0	34.4520547945205	0	22.755448910218	0	14.4296036785636
"RS-GCF-003474085.1-NZ-QRNS01000091.1"	0	0	0	0	0	0	0	0	0	6.30294328786791	0	0	0	6.51501766784452	0	0	0	0	0	0	0	0	2.6888756692445	0	0	0	0	0	0	0	0	0	0	0	0	17.0622688039457	0	0	0
"RS-GCF-003602705.1-NZ-QTLK01000079.1"	0	0	0	0	0	0	0	0	2.79381926018417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86813186813187	0	4.00753093060785	0.481877226063273	0	0	0	0	0	0	0	0	0	0	0
"RS-GCF-009663755.1-NZ-RDBS01000044.1"	0	0	7.22815839094909	0	0	0	0	0	0	0	0	0	0	0.0662544169611307	15.47769550298	0	0	0	0	0.354969574036511	0	0	0	0	0	0.992457324335054	0	0	0	0.0903342366757001	0	0	0.267904983032684	0	0	0	0.23995200959808	0	0
"RS-GCF-009881395.1-NZ-WWVG01000042.1"	0	0	0	0	21.6081718177056	34.3026706231454	13.5302284488199	0	20.8053691275168	26.6331658291457	0	0	0	0	0	0	0	0	0	47.223630831643	14.4893695465159	0	0	0	25.7032967032967	42.2389837236999	0	0	0	0	0	0	0	0	0	35.6504315659679	0	0	0
"RS-GCF-019052355.1-NZ-JAHQUT010000188.1"	0	0	0	0	4.92404400209534	0	0	0	0	0	3.92193308550186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2377622377622	0	11.1400651465798	0	0	0	0	0	0	0	0	0	0
"RS-GCF-019130915.1-NZ-JAHOLF010000125.1"	0.833635375135919	2.37480640165204	0	0	0	0	1.62817114729269	0	4.38582800062432	0	0	0	0	0	4.33447715369334	0	0	0	0	1.66075050709939	2.23669657121789	4.56769983686786	0	0	0	0	26.9230769230769	0.209511837418814	0	0.383920505871725	0	0	0.589390962671906	2.74469186949767	0	0	0.579884023195361	0	0
"RS-GCF-900217715.1-NZ-OBMS01000001.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.70507495033412	0	0	0	0	0.228194726166329	0.233501290401868	0	0	0	0	0	0	0	0	0	0	0	0	0.543759709994821	0	0	0	0	0
"RS-GCF-902167665.1-NZ-CABHNA010000090.1"	0	0	0	0	29.3347302252488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.59813198967679	0	0	0	15.1318681318681	0	0	0	0	0	0	0	0	0	0	18.8039457459926	40.2919416116777	0	9.54674841252463
