"X"	"SRR10022095"	"SRR10022096"	"SRR10022097"	"SRR10022098"	"SRR10022099"	"SRR10022100"	"SRR10022101"	"SRR10022102"	"SRR10022103"	"SRR10022120"	"SRR10022121"	"SRR10022122"	"SRR10022123"	"SRR10022124"	"SRR10022125"	"SRR10022126"	"SRR10022127"	"SRR10022128"	"SRR10022129"	"SRR10022157"	"SRR10022158"	"SRR10022162"	"SRR10022180"	"SRR10022181"	"SRR10022182"	"SRR10022199"	"SRR10022200"	"SRR10022201"	"SRR10022203"	"SRR10022204"	"SRR10022205"	"SRR10022206"	"SRR10022207"	"SRR10022229"	"SRR10022230"	"SRR10022231"	"SRR10022232"	"SRR10022233"	"SRR10022234"	"SRR10022235"	"SRR10022238"	"SRR10022239"	"SRR10022240"	"SRR10022258"	"SRR10022259"	"SRR10022268"	"SRR10022269"	"SRR10022270"	"SRR10022271"	"SRR10022272"	"SRR10022104"	"SRR10022163"	"SRR10022165"	"SRR10022178"	"SRR10022183"	"SRR10022225"	"SRR10022237"	"SRR10022251"	"SRR10022262"	"SRR10022279"	"SRR10022110"	"SRR10022175"	"SRR10022189"	"SRR10022194"	"SRR10022214"	"SRR10022256"	"SRR10022257"	"SRR10022267"	"SRR10022273"	"SRR10022115"	"SRR10022160"	"SRR10022167"	"SRR10022168"	"SRR10022170"	"SRR10022173"	"SRR10022208"	"SRR10022219"	"SRR10022245"	"SRR10022284"
"AB222699"	0	0	0	0	0	0.586085886907131	0.642387766382116	0.383714413003176	0.917225360291401	0	0.219182642954249	0	0	0.118807030436646	0	0	0	0	0	0.424718026608162	0	0	0.210208837910707	0.100650984593906	0	0	0	0	0.0460378661449042	0.0615540589470635	0.0636844763598832	0	0	0.114476144443455	0.215070281895691	0.143413234992829	0	0	0	0	0	0	0	0	0	0.0765558857966315	0.130890052356021	0.141930251419303	0.150841432862446	0.0823505648005718	0.702044675570264	0	0	2.44464564984772	0	0	0	0	0	0	0	0	0	0	0.0861756168359942	0	0.482398304094543	0	0	0	0	0	0	0	0	0	0	0	0
"AB266102"	0.132187706543291	0	0.129272249996702	0	0	0	0	0	0	0.108466497601515	0	0	0.0970125831026907	0.13717925163819	0	0.178656109046395	0.364948867054341	0	0	0	0	0.0977341955661253	0	0	0	0	0	0.0859447309268809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100326059694006	0	0	0	0.0932684509326845	0	0	0	0.0821117527493976	1.40352288265101	0.117587573345249	0.119111720266941	0.0706453749356097	0.294539086132781	0	0	0	0.19824942021396	0.350826505974369	0	0	0.0997822931785196	0	0	0	0	0	0.152053452636812	0.12436285929481	0	0.274454053627137	0	0.146546546546547	0.290529562415664	0.119750588429616	0
"AB547651"	0.446470723120709	0.436168201582629	0.783548127531032	0.390331972892907	0.356530170806295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.718594342640406	1.9350963489667	0	0	0	0	0.11509466536226	0.125522002558718	0.0812526077695061	0.826621686531652	0.249086064811946	0.422289777280301	1.72184243541491	1.05255070682237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32000282210176	0	0	0	0.175750141881625	0	0.877065932828015	0	0	0	0	0.306906144170295	0	0.532474252616468	0	0	1.70314652933071	0	0	0	0	0	0	0	0	0
"AB600999"	0.0215816663744149	0.0378102465768223	0.0369349285704864	0.0228859137201053	0	0	0	0	0	0	0	0.00828061342784273	0	0	0	0.00771970841558499	0.0347570349575563	0	0	0	0	0	0	0	0.141518885883178	0.0514006682086867	0.0444323763915973	0.00881484419762881	0.174943891350636	0.0422429816303377	0.0922326899005205	0.0290434646619229	0.023545448912572	0	0	0.0128047531243598	0.0909243509400179	0.239841986455982	0.11054516959588	0.171215185015719	0.0087248614928238	0.0934295941272826	0	0	0	0	0	0	0	0	0	0.0201914146105076	0	0	0	0.00883067186695121	0	0	0	0.0354044963710391	0	0	0.0567031186715269	0	0	0.0106043133044366	0.0233687759768983	0.0298891113967182	0	0	0.0277789961548021	0.173407367185721	0.419254876116494	0.104647948505311	0	0	0	0	0
"AF473835"	0	0	0	0	0	0.547495869662217	0.897868943069459	0.231378353908282	1.01752626299952	0	0	0	0	0	0	0	0	0	0	0.28267656737828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267536159184015	0	0.230793479239845	0.385261286179986	0.0513652338469857	0.0301682865724891	0.0233067636228033	0	0	0	0	0	0	0	0	0	0.148055166642527	0	0	0	0	0	0.644212033244522	0	0	0	0	0	0	0.497777528499516	0.432413221182324	0	0	0	0	0
"AJ305238"	0.428935619191497	0	0	0	0	0.0952691050733813	0.124055763679912	0.757368897575557	0.452673810906403	0	0.291318702660711	0.0496836805670564	0.941592718349645	0.140853695878498	0.0844753144358926	0.41796706992953	0.200521355524363	0	0	0.194076449244789	0	0	0	0	0	0	0.0197477228407099	0.0991669972233241	0	0	0	0	0	0	0	0	0	0.0548658138951593	0	0	0	0.0412546259782806	0.0617457198989615	0	0	0	0	0	0	0	0	0.249027446862927	0	0.0458591536046471	0.208853427317376	0.107439841047906	0	0.0457682661150065	0	0.931781972674166	0.0261838856886362	0	0	0	0	0.0357895574024735	0	0	0	0	0	0	0.0687073208351445	0	0	0	0	0	0
"AJ867049"	0.0229305205228159	0.029708050881789	0.0527641836721234	0.0368717498823918	0.0372939509211606	0.190538210146763	0.116686114352392	0.094850753776066	0.219078287494061	0.132909651990589	0.130399800238604	0.475307210758173	0.126972351413816	0.21801702492498	0.108611118560433	0.065066113788502	0.101597486799011	0.457324469891795	0.184599480660128	0.403622760385903	0.290493157524454	0.0586405173396752	0	0.0113638208412474	0	0.0826082167639608	0.033324282293698	0.0253426770681828	0.185302411233239	0.149660849204625	0.171289281243824	0.148568492309067	0.0210669806059855	0.00508782864193134	0.00512072099751645	0	0	0	0	0	0.113423199406709	0.0752290238427471	0.0580035550566002	0.103670261683806	0.249722055930899	0.105827253895344	0.0271658599229477	0.0621789672884563	0.081323207282362	0.0621513696608089	0.438482448883111	0.172300071342998	0	0	0.0897417070504348	0.22076679667378	0.291885580852306	0.0183073064460026	0.120846579279711	0.0740275833212636	0.112216652951298	0.336380708669542	0	0.280793450006255	0.145137880986938	0.141832690446839	0.0567527416581816	0.0941507008996623	0.302693150953892	0.146822976666441	0.0818749360352062	0.479935541503915	0.235567957149067	0.321841803893693	0.284691442209342	0	0.151460909316223	0.143150128697471	0
"AY126616"	0	0	0	0	0	0	0.0859792421543941	0	0.0712664308715621	0.728711540224266	0	0.344473518598258	0	0	0	0	0	0	0	0	0	1.33570067273705	0	0	0	0.668208686712927	0.308558169386093	0.352593767905152	0	0	0	0	0	0	0	0	0	0	0	0	0.645639750468961	0.539950251774556	0.529516325194125	0.336092299974919	0	0	0	0	0	0	0	0	0	0	0.600453603537455	0	0	0	0	0.693606269814448	0	0	0	0	0.881410256410256	0	0	0	0	0.0926114160511396	0	0	0	0	0	0.45045045045045	0	0	0
"CP001726"	0	0	0	0	0	0	0	0	0	0	0.0416169575229587	0	0.0199731788740834	0.0465429603772429	0.018772292096865	0.0716830067161463	0	0.0812751710417779	0.0615331602200426	0.0196889151407757	0.0453895558631959	0	0	0	0.128995090672277	0	0	0	0	0	0	0	0	0	0	0	0.043363921217547	0.0391898670679709	0.120340311205642	0.0619917049194846	0	0	0	0	0.114598477721714	0.0213906151490588	0.011113306332115	0.0216274668829413	0.0209866341373838	0.0170916266567224	0.0153646141118071	0	0.234590739698115	0.0493867808050045	0	0.123629406137317	0.0424560844876081	0	0.0370160693289204	0.0563253351357441	0.0523677713772724	0.0330189652681759	0.194410692588092	0.0514324636150072	0	0	0	0	0.124349618770248	0.0361410404102008	0	0.108598553187017	0	0.0454132606721163	0.0392090010228435	0.0216216216216216	0.100514967091675	0.0275288709033599	0.00729137551799147
"DQ100445"	0	0	0	0	0	0	0	0	0	0.139020440587858	0	0	0	0	0	0	0.045451507252189	0	0.13045029966649	0	0.0226947779315979	0	0	0	0.0989379821661156	0	0.0271531189059762	0.0352593767905152	0	0	0	0	0	0	0	0	0.145478961504029	0.130110358665663	0.139930594425165	0.0354238313825626	0	0.0728022811381423	0	0	0.239459505687163	0	0	0	0	0	0	0.296140747620778	0	0	0	0	0	0	0	0	0	0.0804837278411788	0	0	0	0	0	0	0	0	0	0.164649419348058	0	0	0	0	0	0	0
