"X"	"SRR16937042"	"SRR16937048"	"SRR16937053"	"SRR16937054"	"SRR16937062"	"SRR16937069"	"SRR16937070"	"SRR16937075"	"SRR16937078"	"SRR16937086"	"SRR16937090"	"SRR16937096"	"SRR16937099"	"SRR16937105"	"SRR16937110"	"SRR16937118"	"SRR16937123"	"SRR16937129"	"SRR16937134"	"SRR16937140"	"SRR16937141"	"SRR16937151"	"SRR16937156"	"SRR16937161"	"SRR16937165"	"SRR16937173"	"SRR16937174"	"SRR16937178"	"SRR16937185"	"SRR16937186"	"SRR16937196"	"SRR16937199"	"SRR16937202"	"SRR16937208"	"SRR16937213"	"SRR16937222"	"SRR16937224"	"SRR16937228"	"SRR16937231"	"SRR16937235"	"SRR16937243"	"SRR16937248"	"SRR16937252"	"SRR16937258"	"SRR16937264"	"SRR16937270"	"SRR16937277"	"SRR16937280"	"SRR16937283"	"SRR16937037"	"SRR16937038"	"SRR16937039"	"SRR16937043"	"SRR16937045"	"SRR16937051"	"SRR16937052"	"SRR16937055"	"SRR16937056"	"SRR16937060"	"SRR16937061"	"SRR16937066"	"SRR16937067"	"SRR16937071"	"SRR16937072"	"SRR16937079"	"SRR16937081"	"SRR16937084"	"SRR16937085"	"SRR16937087"	"SRR16937088"	"SRR16937091"	"SRR16937093"	"SRR16937094"	"SRR16937098"	"SRR16937102"	"SRR16937103"	"SRR16937106"	"SRR16937108"	"SRR16937109"	"SRR16937114"	"SRR16937117"	"SRR16937119"	"SRR16937122"	"SRR16937125"	"SRR16937127"	"SRR16937128"	"SRR16937131"	"SRR16937133"	"SRR16937137"	"SRR16937138"	"SRR16937144"	"SRR16937145"	"SRR16937147"	"SRR16937149"	"SRR16937150"	"SRR16937153"	"SRR16937154"	"SRR16937159"	"SRR16937160"	"SRR16937166"	"SRR16937167"	"SRR16937168"	"SRR16937169"	"SRR16937172"	"SRR16937175"	"SRR16937176"	"SRR16937182"	"SRR16937183"	"SRR16937188"	"SRR16937189"	"SRR16937192"	"SRR16937193"	"SRR16937195"	"SRR16937197"	"SRR16937198"	"SRR16937205"	"SRR16937207"	"SRR16937210"	"SRR16937212"	"SRR16937216"	"SRR16937218"	"SRR16937219"	"SRR16937220"	"SRR16937225"	"SRR16937226"	"SRR16937230"	"SRR16937232"	"SRR16937236"	"SRR16937237"	"SRR16937239"	"SRR16937241"	"SRR16937242"	"SRR16937249"	"SRR16937250"	"SRR16937251"	"SRR16937253"	"SRR16937254"	"SRR16937260"	"SRR16937261"	"SRR16937262"	"SRR16937265"	"SRR16937266"	"SRR16937271"	"SRR16937273"	"SRR16937276"	"SRR16937278"	"SRR16937282"	"SRR16937285"
"AB214328"	0	1.52146126252422	0	0	0	0	0	0	0.151053176312624	0	0	0.843270731746568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186748337939792	0	0	0	0.161266676440405	0	0	0	0	0	0.559910414333707	1.28374298302507	0	2.05154617051868	0	0	0.237869851209981	0.869431011420928	0	0	0	0	0	0	0	0	0.0699056274030059	0.589932255032252	0.360512387819284	0.0798023940718222	0	0	0	0	0	0.926324859974149	0.644791188618632	0	0	0	0.104500177872643	0.02753809436387	0	0	0	1.24038026256225	0	0	0	0	2.30539151775443	1.81280089027232	0	0	0	0	0	0	0	0	0	4.05026534494843	12.7980268566731	0	0	0	0	0	0	0	0	0	0.644830510145728	0.181069958847737	0	0	0	0.0158587513876407	0	0	0	0	0	0	0	0	0	5.42285550714036	1.43918932239812	0	0	0	0	0	0.0977829594388763	0.107427580617803	0	0	0	0	0	0	0	0	0	0	0.0345537526815152	0.155181814368997	0.864529586123614	0.237997537956504	4.81058120661671	0
"AB266102"	0.0316668645845703	0.0494784150414382	0.0633813975598162	0.208627767682886	0.0598981731057203	0.0284234461849419	0.0460174029451138	0.33009943239	0.0699320260706593	0.0262250105908697	0.260402238351155	0.168976005407232	0	0.0506006072072865	0.0275777539451509	0.330623306233062	0.026885635229144	0	0.0478391161497635	0.0450472996646479	0.0185314535787088	0	0.0401623404075421	0.219795315612336	0	0.251604786942357	0.0315599639314698	0.0763082854733122	0.0641658440276407	0	0	0.234364274647473	0	0.0674886010106829	0.0372763419483101	0.0649772579597141	0.0497995567839446	0.0957178841309824	0	0.0698436576586257	0.0586424277965108	0.112180178625361	0.111997377622378	0.044219090855492	0	0	0.030740179610478	0.295216156375103	0.0376587045405638	0	0.0438981562774363	0	0.0776717881501978	0.167198271427102	0.0729271850106586	0.164021633123504	0.160371487385705	0.277541772868876	0.13831941905844	0.077128611960444	0.360356733034043	0.0354672814328782	0.0449393319019324	0.103724352533143	0.187926670246222	0.114003420102603	0.0258353427488805	0.0172456270017246	0.0563289611330168	0.131321598211791	0	0	0.0275355667737494	0.204213519451984	0.147132389724274	0.0986860655275475	0.0600320170757737	0.128511107031393	0.0971794812466739	0.127702475635712	0.0736001811696767	0.0523112519490971	0	0.0796111230787963	0	0.173447456732401	0.013804739627272	0.0403203044989396	0.0670831411680852	0	0.0801983085447652	0.0766817706517951	0	0	0	0.0432346583138483	0.0474085463514639	0	0	0	0	0.183617372182518	0	0	0.0700497512437811	0	0.120923284845467	0.0884303610906411	0.0532428861588216	0.0705467372134039	0	0.0410993173939459	0.0681390035672773	0.161230639107681	0.0697923677060744	0.0817613735910763	0.112969207332729	0.0618401376224154	0.0806653999211272	0.205935796486978	0.0351470317494854	0.102642542314891	0.069856793573175	0.0270347635253332	0	0	0	0.118708772308481	0.0669771973087344	0.0949565142326866	0.0752176611068279	0.0452326655232854	0.13641095595362	0	0.0903945920452759	0.152170430882588	0.102627257799672	0.0660663599882549	0	0.0768677220986524	0.00747811316521823	0	0	0.0115337835003984	0.0301899220551103	0	0.0414407569844943	0.178151770146312
"AB547651"	0.720421169298975	0	0	0	0	0	0	0	0.0839184312847912	0	0	0	0	0.759009108109297	0	0	0.257654004279297	0.813848997100663	1.03801855796657	0	1.57089706490285	0.722361032085694	0.911050985034244	0.357167387870046	0	0	0	0.116470540985582	0	0	0	0	0	0	0	0	0	0	0.0245033362234704	0	0	0	0	0	0	0.0251494998043928	0	0	0	0.109444408678298	0.167845891649021	0.393569475018344	0	0	0	0	0	0	0	0	0	0	0	0	0.345171435146123	0.0912027360820825	0	0	0	0	0	0	0	0	0	0	0.386872998932764	0.640719662199376	0	0	0	0	0.98488542174549	0	0.0106925732441267	0	0	0	0	0	1.76071741032371	1.26641106076449	0.976878846776806	0.545791131160099	0	0.375876825340804	0.671407521301813	0	0	0	0	0	2.47157498788909	1.26314004747372	0.380497512437811	0	0	0	0	0	0	0	0	0	0.0623146140232807	0	0	0	0	0	0	0	0	0	0	0.0584663818304475	0.963611777747999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172768763407576	0.283101958646144	0	0	0.0932417032151121	0
"AB818948"	0	0	0.0237680240849311	0	0	0.0173698837796867	0.0167336010709505	0.0724608510124391	0	0	0.110809463128151	0	0	0.0242002904034848	0.0582197027730964	0.357723577235772	0	0	0	0.0116789295426865	0.00570198571652578	0	0	0.04579069075257	0.0324642386121538	0.0290313215702719	0.0450856627592426	0	0.87857847976308	0	0	0	0	0	0.312411246804885	0.341985568209022	0	0	0	0	0.0488686898304257	0	0	0.064854666588055	0	0	0	0.0335472904971708	0	0.047211313547501	0	0	0.218451904172431	0.226360736701307	0	0	0.122073818756283	0.0339847068819031	0.0321098651385664	0.0110183731372063	0.310027580375657	0	0	0	0	0	0	0	0.0321879777902953	0.189997205923442	0	0	0	0.0568695876954892	0.0205985345613983	0	0.0133404482390608	0.066091426473288	0.0832966982114348	0.0940965609947351	0.22080054350903	0.00704189930084	0	0	0	0.113117906564609	0	0	0	0	0.0364537766112569	0.0836528407110491	0.0101230968577907	0.0159588050046812	0	0	0	0	0	0.00829847971851557	0	0.105552501374382	0.00664912563997834	0.214762066237143	0.00398009950248756	0	0.789557918696874	0.32915745517072	0	0	0	0	0	0	0.32839801590269	0.0262804415114174	0.0308097838180169	0.00562183069294685	0.0286810310830674	0.956995760145366	0.323017958459556	0.382393785094693	0.133549752419305	0	0	0	0	0.250907177833835	0.0202961203965862	0	0.413697136087553	0.126274524585838	0	0	0	0	0	0.0269159244396594	0	0.101399973832265	0.0112171697478273	0.0110027947098563	0	0	0	0	0.10705528887661	0
"ABXH02000033"	0	0	0	0	0	0.0205280444669025	0	0.116742482186707	0	0	0.684248434816333	0	0	0	0	0.035230352303523	0	0	0	0	0	0	0	0	0	0.0483855359504532	0	0	0.597235932872655	0	0	0.16474141481496	0	0	0	0.31120686707021	0	0	0	0	0	0	0	0	0	0.544905829095177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00805266442534174	0	0	0	0	0	0	0	0.909310372575843	4.13243922883487	0	0	0	0.173193744345354	0.0147132389724274	0.0479332318276659	0	0	0	0	0.0452924191813395	0	0	0.0177954275117309	0	1.44413860714151	0	0	0	0	0	0	0	0	0.123133142675564	0	0	0.0225292880744968	0.570019183337901	0	0	0	0	0	0	0	1.65024718142049	0.513387374109555	0	0	0	0	0	0.0898662578632976	0.00623146140232807	0	0	0	0	0	0	1.21560971682734	0.375993918349736	0	0	0	0	0	0	0	0.0902611933281935	0.064079609491321	0	0	0	0	0	0	0	0	0	0	0.0849446420087248	0.0629115463658097	0	0	0	0.0151618527784095
"AF473835"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523149652167094	0	0	0.0800840882927073	0	0	0	0	0	0	0	0.253022209727298	0	0	0	0.115711231834317	1.39910197175766	0	0	2.45716630758182	0.0522895346231419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423519943664806	0	0.361528158922534	0	0	0	0	0.33821083672243	0.142509482361711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.430646766169154	0	0	0	0	0	0	2.85282870519281	0	0.243167521277158	0	0.675991356654792	2.62567824315766	0	0	0	0	0.28377644051764	2.63401204002383	0.0238542031105881	0.207006683358634	0	0	0	0	0	0.0470110381917674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AJ305238"	0	0	0.0594200602123277	0	0.0561545372866128	0	0.0397423025435074	0.209331347369269	0	0.0423634786467895	0.10249875339354	0	0	0.0418005016060193	0.06741228742148	0.0650406504065041	0.155712637368793	0	0.46304653933639	0.111784039908571	0.0270844321534975	0	0.682759786928215	0	0.422035101957999	0.0419341311570594	0.0225428313796213	0.0883569621269931	0.069101678183613	0.0339654684404189	0	0.0627586342152229	0	0.0460897762999786	0.434890656063618	0.0530077630723983	0	0.397984886649874	0.0395823123609907	0.104765486487939	0	0.0474608448030375	0.0573645104895105	0.212251636106362	0.0394827756391274	0.139719443357738	0.0790461761412292	0	0	0	0	0.120072043225936	0.0849535182892789	0.0411564975820558	0.0729271850106586	0.0576292224487987	0.1723395088324	0.0226564712546021	0	0.0413188992645236	0.0442896543393795	0	0.0898786638038648	0.0486207902499109	0	0.0760022800684021	0	0.0418822370041882	0.048281966685443	0.0782341436155351	0.0284548989851086	0.01538745614575	0.0183570445158329	0.0568695876954892	0.0735661948621369	0	0.0400213447171825	0.0348815861942354	0.0948656840741341	0.0604906463537583	0.0736001811696767	0.0261556259745486	0	0.0355908550234619	0	0	0.00613543983434312	0.0419331166788972	0.0545050521990692	0.083313235842231	0	0.0975949808295573	0.0182215743440233	0.258532641075836	0	0.352053646269908	0.0269075533346146	0	0.131542888462592	0.434840337250216	0.383303442697894	0.0560747663551402	0	0.0367356165931954	0.127363184079602	0.01231623615823	0.0337873884127041	0	0.0216915462128532	0.030570252792475	0.223553608155236	0.0116150244808978	0.148302537175839	0.0277528149283713	0.0803858520900322	0	0.0770244595450422	0.0449746455435748	0.0268884666403757	0.702604482132041	0.0502100453564076	0.293839434862238	0.104785190359762	0.0349861645621959	0.0295723833369477	0.07195862379132	0	0.111963955700045	0.0284145685552207	0.205019746638755	0.0827394272175107	0.0998888030305886	0.472053702839502	0.0361376120265973	0.0176858984436409	0.0500560627903252	0.0342090859332239	0.0379269844377019	0	0.178267695930917	0.0229684904360274	0.105626829214621	0.287947939012627	0.0922702680031875	0.277198375233286	0	0.0345339641537452	0.0227427791676143
"AJ867049"	0	0.0659712200552509	0.439708445571225	0	0.0486672656483977	0.222650328448711	0.146419009370817	0.144921702024878	0	0	0	0.363700735447947	0.0133636242148871	0.0132001584019008	0.122567795311782	0	0	0.0101731124637583	0.0252734953244034	0.0567262292073344	0.325013185841969	0.366128194344804	0	0	0	0.261281894132447	0	0	0.301085883514314	0.134446645909992	0	0.110808213536253	0.501073729420186	0.0263370150285592	0	0.258199103997811	0.0174298448743806	0.0302267002518892	0.0150789761375203	0.0214903562026541	0.0195474759321703	0.0345169780385727	0.0600961538461538	0.0913861211013502	0.0592241634586911	0	0.917813934084272	0.0424932346297497	0	0.0836927831069336	0	0	0	0.0668793085708406	0.0729271850106586	0.14628956467772	0	0	0	0	0	0.0602943784358929	0.0549258501023618	0.0194483160999643	0.030681905346322	0	0	0	0	0	0.154130702836005	0.0246199298332	0.114731528223956	0	0.688579583909602	0.259403372243839	0	0.0128511107031393	0.384090330641616	0.181471939061275	0	0.114682360042251	0.00975134080936129	0.0880405361106688	0	0	0.1618222256308	0.537066455925875	0.055902617640071	0.0438490714959111	0.153105861767279	0.0883002207505519	0.108317136378361	0.0595795386841433	0.313790911979663	0	0	0.0625813557624912	0.263085776925185	0	0	0.0824628916987356	0.0911880087768458	0	0	0	0.186719778070207	0.253009088676001	0.191279998422433	0.11522633744856	0	0.00804117079446767	0.336686841155958	0.0277528149283713	0	0.140162354727559	0.104410934049946	0	0	0	0	0.00805039547567774	0.119167471389534	0.041347285391686	0.0414013366717268	0.0404767258826175	0.0219279544873122	0.0310261563988075	0.00507403009914655	0.110063232406069	0.0150435322213656	0	0.0466669059841333	0	0.0687784939474925	0.16618612846388	0.141397555190659	0.161495546637956	0	0.26821928562083	0.199772451699401	0.147437449112074	0.292267158097816	0.0440380824560668	0.175650455593369	0.0328272466146902	0.103601892461236	0.420741414600864
"G000332875"	0.760004750029688	2.0079990104317	0.954682300744731	1.22484689413823	0.744983528002396	0.690058110156645	0.66725234270415	1.13521999919488	4.59873003440656	0.302596276048496	0.27148318466397	0.508537311511289	1.65263486124104	0.578606943283319	1.10923854757163	1.05691056910569	2.09147837386716	0.857932484443616	0.116438603458858	1.04776682182959	0.902339239640205	1.00685253444821	4.50240974042445	0.88604986606223	0.359135639646951	0.883842456694945	1.12037871956718	2.8756174946785	0.547877591312932	0.244834418341353	0	9.43340720547569	0.481551376325893	1.42055274810291	2.09457540471457	0.610444239253104	1.44418714673439	0	0.392053379575527	0.942889378391447	1.29013341152324	1.31164516546576	0.43159965034965	0.601379635634691	0	0.631531883976974	0.632369409129833	11.2115044841545	0.430385194749301	2.02794051374493	4.06961731136704	1.09732506170369	3.40299521833054	3.87128305381212	1.61000785369685	1.21464668853622	5.27789745799225	2.24299065420561	2.32673022773304	1.67479271685536	3.78273911380428	0.918602589111545	0.913766415339292	7.76636089591909	3.16407148883946	1.58464753942618	0.501636238374096	1.35747721113575	0.229339341755854	0.813076278290025	0.339087546239211	0.772450298516649	0.722808627810922	4.93214424195425	1.61551363917253	3.09028365194834	3.02161152614728	3.16320910592987	0.941715449223721	0.896157723759382	0.900186831229123	0.66193853427896	3.49829351535836	2.33963041706863	6.85546695994868	1.46676218845443	0.375028759874223	0.29353181675228	0.327030313194415	0.855056894170266	1.63312919218431	6.74334843731846	0.518302559118886	2.04911056260107	0.218462027327614	1.44086116380641	1.85277724389775	0.42555321918494	0.783776377089614	0.20248290513178	0.594296163449028	2.11984606926883	1.14364961007627	0.726234881880864	2.80278606965174	0	0.513923960593235	0.149840334070253	0.73751257123701	0.79482657260435	0	2.03084235731389	0.609242855425067	3.84971189934979	3.70398065754381	1.3417625416107	0.98591308217654	2.48260043400533	2.66912845516796	5.88734100545124	1.24186178848182	4.35123875460382	0.76226089457788	3.41433160522884	2.50182363030578	1.57859230942208	0.22658886303556	0.905154388852167	0.876792401132524	0	1.62282103837981	1.32870954974651	1.95462540833543	3.00664932061289	1.63496305612325	0.953067435527791	1.92483123517606	0.2679357932857	0.977949995387028	0.304199921496794	0	0.134234095460247	0.375772060411478	0.723482783206811	3.01350312877374	1.65777595404185	1.37445177331906	0.356303540292624
"G000431455"	0.0712504453152832	0.54426256545582	1.3112026620187	0.201897839693115	0	0.854282465891865	0.539658634538153	0	0	0.708075285953481	0.437697379356197	2.58291893979626	0.120272617933984	0.180402164825978	0.162402328788111	0.219512195121951	0.128827002139648	0.0491700435748317	1.00010831497996	0	1.12044019329732	0.037107587264676	0	0.700597568514321	0	0	0.0112714156898106	0.104421864331901	0.957551826258638	0	0	0.00882543293651572	0.273312943320102	0.81809352932462	0	0.0530077630723983	0	0	0.0226184642062804	0	0	0.0431462225482159	0.0191215034965035	0	0.0197413878195637	0	0.265682980919131	0.0916959273589336	0	1.28758127856821	0	0.0466946834767527	0.0970897351877473	0.11832493054841	0.168293503870751	0.691550669385584	0.0861697544161999	0.135938827527613	0	0	0.324119743120005	0.248270970030147	0.0399460728017177	0	0	0.038001140034201	1.29176713744402	1.10618378911062	0.0724229500281645	0.31293657446214	1.81162856871858	0.864775035391149	0.819183111519045	0.0439446814010598	0	0.335532622793662	0.0311277125578086	0.200110152377455	0.0925518869015942	0.0761734065195474	0.135877257544019	1.15084754288014	0.0146270112140419	0	0	0.0603295501677916	0.575197484469668	2.49098841194449	0	0	3.98804316127151	0.713372836063669	0.0111354065435698	0.0106392033364542	2.81418811566571	0.00352935986235497	0	0.923700811054371	1.3647574677994	0	0	0	0.0303960029256153	0.647112015372443	0.13771144278607	0	0.412561795355123	0.736919675755343	0.857802054781014	0.618459729570841	0	0	0	0.0185018766189142	0.00249258456093123	1.43520411142907	0.402238844290776	0.0809543619784347	0.173878750941096	0	0	0	0.162314314478848	0	0	0.01798965594783	0.0889300376429885	0	0	0	0	0	0.165129051943856	0	0.481449457632448	0.0260291526509691	0.050173326035395	0.0330331799941274	0	0.02616773518252	0.124457169106846	0.0572145324912528	0.0100781778654419	0	0.101547919639917	0.0984817398440706	0.549090030044549	0
