"X"	"SRR21969114"	"SRR21969111"	"SRR21969110"	"SRR21969107"	"SRR21969106"	"SRR21969103"	"SRR21969112"	"SRR21969102"	"SRR21969096"	"SRR21969095"	"SRR21969094"	"SRR21969093"	"SRR21969101"	"SRR21969089"	"SRR21969088"	"SRR21969083"	"SRR21968986"	"SRR21969090"	"SRR21968982"	"SRR21968981"	"SRR21968978"	"SRR21968977"	"SRR21968974"	"SRR21968973"	"SRR21968983"	"SRR21968971"	"SRR21968970"	"SRR21968967"	"SRR21968966"	"SRR21968960"	"SRR21968959"	"SRR21968956"	"SRR21968955"	"SRR21969080"	"SRR21969079"	"SRR21969075"	"SRR21969074"	"SRR21969070"	"SRR21969069"	"SRR21969068"	"SRR21969062"	"SRR21969061"	"SRR21969060"	"SRR21969059"	"SRR21969053"	"SRR21969052"	"SRR21969050"	"SRR21968954"	"SRR21968951"	"SRR21968950"	"SRR21969056"	"SRR21968944"	"SRR21968943"	"SRR21968942"	"SRR21968941"	"SRR21968949"	"SRR21969113"	"SRR21968934"	"SRR21968933"	"SRR21968932"	"SRR21968931"	"SRR21968937"	"SRR21968925"	"SRR21968924"	"SRR21968926"	"SRR21968831"	"SRR21968917"	"SRR21969021"	"SRR21968817"	"SRR21968806"	"SRR21968803"	"SRR21968800"	"SRR21968799"	"SRR21968793"	"SRR21969018"	"SRR21969017"	"SRR21969016"	"SRR21969013"	"SRR21968796"	"SRR21969012"	"SRR21969008"	"SRR21969007"	"SRR21969002"	"SRR21969011"	"SRR21969001"	"SRR21968997"	"SRR21968996"	"SRR21968995"	"SRR21968994"	"SRR21968988"	"SRR21968987"	"SRR21968888"	"SRR21968887"	"SRR21968886"	"SRR21968885"	"SRR21968881"	"SRR21968875"	"SRR21968874"	"SRR21968870"	"SRR21968869"	"SRR21968866"	"SRR21968865"	"SRR21968864"	"SRR21968863"	"SRR21968908"	"SRR21968907"	"SRR21969051"	"SRR21969049"	"SRR21969046"	"SRR21969045"	"SRR21969039"	"SRR21969038"	"SRR21968826"	"SRR21969032"	"SRR21969031"	"SRR21968923"	"SRR21968823"	"SRR21968921"	"SRR21968816"	"SRR21968815"	"SRR21968808"	"SRR21968920"	"SRR21968807"	"SRR21968912"	"SRR21968911"	"SRR21968905"	"SRR21968904"	"SRR21968899"	"SRR21968898"	"SRR21968828"	"SRR21969048"	"SRR21969047"	"SRR21968827"	"SRR21969037"	"SRR21969036"	"SRR21969024"	"SRR21969023"	"SRR21969020"	"SRR21969019"	"SRR21968825"	"SRR21968824"	"SRR21968814"	"SRR21968813"	"SRR21968922"	"SRR21968858"	"SRR21968856"	"SRR21968851"	"SRR21968848"	"SRR21968846"	"SRR21968841"	"SRR21968838"	"SRR21968836"
"AB238928"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275960974337802	0.317404712239189	0.106320207519232	0.191574148290897	3.48521089784727	2.76717096041375	0	3.31927299795298	0.191209546217616	0.483452640315385	0.202350421328524	0.404675112799205	0.243083018292904	0.973776908023483	3.06063895781638	0.430494023238318	0.495033123539884	0.876463052784864	0.31947786621693	1.21839204668252	0.795329807404451	1.37467340491622	0.89146074444792	0	0	0.590144964803446	1.12243441523222	0.533272536186351	0.711757197738976	0.0273071508325647	0	0.286036076300123	0.549235439303243	0.0320939520730316	0.146332635280126	0.598867409155586	2.30521617507919	1.08666032688789	0.686583141017156	0	0	0	0	0	0	0	0	0
"AB266102"	0.181394143560508	0	0	0	0	0.132726089785296	0	0.102168764222356	0	0	0.397531606073913	0.225538653486252	0	0	0	0	0	0.30351601132217	0	0	0	0	0.446920137314593	0.720707108861525	0	0	0	0.160746284389164	0	0.0174094707520891	0.245915305101701	0	0	0	0	0	0	0	0	0	0.236889397157327	1.11227427375033	0.887765681700363	0.545516535969997	0	0	0.180175406057073	0.189452848861869	0	0	0	0	0	0.212737667863316	0.158890986966334	0	0.148044257441172	0	0	0	0.114524863206413	0	0	0	0	0	0	0	0	0.146882609872058	0.238562468736773	0	0	0	0	0	0	0	0	0	0.384291622442631	0.328708349192069	0	0	0	0	0	0	0	0	0	0.221510461879247	0	0	0	0.987274576439362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102410536618249	0	0	0	0	0	0	0.0692611743351524	0	0	0	0	0	0	0	0	0	0	0	0	0.0509296228064108	0	0	0	0	0	0	0	0	0	0	0	0.116346713205352	0	0	0	0	0	0	0
"AB510705"	0	0	0	1.6992869063875	2.72008575639823	0	0	0	0	0	0.113250283125708	0.148759537405826	0	0	0	0.169877770872177	0.0994821078503087	0.722981959553934	0.919318973814344	1.22292856373236	0	0	0	0	0.704022988505747	0	0.0538414719790252	0.310951828818383	0.157644702924948	0.0677034973692355	0.114621540513504	0	0	0	0	0.20327053184066	0.69652593417259	0	0	0	0.558187659968415	2.40774666317718	2.12545360290306	2.01159222638936	0.759281899491667	0.277453731437399	0	0	0.117894010409178	0	0	0	0	0.16952532907858	0	0	0	0.0974128298427069	0.205396321538605	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213527807890674	0	0	0	0	0	0	0	0	0	0.0205939289097574	0	0.11927074459022	1.73881932021467	2.19220735504502	0.858334989072124	0	0	0	0.113748615559613	0.113472821875346	0	0	0	0	0	0.0566953686970696	0.0232945091514143	0	0.105344865823908	0.225040916530278	0.961878909477163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB510710"	0	0	0.109138766731936	0	0	0	0	0	0	0	0.330505928305637	0.307116464321705	0	0	0	0.219598094054278	0.207742048746233	0.371721856563107	0.453021804785769	0.183169917034802	0.186826803927176	0.2264563485866	1.59984454951746	1.4021303920828	0	0	0.138115080294021	0.258248129018657	0.251379391150593	0	0	0.588146584225607	0.685893534341495	0	0	0.206304420375595	0.2055322428706	0	0	0.325751679206665	0	0	0	0	0.135126439740042	0.132421099095122	0.190773959354548	0.152693340873745	0	0	0.305103550295858	2.86349935409789	3.48531869181189	0.232681824225502	0.122046700133561	0.0640461132015051	0	0	0	0	0	0.149304050474402	0.0584563352053279	0.157463094587206	0	0	0	0.202284626368396	0	0.251246569517993	0.153911270152757	0	0	0	0	0	0	0	0.270409989263133	0	0.947919335358489	0.982664959689976	0	0.287366774580772	0.17890611688533	0.43649373881932	0.298746107885214	1.00139082058414	0	0	0	0.122728769419583	0.105169932469833	0.331392168849136	0.63778801843318	0	0	0	0	0	0	0.29940119760479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB547651"	0	1.26977590171248	1.54078258915674	2.2834167804582	0.656572423958194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170390003786445	0.213024954351795	0	0	0.0889817393995667	0.168806268756252	0	0	0	0	0	0	0.578178427105999	0.490297274979356	0	0	0	0	0	0	0	0	0	0.667107571095839	0.134509633263441	0	0	0	0	0	0	0	0	0	0	0	0.789866589606512	0	0	1.01597090449083	0	0	0	0	0	0	0	0	0	0	9.65095076842928	1.19781889693394	0	0	0	0	0	0.144157502368302	0	0.0681547111944113	0	0	0	0	0	0	0	0	0	0	0	0.011000495022276	0	0	0	0	0	0	0	0	0.00477699399691088	2.98308896385113	1.44391197821626	0	0	0	0	1.55236224810573	0.126569146176989	0.365245328748978	1.57026689438935	0.881629454405608	0	0	0	0	0	0	0.196131402636698	0.442570601736354	0	0	1.80814925319482	1.8547104771411	0	0	0	0	0	0	0	0	0.039820273868391	0.425553918146798	0.330862814791111	1.69587395614793	0	0	0	0	0	0	0	0	0	0	0
"AB554230"	0	0.0755001887504719	0.0834590569126569	0	0.100495779177275	0	0	0	0.0529310572978695	0.0323979464686238	0.0277347632144591	0	0	0	0	0	0	0	0	0	0	0	0.652028412893754	0.342978016166805	0	0	0	0.682512912406451	0.645491148462964	0	0	0	0	0	0	0.109219987257668	0.128457651794125	0.0621697233447311	0.0670933113129645	0	0	0	0	0	0	0	0	0	0.0488828823647813	0	0	0	0	0	0.0437525906139179	0	0	0.0343809987680142	0.0606852768182243	0.0853606487409304	0.289846876016231	0	0.603352888369277	0.443958447238928	0	0	0	0.424401078851341	0.110675974799932	0.0850373004522438	0.111585670860749	0	0	0	0.0215809594277963	0	0	0.0776799585706888	0	0.0689935064935065	0.728324122534129	1.69890315214006	0	0	0	0	0	0	0	0	0	0.0359206154398779	0	0.53730574949326	0.56036866359447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB600999"	0	0.0377500943752359	0.0481494559111482	0	0	0	0	0	0.0158793171893609	0	0.0323572237502022	0.0191947790201065	0	0	0	0	0	0.139821982743921	0.049782615910524	0	0.226861119054428	0.104117861419126	0	0	0.204741379310345	0	0	0.0131759249499315	0.0127820029398607	0.779557412565769	0.362620873624541	0	0	0	0	0.136524984072085	0.114184579372556	0	0	0	0	0	0	0	0	0	0	0.0141382723031246	0	0	0	0	0	0	0	0	0	0	0.0326766875175054	0	0	0	0	0	0	0	0	0	0	0.0850373004522438	0.0654122898149217	0	0	0	0	0	0	0.0480875934009026	0	0.0933441558441558	0	0	0	0	0	0.257602862254025	0.214592274678112	0.516590502682297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245499181669394	0.0383571344270034	0	0	0	0.0250126484415415	0	0	0	0	0	0.348583877995643	0.597469210607897	0	0	0	0.0798697270471464	0	0	0	0	0	0	0.815992033943859	0.735064122614952	0.0257622325670567	0.0307570886384475	0.0469287390312108	0	0	0	0.0540074760910724	0.113091120700067	0	0	0	0	0	0.0637623925295158	0.142366961966889	0.0972611490627824	0	0	0	0	0	0	0	0	0
"AJ270473"	0	0	0	0	0	0	0	0	0	0.742660619049993	0	0	0	0.118509535883585	0	0	0	0.392183610135389	0	0	0	0	0	0	0	0.153561361437166	0	0.137029619479287	0.138471698515157	0.205044877746828	0.100033344448149	0.409691851405017	0	0.420493087649007	0.392847858112597	0.0849488789781863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409069658719028	0	0	0	0	0.361219476954197	0.0626317877199942	0.188080918534718	0	0	0.310267401510512	0	0	0.668702408101736	1.26592019700643	0	0	0.21242192701563	0.120236773954865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269092083310909	0	0	0	0	0	0	0	0.666170582190567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AJ305238"	0.310961388960871	0	0	0	0	0	0	0	0.0396982929734021	0.0672880426656033	0.187209651697599	0.0959738951005327	0	0	0	0	0	0.388773317873342	0.0547608775015764	0.0377114535071652	0.379372795729673	0.119735540631995	0	0.0574148220895973	0.858477011494253	0.0273465438175775	0.0819326747506906	0.0553388847897122	0.0447370102895124	0.125735066542866	0.127125708569523	0	0.0280912027716653	0	0.127097836448193	0	0	0.273546782716817	0	0	3.30556009366661	0.0327139492279508	0	0.916297306512104	0.261673422988654	0	0.0529927664873745	0.0820019793581224	0.365183885901602	0.0632986509475017	0	0	0	0.0432123387847361	0.119743932206512	0	0	0	0	0.0620804718115858	0.199358095211164	0	0	0	0	0	0	0.222116452482945	0.302230546569045	0	0	0.0952121871599565	0.0459906047764528	0.0221933356583494	0.00924898261191269	0	0	0	0	0.0852272727272727	0.0878380851297442	0	0.201820503315623	0	0	0	0	0.0357639578780052	0	0.0914989186491432	0.107636833324364	0.101775077079654	0.0166057788110262	0.148000386087964	0.494009216589862	0	0.401518068313074	0.27430415490117	0.166542645547642	0.0532445923460898	0	0	0	0	0	0.0143309819907326	0	0	0	0.0283967325631978	0	0	0	0.28080367949649	0.0281825099343347	0	0.248887985893929	0	0.0294665012406948	0.0358247453457685	0.0794170786427621	0.0136861813364282	0	0.0280959585044305	0	0	0	0	0	0.015428626530809	0	0	0	0	0.0290962592092405	0	0	0	0	0.0251432881706544	0	0	0.0230203903107177	0	0	0	0.717566016073479	0	0	0	0	0
"AJ312385"	0	0	0.574583507206369	1.73342436656046	1.14900174192684	1.12426805465192	0	0.84753633957182	1.87640598120947	1.46538404027314	0.14560750687591	1.57397187964874	0	0.36930878624187	0.838087544807391	0.894965817277812	1.55367644907394	0.613852607168434	0	0	0.238299494805071	0	0	0	0	0	0.618006460976637	0	0	0.139275766016713	0.470990330110037	0	0	1.97155721284487	1.7764811230827	0	0	0	0	0	0.462887327778685	0.314053912588328	0.486003110419907	0.744402773042391	0	0	0.521978749900639	0.390216315566238	1.0955516577048	1.39652648652926	0.374445266272189	0.355246160470791	0.654776114312997	0.119664938173115	0	0.692498598991274	1.31681471092411	0.358135403833481	0	0.838086369456408	0.233291388013064	0.679092616673891	0.108561765381323	0	0.355787476280835	1.27548645377525	1.16350275566442	1.61827701094717	2.05176230206028	0	0	0	0	0	0	0.595858296431362	0.440988051607521	0	0	0	0.190315851114446	0.439431161551503	0	0.53835800807537	0	0	0.248253807960953	0	0	0	0	0	0	0	0	0	0.442769924646609	0.242033077853973	0	0	0.816070307595731	1.80195165225105	0.9683578832515	2.27487312640151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
