"X"	"ERR4856234"	"ERR4856126"	"ERR4856130"	"ERR4856132"	"ERR4856136"	"ERR4856142"	"ERR4856146"	"ERR4856150"	"ERR4856154"	"ERR4856156"	"ERR4856162"	"ERR4856164"	"ERR4856168"	"ERR4856174"	"ERR4856176"	"ERR4856180"	"ERR4856186"	"ERR4856190"	"ERR4856192"	"ERR4856198"	"ERR4856202"	"ERR4856204"	"ERR4856208"	"ERR4856214"	"ERR4856218"	"ERR4856220"	"ERR4856224"	"ERR4856228"	"ERR4856236"
"AB116294"	0	0	0	0	0	0	0	4.5252704666559	0.761778952003523	7.1888824773995	2.06113672465228	0.45650301464255	0	0	0.545259519694893	0	0.241645336245011	0	0	3.97405660377358	0.409986089757669	0	3.69758693458115	0.876328184905247	0	0.303924973949288	2.7814799791389	0	0
"AB116313"	0	0.891489065329433	0.1712637461691	0.0999381335363822	0.228860515538424	0	0	1.29178104311319	0.220167327168648	1.41854202731294	1.50323505482159	1.23456790123457	0	0.743330118932819	1.03092783505155	3.04984093319194	2.99461220398446	0	0	2.68867924528302	0.724796837250165	0.738031061481196	2.12863565464722	0.240990250848943	1.66425470332851	0	0.654806745088949	0	1.04344851180294
"AB238928"	0.818721924358789	0.515392115893578	3.01063638002524	1.98448579450816	0	0	1.04491578290705	0.367350234135314	0.810215763980625	0.341411809963455	0.619890744256325	0.3847258110824	0	1.54291224686596	0.819379059650795	0.356309650053022	0.0805484454150035	1.10047520520225	0	1.09669811320755	0.32213192766674	2.00231035810551	0	1.69788585825392	0.795947901591896	0.295241403265023	0	0	1.72767704413274
"AB547647"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3966065747614	0.393792399806684	0	0	0	1.2958488908412	0	0	1.24876766348998	1.32959479015919	0	0	0.121645796064401	1.40837039571217
"AB547651"	0	0	0.25238867856499	0.128491885975349	0	0.224388734138038	0	0	0	0	0	0	0	0	0.294976461474286	0	0.195106234449675	0	0	0	0.256241306098543	1.07174945449878	0	0	0	0	0	0	0
"AB600999"	0.12317055499203	0	1.28898503695691	0.0904202160567268	0.451698385931101	0	0.713505926388022	0	0	0	0	0	0	0	0	0	0	0	0.243907396491799	0	0	0	0	0	0	0	0	0	0
"AJ305238"	0	0	0	0	0.394483257046495	0	0.194946974422957	0.161472630389149	0	0	0.116229514548061	0	0	0	0	0.246023329798515	0	0.48884745685637	0	0	0	0	0	0	0	0	0.318711247609666	0	0
"AY126616"	0	0	0.135208220659816	0.328368153048113	0	0	0	0	1.43108762659621	0	0	0	0	0	0	0	0.152147063561673	0	0	0	0	0	0	0	0	0	0	0	0.467556163758695
"AY305310"	0	0	0	1.88930661971161	0	0	0	1.39673825286614	0	2.98615118291979	8.2058037270931	0	1.98328048428942	3.56396657023465	2.64286991240093	0	9.24875149909607	0	2.51224618386553	3.03066037735849	1.57405373746248	5.06353484790143	0	0	0	3.23897186523098	3.29141797531437	0	4.84091686623332
"G000156675"	1.92725691928706	0.877559548683661	0.784207679826933	0.642459429876743	1.07504215851602	0.812441968430826	1.12289457267623	0.41175520749233	0.383091149273448	2.88036160800154	0.627639378559529	1.88056273327591	6.37647737100029	0.417872066859531	0.181753173231631	0.746553552492047	0.248805198059677	0.0864009458629863	2.12605947275351	1.63915094339623	2.11582107035654	0.904890257989988	1.96348288833838	0	1.0582489146165	0.555748523792984	1.18212899113403	1.78890876565295	0.427642832706124
"G000187895"	0	0	6.18352262484226	2.67929377052301	0	0.673166202414113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71345875542692	0	0	0	0
"G000247525"	0	0	0.441680187488733	0.632941512397088	0	0.139275766016713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0898472596585804	0	0	0	0	0	0	0
"G000321205"	0	0.264660816269675	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139978791092259	0	0	0	0	0	0	0	0	0.832127351664255	0	0	0	0
"G000332875"	1.1737429358064	3.28736592840228	1.09969352803317	1.21353447865607	1.83690676945314	0.882079851439183	0.756394260761073	2.47860487647344	1.66006164685161	2.34179649932679	1.28627329433187	4.12001148435257	2.34649754972615	0.482160077145612	1.32590429652583	1.63308589607635	0.515510050656022	4.32914212955594	1.99394296632045	3.73820754716981	2.19635405227323	1.12950840713644	1.66070281677218	0.580567422499726	0.696454413892909	0	0.747522744393579	1.40250447227191	0.610103774660737
"G000434535"	0	1.53224683103496	0.198305390301064	0.223671060771903	0	0	0	0.738737284030357	0.184940554821664	0	0	0	0.466993369847218	0.216972034715526	0.265180859305167	0.48780487804878	0.429591708880019	0	0.382121587837151	0	0.314810747492496	0.423565652676165	0.330305532617671	0.438164092452623	0	0.547064953108718	0.243379498174654	0.257602862254025	0
"G000434815"	0.0869439211708448	0	0	0	0	0	0	0.807363151945745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48345598887408	0	0.330710457292736
"G000436195"	0	0	0	0	0.900385449289328	0.379139585267719	0	0	0	0	0	0	0	0	0	2.77836691410392	0.0519089981563356	0	0	0	0	0	0	0	0	0	0	0	0
"G000437715"	0	0	0	0	0	0	1.91048034934498	0	0	0	0	0	0.236379360046123	0	0	0	0	0	0	0	0	0	0	0	0.226121562952243	0	0	0	0
"G000469345"	0	0	0	0	0.644423030595037	0	0	0	0	0	0	0	0.26520611127126	0	0.190691853882367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"G000518685"	0	0	0.775193798449612	0.176081473373626	0	0	0	0.843694493783304	0.427124614707177	0	1.04993994808415	0	0	0	1.48084142780526	0	0.53340970519269	0	0.178865424093986	0	0.190350684530346	0	0	0	0	0	0	0	0.307902839548409
"G000598965"	0.0579626141138965	0	0	0	0.361358708744881	0	0.0155957579538366	0.0726626836751171	0	0	0	0.0373241458512776	0	0	0	0.0466595970307529	0	0.247834292080671	0	0	0	0	5.28488852188274	0	0	0	0	0	0
"G000999385"	0	0	0.180277627546421	0	0	0	0	0	0.110083663584324	0.173110213502597	0	0	0	0.0361620057859209	0	0.0339342523860021	0	0	0.058944287485518	0	0.0439270810454645	0	0	0	0	0	0.0753317494350119	0	0
"G001436475"	0	0	0	0	0	0	0.95134123518403	0	0	0	0	0	0	0	1.18586496633097	0	0	0	0	0	0	0	0	0.317668967028152	0	0.599166377214311	0	0	0
"G001821375"	3.27488769743515	0.654687282351302	1.22588786731567	1.64659972398039	10.8287159720549	16.2178891983906	0.385995009357455	0.395607944453415	0.250990752972259	1.59165224081554	0.368060129402193	0.0373241458512776	0.85903718650908	0.0843780135004822	0.145998450628687	0.233297985153765	0.429591708880019	0.970873786407767	0.38008902619972	1.12028301886792	1.06157112526539	0.628930817610063	0	0.0766787161792091	0.0633140376266281	0.494963529003126	0.376658747175059	0	0.0798266621051431
"G002160525"	2.41269381249094	1.65761248084691	1.8388318009735	0	0.855215610696218	0	1.50888958203369	0	0	0	0	1.47573930519667	0	0	0	0.63202545068929	0	1.22552920579341	0	0	0	0	0	0	0	0	0	1.38819320214669	0
"G002408565"	0.731778003187944	0	0	0	0	0	0	0	0	0	0.0232459029096122	0	0.363217065436725	0	0	0.131495227995758	0	0.0477478911348082	0	0	0	0	0	0	0	0	0	0	0
"G003150645"	0	0	0	0	0	0.417827298050139	0.869463505926388	0	0	0.254856703212156	0	0	0	0	0	0	0	0	0.546759080469115	0.518867924528302	0	0	0	0	0	0	0	0	0
"G003481825"	0	0	0.892374256354786	0.409270451625184	0.367381353890629	1.02909316001238	0	0	0.471158080140907	0	0.282825152066948	0	0.322859613721534	0.329476052716168	0.274119539955903	0	0.511930119748689	0	0.569117258480863	0	0.812650999341094	0	0	0	0	0.903091351163599	0	0.679785330948122	0
"G900538515"	0.159397188813215	0	0	0	0	0.0696378830083565	0	0.0403681575972873	0.0528401585204756	0	0	0	0	0	0	0.0169671261930011	0	0.0227370910165753	0.105693205146446	0	0	0	0	0	0.135672937771346	0	0.046357999652315	0	0.10263427984947
"G900539055"	0	0	0	0	0	0	0	0.258356208622638	0	0	0	0	0	0	0	0	0	0	1.76629606292811	0	0	0	0	0	0	0	0	0	0.131143802029878
"G900539105"	0	0	0.874346493600144	0.442583162803978	0	0	0	0.298724366219926	0	0	0.259579249157336	0	0	0.305368048858888	0.28603778082355	0	0.282814541679346	0	0	0	0	0	0.605560143132397	0	0.569826338639653	0	0	0.214669051878354	0.342114266164899
"G900539185"	3.39805825242718	1.00292519849561	1.95601225887867	1.58949221910246	1.72548783425681	1.98081089445992	0.580941983780412	0.734700468270628	1.57199471598415	1.65897287939988	1.11580333966138	3.10938845822567	1.3894494090516	1.08486017357763	1.44806626541922	0.699893955461294	1.31383464299139	0.613901457447534	2.08947336327974	0	2.15974815140201	2.98421255294571	0.91751536838242	0	2.13458755426917	1.90170197985412	2.03395723474532	0.837209302325581	0.992131371878207
"G900539795"	0	0	0	0	0	0	0.0467872738615097	0	0	0	0	0	0	0	0	0	0	0	0.0691070956726763	0	0	0.115517905275318	0	0.580567422499726	0	0	0	0	0.165355228646368
"G900549925"	0	0.654687282351302	0	0	0	0.20891364902507	0	0	0	0	0.232459029096122	0	0	0	0	0	0	0	0	0	0.256241306098543	0	0	0	0	0	0	0	0
"G900551515"	0	0	0.991526951505318	0.0904202160567268	0	0	0.974734872114785	0	0	0	0	0	0	0	0.372445027113998	0	0	0	1.10977865403768	0.306603773584906	0	0	0	0	0.823082489146165	0.399444251476207	0	0	0
"G902363025"	0	0	0	0	0.255962418694291	0	0	0	0	0	0	0	0.524646872297492	0	0	0	0	0	0.288623752515295	0	0	0	0	0	0	0	0	0	0
"G902387315"	0	0	0.594916170903191	0.195117308332937	0.198747289809684	0	0.276824703680599	0.121104472791862	0.0880669308674593	0	0	0	0.207552608820986	0.144648023143684	0.145998450628687	0	0	0	0.426837943860648	0	0	0	0	0.142403330047103	0.208031837916064	0.121569989579715	0.150663498870024	0	0.165355228646368
"GB-GCA-000980335.1-LARC01000083.1"	0	0	3.13683071930773	0.761433398372436	0	0	0	0	0	0	0	0	0	1.12905818064931	1.03390739526846	0	0	0	0	0	0.453913170803133	0	0	0.416255887829992	0	0	0	0	0
"GB-GCA-000980395.1-LARI01000057.1"	0	0	0.694068866053723	0.242706895731214	0	0	0	0.41175520749233	0	0	0	0	0	0	0.646564567069901	0	0	0	0	0	0.16106596383337	0.41714799127198	0	0	0	0	0	0	1.41977420458433
"GB-GCA-000980475.1-LARM01000066.1"	0.54339950731778	0.445744532664716	0.108166576527853	0	0.445675740785353	0.162488393686165	0.105271366188397	0.185693524947521	0.140907089387935	0.168301596460858	0.371934446553795	0	0	0	0	0	0.0393792399806684	0.925399604374616	0.164637492631964	0	0	0.795790014118855	0	0.361485376273414	0.407018813314038	1.06807919416464	0.423016746827374	0	0.285095221804083
"GB-GCA-003463955.1-QSEG01000126.1"	0.268077090276772	0.766123415517482	0	0	0	0	0.393792888334373	0	0	0	5.06760683429546	0.341659488946311	0	0	0.539300399261069	0.237539766702015	0	2.01450626406857	0	0	0	0.731613400077012	0	0	0.253256150506512	0.503647099687391	0.266558498000811	5.86046511627907	0
"GB-GCA-003464885.1-QSAB01000150.1"	0	0	0	0.62818255365726	0	0	0	0	0	0	0	0	0	0	0	0.292682926829268	0	0.195538982742548	0	0	0	0	0	0	0	0	0	0	0
"GB-GCA-003471845.1-QRKF01000046.1"	0	0	0.126194339282495	0	0	0.0928505106778087	0	0.117067657032133	0.149713782474681	0	0	0	0	0	0	0	0	0.17507560082763	0.199191040468302	0	0	0	0	0	0	0.0955192775269191	0	0	0
"GB-GCA-008669045.1-RQAJ01000001.1"	0	0	0.820263205336218	0	0	1.41597028783658	0.159856519026825	0	0	1.36083862281208	1.25915307427066	0	0	0	0	1.86638388123012	0	0	0	0	0.849256900212314	0	0	0	0	0.390760680791942	0.318711247609666	0.307692307692308	0
"GB-GCA-008671775.1-RPXR01000060.1"	0	0	0.387596899224806	0.394993575405701	0	0	0	0	0	0	0.26732788346054	0	0.207552608820986	0	0	0	0	0.19326527364089	0	0.365566037735849	0	0	0	0	2.51447178002894	0	0	0	0
"GB-GCA-008673455.1-RPUK01000107.1"	0	0	0	0	0	0.294026617146394	0.857766687461011	0.113030841272404	0	0.442392767839969	0	0	0	0.184828029572485	0.253262618437519	0	0	0	0	0	1.50816311589428	0.0770119368502118	0	0	0.271345875542692	0.0347342827370615	0	0	0
"GB-GCA-009719285.1-WNCD01000184.1"	0	0	0.243374797187669	0.447342121543806	0.677547578896651	0.0851129681213247	0.171553337492202	0.318908445018569	1.12725671510348	0.105789574918254	0	0	0	0	0	0.220572640509014	0	0.352424910756918	0.808959531697799	0.129716981132075	0	0.121935566679502	0	0	0.795947901591896	0	0	0.214669051878354	0
"GB-GCA-015554585.1-JADNIT010000076.1"	6.47732212722794	7.3687143056136	3.64160807643771	3.99276638271546	4.86930860033727	2.77004023522129	0.810979413599501	21.6777006297433	7.19066490532805	0.586651279092133	15.3577931889504	7.72322710307206	3.17094263476506	0.679042108646737	11.5040819974972	3.41463414634146	11.9444394723182	7.66467338168755	0.254070204678957	7.80660377358491	0.534446152719818	2.46438197920678	5.12891090925773	8.17176032424143	2.45115774240232	3.03056616880861	0	17.474060822898	4.32204356254989
"GB-GCA-018370675.1-JAGYZX010000010.1"	0	0	0	0.171322514633798	0	0	0	0	0	0	0	0	0	0	0	0	0.0894982726833372	0.161433346217685	0	0	0.402664909583425	0	0	0	0	0	0	0	0
"GB-GCA-018383075.1-JAGZOU010000022.1"	0	0	0	0	0	0	0	0	0	0.980957876514714	0	0	0	0	3.14343602884214	0	0	0	0	11.1202830188679	0.0219635405227323	0.308047747400847	0.0550509221029452	0	0	0	0	1.98926654740608	0
"GB-GCA-900066055.1-FMEF01000035.1"	0.289813070569483	0	0	0.318850235568458	0.367381353890629	0.49520272361498	0	0.355239786856128	0	0.591459896133872	0.271202200612142	0.404823428079242	0	0.518322082931533	0.619748525117693	0	0.658707286949362	0.86628316773152	0.184963109006281	0.35377358490566	0	0	0.266079456830902	0.328623069339468	0	0.416811392844738	0	0.980322003577818	0.182460941954613
"GB-GCA-900066275.1-FMFG01000089.1"	1.8185770178235	12.0768909318847	0.1712637461691	2.21767477275972	4.7729462780053	2.24388734138038	0.775888958203369	0	0	14.2142719753799	4.62206036186122	0.229687051392478	0	2.14159434265509	1.38549550086407	0.988335100742312	1.71478690461274	14.8132147972988	5.19726010691274	2.72405660377358	2.61366132220514	1.91246309844693	0.504633452610331	2.09223354146128	0	0	6.98267369762995	1.6386404293381	6.26639297525373
"GB-GCA-900112995.1-FONU01000001.1"	0	0	0	0	0	0	0	0.125141288551591	0.211360634081902	0	0	0	0	0	0	0.0551431601272534	0.0948681690443374	0.120506582387849	0.434968190410374	0.601415094339623	0	0	1.33957243783833	0.37243947858473	1.12156295224313	0	0	0.450805008944544	0
"GB-GCA-900542515.1-UQOA01000002.1"	0	0.139295166457724	0	0	0	0	0	0.496528338446633	0.242184059885513	0	0	0	0	0	0	0.258748674443266	0	0	0	0	0	0.442818636888718	0	0	0	0.425494963529003	0	0	0
"GB-GCA-900545115.1-UQXN01000021.1"	0	0	0.42365242473409	0	0	0	0.269026824703681	0	0	0	0	0	0.259440761026232	0.200900032144005	0	0	0	0	1.26425333848249	0	0.32213192766674	0	0	0	0.479377713458755	0	0	0	0
"GB-GCA-900553025.1-USBT01000031.1"	0	0	0	0	0	0	0	0	0.378687802730075	0	0	0.20671834625323	1.10118189680023	0	0	0.288441145281018	0	0	0	0	0	0	0	0	0	0	0	0	0
"GB-GCA-900756345.1-CAAEJT010000082.1"	0	0	0	0	0	0	0	0	0	0	0	0	0.172960507350822	0	0	0.173913043478261	0	0.14779109160774	0.105693205146446	0	0	0	0	0	0	0	0.260763748044272	0	0.222374273007184
