"X"	"SRR2467276"	"SRR2467277"	"SRR2467280"	"SRR2467281"	"SRR2467283"	"SRR2467284"	"SRR2467286"	"SRR2467287"	"SRR2467291"	"SRR2467294"	"SRR2467295"	"SRR2467296"	"SRR2467298"	"SRR2467299"	"SRR2467301"	"SRR2467302"	"SRR2467304"	"SRR2467305"	"SRR2467307"	"SRR2467308"	"SRR2467310"	"SRR2467311"	"SRR2467313"	"SRR2467314"	"SRR2467316"	"SRR2467317"	"SRR2467319"	"SRR2467320"	"SRR2467321"	"SRR2467323"	"SRR2467325"	"SRR2467326"	"SRR2467327"	"SRR2467329"	"SRR2467331"	"SRR2467332"	"SRR2467334"	"SRR2467335"	"SRR2467336"	"SRR2467338"
"AB238928"	0.522733997435645	0.111822710175867	0.187020759304283	0	0.264854905573468	0.596052374438147	1.15714433309226	0.116970464957598	0	0	0.478002146132085	0.581395348837209	0.195447229248103	0.209687565527364	0.0936134803411691	0	0	0	0	0	1.07196122296793	0.323132484318571	0	0	0	0	0	0	0.171163093976689	0.101767045980202	0.765219746732579	1.1397214014352	0	0	0.218204488778055	0.242950747257601	1.7181085601338	0.590597684857075	0.144671274714676	0.152251141883564
"AB547651"	0	0	0	0	0	0.0488567520031268	0.444260770740779	0.233940929915196	0	0	0	0	0	0	0.135219471603911	0.0715380684721512	0	0	0	0	0	0	0	0	0.245418848167539	0.263578274760383	0	0	0	0	1.00900656870048	1.23118052624173	0	0	0	0	0	0	0.683169908374859	0.384252881896614
"AB554230"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0931604689076935	0	0	0	0	0	0	0.162524547978601	0.506542845082313	0	0	0	0	0	0	0.811766597010127	0.406003045022838
"AB910742"	0	0	0	0	0	0.136798905608755	0	0	0.0656742556917688	0.0477326968973747	0	0	0.0344906875143711	0	0.842521323070522	0.470107307102708	0	0	0	0	0	0	0	0	0.204515706806283	1.58945686900958	0	0	0.187464341022088	1.5080025904339	0	0	0	0	0	0	0	0	0	0
"ABOU02000049"	0.325475885195779	0.304971027752364	0.0935103796521414	0.147579693034238	0	0	0	0	0	0	0	0	0	0.125812539316419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101577842486626	0	0.124232680502777	0.330653039753513	0	0	0	0	0	0
"ACCH01000108"	0	0	0.345988404712923	0	0.0575771533855366	0.25405511041626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155431937172775	0	0	0	0	0	2.32951852102661	2.66638525397495	0	0	0	0	0	0	0	0
"AF192152"	0	0	0	0	0	0	0.123979749974171	0.116970464957598	0	0	0	0	0.172453437571856	0.146781295869155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AQHX01000008"	0	0	0	0	0	0	0	0.0584852324787991	0	0	0	0	0	0	0.0416059912627418	0.0817577925396014	0	0	0	0	0.214392244593587	0.237597414940125	0	0	0	0	0.269179004037685	0.242403255129426	0	0	0	0	0	0	0	0	0	0	0.466162996302845	0.340752555644167
"ARFY01000032"	0	0.0203314018501576	0	0	0	0	0	0	0	0.0795544948289578	0	0	0.0344906875143711	0	0	0	0.116906474820144	0.0759589821496392	0	0	0.130499627143922	0.0570233795856301	0	0.225137799860259	0	0	0	0	0	0.0647608474419465	0.325049095957202	0.379907133811735	0	0	0	0	0	0	0	0
"CP001104"	0	0	1.01926313820834	0.0787091696182605	1.16305849838784	0.517881571233144	0.268622791610704	0	0.536339754816112	0.20684168655529	0.097551458394303	0	0.885260979535526	1.14279723212414	0.0520074890784273	0	0	0	0.765750087017055	0.557689924402032	0	0	0	0.155267448179489	0	0.159744408945687	0.239270225811276	0	0.187464341022088	0.157276343787584	0	0	0	0	0.140274314214464	0.0294485754251638	0.228067507982363	0.0629970863847547	0.0884102234367465	0.0145001087508156
"FP929032"	0.739717920899497	0.213479719426654	0	0	0.17273146015661	0.0195427008012507	0.320281020766608	0.116970464957598	0.251751313485114	0.381861575178998	0	0.0937734433608402	0.229937916762474	0.241140700356469	0.364052423548991	0.327031170158406	0.12589928057554	0	0.330664810302819	1.00384186392366	0.876211782252051	0.665272761832351	0.28878970858493	0.450275599720519	0.0981675392670157	0	0	0	0.105958105795093	0.0740123970765103	0	0	0	0	0.0623441396508728	0.0662592947066186	0.372510263037859	0.677218678636113	0.305417135508761	0.268252011890089
"FR733670"	0	0	0	0	0.944265315522801	2.02266953292945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.41982984293194	4.36102236421725	0	0	2.02135463362947	1.11018595614765	0	0	0	0	0	0	0	0	1.87268927825108	2.51576886826651
"G000153885"	0.187395206627873	0.172816915726339	0	0	0	0.224741059214383	0.392602541584875	0	0.470665499124343	0.350039777247414	0	0	0	0	0	0	0	0	0	0	0	0	0.35879933490855	0.186320937815387	0	0	0	0	0.358627434998777	0	0.270874246631002	0.260306739833967	0	0	0	0	2.04500532157519	0.23623907394283	0.120559395595563	0.0435003262524469
"G000153925"	0	0	0	0	0	0	1.94234941626201	0	0	0	0	0	0	0	0	0	0.251798561151079	0.104443600455754	0	0	0.382177479492916	0	0.280038505294478	0.419222110084621	0	0.407348242811502	0.112157918349035	0.121201627564713	0	0	0.148980835647051	0	0	0	0.116895261845387	0	0	0	0	0
"G000154245"	1.67669395403886	0.528616448104097	3.60950065457266	1.15112160566706	3.21280515891294	2.11061168653508	0	0	0	0	1.05355575065847	1.02213053263316	0.781788916992412	1.24764101488782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41548709408826	0	0	0	0	1.37936408977556	0.912905838180078	0	0	0	0
"G000154425"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619447387725161	0.148024794153021	4.2324101036094	5.26241733502181	0	0	0	0	9.76128934164513	7.97700606346956	0.401864651985211	0.217501631262234
"G000154445"	0	1.15888990545898	0	1.64305391578119	0	0.0781708032050029	0	0	0	0.175019888623707	0	0	0	0	1.20657374661951	0.960654062340317	0	0	1.14862513052558	1.79700086751766	0	0.11404675917126	2.04778156996587	2.1582175296949	0	0.670926517571885	0.194407058471661	0	0	0	1.44917721947586	0.330659912762066	0.657702426191172	0.270534305252874	0	0	0.501748517561198	0.330734703519962	0	0
"G000154525"	0	0	0	0	0	0	1.07449116644281	0	0	0	0.0877963125548727	0.131282820705176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48796171676387	1.22933079387066	0	0	0.0135437123315501	0	0	0	0	0	0.12163600425726	0.125994172769509	0	0
"G000156015"	0	0	0	0	0.495163519115615	1.53410201289818	0	0	6.05297723292469	10.8989657915672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71007853403141	3.37060702875399	0	0	1.80943842203929	1.11018595614765	0	0	0	0	0	0	0	0	5.77077640250763	8.09831073733053
"G000157935"	0	0	0	0	0	0	0.702551916520302	9.31864704162199	0	0	2.83874743927422	0.515753938484621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37745537533621	3.5525950596725	0	0	0	0	0.194825436408978	4.26268129279246	0	0	2.17810641375985	3.34952512143841
"G000160055"	0.433967846927705	0.386296635152994	5.65737796895455	8.86462022825659	0	0	0	0	0	0	0	0	0	0	0.416059912627418	0.132856412876852	0	0	0.574312565262792	0.656834799851283	0	0	0	0	0	0	0.381336922386721	0.354947623582374	0	0	0.961603575540055	1.25932179541297	0	0	0.405236907730673	0.92763012589266	0.836247529268664	0.960705567367509	0	0
"G000162015"	0.443830752539698	0.355799532377757	0	0	0	0	0	0	0	0.190930787589499	0	0	0	0	0.655294362388184	0	0	0	0	0	0	0	0.262536098713573	0.473565716947442	0.400850785340314	0	0	0	0	0	0	0	0	0	0.132481296758105	0.566885076934403	0	0	0	0
"G000210555"	0	0	0	0	0	0	0	0	0	0.445505171042164	0	0	0	0	0.780112336176409	0.367910066428206	0.0629496402877698	0	0	0.384186392365845	0	0	0.28878970858493	0.248427917087183	0	0	0.112157918349035	0	0.627598011247861	0.397816634286243	0	0	0	0	0	0	0	0	0	0
"G000210635"	0	0	0	0	0.944265315522801	0.508110220832519	0	0	0.426882661996497	0.859188544152745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28413339315089	1.48039130811185	0	0	0	0	0	0	0	0	0	0	0	0
"G000225345"	0	0	0.252478025060782	0.482093663911846	0	0.185655657611882	0.216964562454799	0	0.251751313485114	0.50914876690533	0.234123500146327	0.337584396099025	0.114968958381237	0.325015726567415	0.104014978156855	0.122636688809402	0	0	0	0	0	0	0	0	0.212696335078534	0.12779552715655	0.246747420367878	0.484806510258852	0.326024940907979	0	0	0.182918249613058	0.182695118386437	0.0826632599383783	0	0.0957078701317824	0.380112513303938	0.275612252933302	0.892139527407169	0.246501848763866
"G000235885"	0	0	1.59902749205162	1.0724124360488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01439790575916	0.519169329073482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"G000236865"	0	0	0	0	0.264854905573468	0.107484854406879	0.0413265833247236	0	0	0	0.0780411667154424	0.112528132033008	0	0	0	0	0	0	0	0	0	0	0.105014439485429	0.186320937815387	0	0.18370607028754	0.0672947510094213	0.129858886676478	0.0407531176134974	0.0740123970765103	0	0	0	0	0	0	0	0	0.337566307667578	0
"G000265365"	0.0394516224479732	0	0	0	0	0	0	0	0	0	0.107306604233733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149543891132047	0.389576660029435	0	0	0.182840116475926	0.429154354861404	0	0	0	0	0	0	0	0
