"X"	"SRR3053242"	"SRR3053243"	"SRR3053245"	"SRR3053250"	"SRR3053251"	"SRR3053252"	"SRR3053253"	"SRR3053258"	"SRR3053259"	"SRR3053260"	"SRR3053261"	"SRR3053266"	"SRR3053267"	"SRR3053268"	"SRR3053269"	"SRR3053274"	"SRR3053275"	"SRR3053276"	"SRR3053277"	"SRR3053282"	"SRR3053283"	"SRR3053284"	"SRR3053285"	"SRR3053290"	"SRR3053291"	"SRR3053292"	"SRR3053293"	"SRR3053298"	"SRR3053299"	"SRR3053300"	"SRR3053301"	"SRR3053306"	"SRR3053307"	"SRR3053308"	"SRR3053309"	"SRR3053314"	"SRR3053315"	"SRR3053316"	"SRR3053317"	"SRR3053322"	"SRR3053323"	"SRR3053324"	"SRR3053329"	"SRR3053331"	"SRR3053332"	"SRR3053337"	"SRR3053338"	"SRR3053339"	"SRR3053340"	"SRR3053345"	"SRR3053346"	"SRR3053347"	"SRR3053348"	"SRR3053353"	"SRR3053354"	"SRR3053355"	"SRR3053356"	"SRR3053361"	"SRR3053362"	"SRR3053380"	"SRR3053386"	"SRR3053391"	"SRR3053392"	"SRR3053393"	"SRR3053459"	"SRR3053460"	"SRR3053461"	"SRR3053511"	"SRR3053512"	"SRR3053535"	"SRR3053536"	"SRR3053541"	"SRR3053542"	"SRR3053543"	"SRR3053544"
"AB214328"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01755414080605	0.334576964737032	0.498771498771499	1.74682511347988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153627311522048	0.721311475409836	0.20411138649949	0.573234364665246	0	0	0	0	0	0.018828845791753	0	0	0	0	0	0	0	0
"AB547651"	0	0	0	0	0	0	0	0	0	0	0	6.92455067968251	6.72449330127104	7.12897473401591	9.02492825122744	0	0	0	0	0.675767608508322	0.291707181552993	0.201456310679612	0.224181736661187	0	0	0	0	0.0425204503118166	0.045355587808418	0	0	0	0	0	0	0.62884292901062	0.41799709724238	0.419510807736064	0.713261378217224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0568990042674253	0.349726775956284	0.0583175389998542	0.172705225251709	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB916501"	0	0	0	0	0	0	0	0.168159622287618	0.121227115289461	0.242612450870979	0.125192352833781	0.127725572484262	0.236173136379251	0.226412069967341	0.403216242498992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0510555173255788	0.0776345102275029	0.0489322288630247	0	0	0	0	0	0	0	0	0	0	0	0.141317788376612	0.335155742684179	0.285951098217986	0.332161000390778	0	0	0	0
"AJ270490"	0.143985025557342	0	0	0.0909684642657212	0.181670881103773	0.127917026793431	0	0	0	0	0	0.150533710427881	0	0	0	0	0.159597620544566	0.200308166409861	0	0	0.111126545353521	0	0	0	0.0580510849547602	0	0	0.400907102939985	0.223754233188195	0.17272594843194	0.245566166439291	0.279694201006899	0	0.162162162162162	0	0.0663778647288988	0.298016448959845	0.202645051194539	0.309457317533399	0.101452617016371	0	0.0614834274216086	0.130755320628738	0.0555685016222417	0.150592100759806	0	0.0294498763105195	0.0802108399220809	0	0	0.0932189210507446	0.141731194690265	0.121271619553605	0	0	0	0	0.0597439544807966	0	0	0.0661424266921437	0	0	0	0	0.0972352769584805	0.129448314818302	0.167814873697227	0.0712205953203879	0.240364691255698	0.136772176631497	0.0890075656430797	0.279612399363641	0.202785430058157	0.240035560823826
"AJ867049"	0.9263036644189	0.814426992437464	0.423285692943579	0.270572868072402	0.436992119411779	0.200518582541054	0.157566402984115	0.158458105617178	0.118753092528451	0.645349119316803	0.284290967893378	0.168780220782775	0.218996908278942	0.534973652046725	0.53604041649866	0.496068888056908	0.268414180006771	0.160246533127889	0.240113508203878	0.267585831556987	0.500069454090846	0.283980582524272	0.298908982214916	0.620720547769886	0.262230763071503	0.352896292999301	0.277825026932018	0	0	0	0	0.641964785168216	0.510290046937056	0.395577395577396	0.520222369561891	0.248043599776411	0.497339138848573	0.234641638225256	0.928371952600196	0.198293751441088	0.241022774905687	0.234754904700687	1.12393935178745	0.85324537974797	0.698199739886371	0	0.00392665017473593	0	0.00559143392322961	0.123630233211576	0.32268088056027	0.103705752212389	0.450437444056247	0.266376612133455	0.222777290218052	0.380972353290692	0.467186984720237	0.0142247510668563	0.0374707259953162	0.0583175389998542	0.128610274123613	0.593798890627222	0.367112960854372	0.55547574582196	0	0.38245875603669	0.498964413481454	0	0	0	0	0.278148642634624	1.16424818010895	0.952708907254362	0.900874203585716
"AY126616"	0	0	0	0	0	0	0	0.973385505934094	4.49035131123206	3.94973070017953	2.63686393156151	0	0	0	0.0142311614999644	0	0	0	0	0	0	0	0	0	0	0.0413301964773956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69766788423714	4.94538327317924	3.94427544247788	4.11746022579621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7696520049461	13.0354636670228	13.0832987981765	13.3401719421649	0	0	0	0
"EF108443"	0.0095990017038228	0.0072716695753345	0	0.0139951483485725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728922005345428	0.133043057571359	0.0499448525586332	0.25725979341259	0	0.004814057046576	0.00982800982800983	0	0	0.027092404450895	0.0675483503981798	0	0.064560756283145	0	0	0	0	0	0	0	0	0.142581565042355	0.309075583028941	0.0740970910916175	0.269634955752212	0.352265180608091	0.119869475460055	0.067508269763046	0.0733983432945371	0.12366714301418	0	0	0	0	0	0	0.0311257961020926	0	0	0	0	0.0858836590628207	0.0828843762950684	0	0	0	0	0
"G000332875"	0.271171798132994	0.294502617801047	0.219112593994323	0.524818063071468	0.535192595684089	0.802074330164218	0.270113833687054	0.397762183488019	0.41316180108857	0.436702411567762	0.618137242116794	0.613538910683332	0.210408794228787	0.444809553387165	0.33206043499917	0.575627105952827	0.464283987038739	0.215716486902928	0.11278058718667	0.0771010023130301	0.185210908922536	0.143203883495146	0.164399940218204	0.168511763827563	0.216190247417728	0.0667641635404082	0.195611498554176	1.05693690775087	0.504958877600387	0.366262252096643	0.988111479243812	0.263711675235076	0.423637020098688	0.390663390663391	0.283062171673382	0.503074343208496	1.02951136913401	1.04522184300341	0.664201071779002	0.636384597648144	0.33533603465139	0.441562796937007	0.517457226317986	0.487568788427411	0.516804709425696	0.433044636908728	0.441748144657792	1.12868110461785	0.195700187313036	0.590053385782523	0.762482969620193	0.715569690265487	0.511073253833049	0.637084064019179	0.401674205090124	0.443885218971724	1.11850060459492	0.221906116642959	0.218579234972678	0.213830976332799	0.220474755640479	0.373346607879391	0.783305194550238	0.459704065507829	0.650017105713308	0.619064596635659	0.503671624929392	0.432785726903374	0.247177360229582	0.298383754662246	0.349257522469715	0.107550808485388	0.373620016391072	0.294612794612795	0.583790191139428
"G000431455"	0	0	0.0348588217718241	2.20423586490017	1.78479365624923	1.90492653414002	1.5338606984372	4.34627946835689	1.16526472043543	4.93958949973313	3.48973683524165	0.0980749931575586	0.137409824802473	0.182331843956	0.0379497639999051	2.87813552976413	2.67688736277023	1.3713405238829	1.92818423254629	1.72796952242732	0.671389544844191	1.07281553398058	1.56179943207293	0.0789232311597449	0.028024661702298	0.0826603929547911	0.0850484776322504	7.11508868551065	3.870343492985	3.0050152956111	2.87663223543169	3.35366665778749	3.51907570104706	3.57002457002457	3.57270362625593	0.178172163219676	0.172230285437833	0.344852104664391	0.4868291946562	0.751671662439474	0.461087047645662	0.726622324073557	0.00556405619696759	0.0322655815871081	0.0342254774454104	0.033311125916056	0.0353398515726234	0.0458347656697605	0.0698929240403702	0.0337173363304299	0.109950522264981	0.058766592920354	0.043311292697716	0.0244178561122333	0.0101262404644569	0.0559225472720282	0.0219852698691876	1.55049786628734	1.85167837626854	1.38504155124654	1.74909972808113	4.32726496942113	8.06077977148691	5.71756931475363	0.10263427984947	0.123164684147409	0.200056486537375	3.01183536477654	5.6222375835271	3.76709490261086	3.3411488862837	2.01379617267468	2.95521380706744	2.88108356290174	2.71743962068455
"G000434535"	2.85810275731324	1.39616055846422	1.44913101937155	0.258910244448591	1.24469103675153	0.449438202247191	0.832850987201749	0.116418200045274	0.0395843641761504	0.0485224901741957	0.0912860906079654	0.0843901103913876	0.0300583991755411	0.370674627822637	0.182633239249543	0	0	0	0	0	0	0	0	0.300761502527676	0.176155016414445	0.197113244738348	0.595339343425753	0.619583704543614	0.269109820996613	0.468232992737186	0.419021633209901	0	0.009628114093152	0	0.033151425511297	0.178172163219676	0.636671504596033	0.45150739476678	0.622688504792815	0.54415494581508	0.537934888919938	0.285059527136549	0.0890248991514814	0.0950042124509294	0.140324457526182	0.689284067032235	1.13283857541132	1.05992895611321	4.08454248091923	0.359651587524586	0.35136362549896	0.117533185840708	0.447550024543066	0.0577149326289152	0.0236278944170661	0	0	0.13371266002845	0.371584699453552	0.208971181416144	0.352759609024767	0	0	0	0	0	0	0	0	0	0	0	0	0	0
