"X"	"SRR5504364"	"SRR5504365"	"SRR5504366"	"SRR5504368"	"SRR5504369"	"SRR5504370"	"SRR5504371"	"SRR5504372"	"SRR5504373"	"SRR5504374"	"SRR5504375"	"SRR5504376"	"SRR5504377"	"SRR5504392"	"SRR5504393"	"SRR5504394"	"SRR5504395"	"SRR5504396"	"SRR5504397"	"SRR5504398"	"SRR5504400"	"SRR5504401"	"SRR5504404"	"SRR5504405"	"SRR5504406"	"SRR5504424"	"SRR5504425"	"SRR5504426"	"SRR5504427"	"SRR5504428"	"SRR5504429"	"SRR5504430"	"SRR5504431"	"SRR5504432"	"SRR5504433"
"G000434535"	0	0	0	0	0	0	0	0	0	11.1488124091129	0	83.7594629338666	65.7424419575748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90183631829517	0	0	0	0	0	0
"G004558915"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6390186915888	6.21731551423591	3.11295159217478	0	0	0	0	0	0	0	0	0	0	14.2888692579505	0	0	0	0	0	0	0
"G900538515"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357249181303959	0	0	0	0	0	0.615141955835962	0	0	0	0.219522903556271	0	0	0.659315675798568	0	0	0	0	0	0.186451211932878	0	0
"G900539925"	0	0	0	2.89620018535681	0	0	0	0	0	2.18128938439166	0	0	0	0	4.76051401869159	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19156653819995	0	0	0	0	0	0
"G902387315"	0	0	0	0	0	0	0	0	0	0.678623364032962	0.328272466146902	0	0	0	0	0	0	0	1.54185022026432	0	0	1.2532981530343	0.313165476637855	0	0	0	0.181880186427191	0	0	0	0	0	0	0	0
"GB-GCA-000980215.1-LARH01000082.1"	0	0	0	24.6292863762743	0	0	0	0	0	30.6834706737761	0	0	0	0	0	0	0	0	0	0	0	42.0184696569921	0	0	0	0	0	0	0	0	0	0	0	2.22793487574979	16.2490508731967
"GB-GCA-000980385.1-LARF01000079.1"	1.70556552962298	5.84431137724551	0	0	4.22836752899197	0	0	0	0	0	0	0	0	5.03870199464126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91193181818182	0	0	0	0
"GB-GCA-015554585.1-JADNIT010000076.1"	0	0	18.3975177952181	0	0	0	0	19.6067415730337	0	0	0	7.24182259677189	0	5.39595117594522	0	0	0	0	0	10.8517350157729	12.8680919725696	0	15.7209069272203	14.2250841504464	0	0	0	0	16.4361822715937	15.5448408871745	41.1221590909091	0	0	0	0
"GB-GCA-018336475.1-CP048741.1--6"	0	0	0	7.71547729379055	0	0	0	0	8.01108618186617	18.32283082889	0	0	0	0	0	0	0	0	0	4.21135646687697	0	0	0	0	0	0	0	3.00353356890459	0	0	18.5132575757576	0	0	0	0
"GB-GCA-902646515.1-CACRCQ010000098.1"	0	0	1.38711443694105	0	0	0	0	0	0	0	0	0	1.26941707031902	0.387019946412623	0	0	0	0	5.50660792951542	0	0.927793465106898	0	0	0	0	0	0	0	0	0	0.307765151515151	0	0	0	0
"MJ006-1-barcode39-umi157933bins-ubs-3"	0	0	0	0	0	0	0	0	0	5.86524478914203	0	0	0	0	0	0	0.171355133514208	0	0	0	0	0	0	1.78545294892434	0	0	0	0	3.51394241668556	0	16.311553030303	0	0	0	0
"MJ006-1-barcode43-umi123254bins-ubs-4"	4.19979481918441	0	0	0	0	0	0	0	0	12.9907901114881	0	0	0	0	0	0	0	0	0	8.32807570977918	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19965724078835	0
"RS-GCF-000210395.1-NC-017175.1--13"	0	0	0	0.474976830398517	0	0	0	0	0.686287448858387	0	0	0	0.317354267579756	0	0.146028037383178	0	0	0	0	0	33.5215812827753	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29081245254366
"RS-GCF-003438725.1-NZ-QSTT01000002.1"	0.423185432162093	0	0	0	0	0	0	0	0	1.6965584100824	0	0	0	0	0	0	2.21333714122519	0	0	6.35646687697161	0	0	0	0	0	0	0	0	0.974835638177284	0	0	0	0	0	0
"RS-GCF-003461545.1-NZ-QTXH01000007.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0131926121372	0	2.9708766281282	0	0	7.17289985222235	0	6.43844933121741	0	0	0	0	0	0
