"X"	"SRR10022105"	"SRR10022106"	"SRR10022107"	"SRR10022108"	"SRR10022130"	"SRR10022131"	"SRR10022132"	"SRR10022136"	"SRR10022137"	"SRR10022138"	"SRR10022139"	"SRR10022141"	"SRR10022154"	"SRR10022155"	"SRR10022159"	"SRR10022164"	"SRR10022166"	"SRR10022179"	"SRR10022184"	"SRR10022185"	"SRR10022186"	"SRR10022187"	"SRR10022226"	"SRR10022227"	"SRR10022228"	"SRR10022247"	"SRR10022248"	"SRR10022249"	"SRR10022250"	"SRR10022260"	"SRR10022261"	"SRR10022263"	"SRR10022264"	"SRR10022265"	"SRR10022266"	"SRR10022280"	"SRR10022281"	"SRR10022282"	"SRR10022283"	"SRR10022092"	"SRR10022093"	"SRR10022109"	"SRR10022111"	"SRR10022112"	"SRR10022113"	"SRR10022114"	"SRR10022151"	"SRR10022152"	"SRR10022153"	"SRR10022156"	"SRR10022176"	"SRR10022190"	"SRR10022191"	"SRR10022192"	"SRR10022193"	"SRR10022195"	"SRR10022196"	"SRR10022197"	"SRR10022198"	"SRR10022202"	"SRR10022213"	"SRR10022215"	"SRR10022216"	"SRR10022217"	"SRR10022218"	"SRR10022224"	"SRR10022246"	"SRR10022252"	"SRR10022253"	"SRR10022254"	"SRR10022255"	"SRR10022274"	"SRR10022275"	"SRR10022276"	"SRR10022277"	"SRR10022278"	"SRR10022289"	"SRR10022291"	"SRR10022116"	"SRR10022117"	"SRR10022118"	"SRR10022119"	"SRR10022133"	"SRR10022134"	"SRR10022135"	"SRR10022142"	"SRR10022143"	"SRR10022144"	"SRR10022145"	"SRR10022146"	"SRR10022147"	"SRR10022148"	"SRR10022149"	"SRR10022150"	"SRR10022161"	"SRR10022169"	"SRR10022171"	"SRR10022172"	"SRR10022174"	"SRR10022177"	"SRR10022188"	"SRR10022209"	"SRR10022210"	"SRR10022211"	"SRR10022212"	"SRR10022220"	"SRR10022221"	"SRR10022222"	"SRR10022223"	"SRR10022236"	"SRR10022241"	"SRR10022242"	"SRR10022243"	"SRR10022244"	"SRR10022285"	"SRR10022286"	"SRR10022287"	"SRR10022288"
"AB222699"	0.466447577652921	0.31962728208462	0	0	0	0	0	0	0	0	0	0	0.795501778044613	1.38511226290496	0	0	0	0.98274782212606	0	0	0	0	0	0	1.00908046122176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729800603631686	0.0633105671092011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213325748417834	0	0.299594008119838	0.139578958151923	0.109389243391067	0.0909831613253666	0	0.339249717291902	0	0	0	0	0	0	0	0	0	0	0.116952292728115	0	0	0	0	0.34365329891617	0	0.229608740542123	0.157753180924796	0.345251608021188	0.289217783942511	0	0	0	0	0	0	0	0.161546644951996	0	0.141846887591481	0	0	0	0	0	0	0	0	0	0	0	0.243247244960552	0	0	0	0	0	0	0	0
"AB266102"	0	0	0	0	0.181586811364189	0.160040106436312	0.219610636277303	0	0	0	0.742867056763876	0.263868156390887	0.108529995843532	0.120975349885129	0.0927364199105094	0	0.221829642864313	0	0.125491508407931	0.0952351694264385	0.0775984054288453	0.0623672839047859	0.0890805339667949	0.163976368795646	0	0	0	0	0	0.0575494402008999	0.0544686042964835	0	0	0	0	0	0	0	0	0	0	0.105374077976818	0.173151354654716	0.163070451161582	0.275372604684173	0	0.283932599177392	0.317766783315233	0.167980605875503	0.176185291497575	0.0994519562411393	0.0211153107117971	0.0701273200455048	0.0222762627856467	0	0	0	0	0	0	0.0897263346792283	0	0.135737335450494	0	0	0.102388532484362	0.11472212662045	0	0	0	0	0	0	0	0	0	0.16003200640128	0	0	0	0	0	0	0	0	0	0	0	0.294668173983951	0.163772412819427	0.069526024310134	0	0	0	0	0	0.071800394902172	0	0	0	0	0.249043566727779	0.12331256490135	0.0435315999841703	0	0.229031748538935	0.0911318274172344	0.244327669187703	0	0	0.0512795063933965	0.0508776392775375	0.0525762355415352	0.114705805677937	0	0	0	0
"AB547651"	0	0	0	0	0	0	0	0	0	0	0	0	0.529949660555119	0.734731024072985	0	0	0	0.458919319022946	0	0	0	0	0	0	0.1502885793309	0.0578368999421631	0.00645819609666628	0.0347690034334391	0.104642645366075	0	0	0	0	0	0	0.170329442067218	0.209352055388572	0.518539672042445	0.352205979772998	0.0148434021077631	0.0086332591512547	0	0	0	0	0	0	0	0.00763548208525016	0	0	0	0	0	0	0	0	0	0	1.90571001919932	0	0.240795184096318	0.421297956256723	0.208834010110218	0.240358500814775	0.316764522373494	0.365471917662291	0	0	0	0	0	0	0	0	0	0	0.0602130616025938	0.401666417699879	0.546953094057072	0.453938018369641	0.281434407625965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.509761617699939	0	0	0	0	0	0	0	0
"AB588023"	0.169617300964698	0.323238889791791	0.127860406520881	0	0	0	0.0430318138651472	0	0	0	0.0394303108685709	0.0316641787669064	0	0	0.0173880787332205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401589741459294	0	0.106713961492793	0.0408514772777459	0	0	0	0	0	0	0	0.0411304232453231	0	0	0	0	0	0	0	0.0302830084792424	0.0478862701084923	0.0600424916094467	0.317839289711259	0.166814445229257	0	0	0	0	0	0	0	0	0	0	0	0	0.0782891217265361	0.117109289411054	0.0563900138411852	0.0409717901637354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231173277539614	0.134585029492398	0.107477853048463	0	0	0	0	0.0540102619497705	0	0	0.530939689066457	0.554257528556594	0.333742266545306	0.148658059677506	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB600999"	0	0	0	0	0	0	0	0.0128843841264388	0.0170043557311219	0.0282026610040147	0	0	0	0	0	0.0328683076473596	0	0	0	0	0	0	0.0387306669420847	0.0081406707912732	0	0	0	0	0	0.0222350109867113	0	0	0	0	0	0.0540068962652154	0.0209352055388572	0	0.146844499403789	0	0	0	0	0	0	0	0	0	0	0.00989805008413343	0	0.0929073671319074	0.0981782480637068	0.107668603463959	0.0536835150313842	0	0	0	0	0.0444428642537154	0.100942126514132	0	0	0	0	0.118386740685043	0.167166527361227	0	0.0283398514991781	0.0361346272971299	0	0	0	0	0	0	0.0145483642182982	0	0	0	0	0	0.0202148999362453	0.112528590824027	0.0138689843280477	0.359470363090928	0.315692395005675	0.135755286340362	0.0352119201616042	0.0211774671749259	0.0155834192419266	0	0	0	0.0780146613760172	0.270557795610659	0	0.127456623632925	0	0.1018386505453	0.181949602452581	0	0	0	0	0	0	0	0	0.25170801869831	0	0	0	0	0.0180877618203523	0	0	0
"AF473835"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149557558888289	1.11255663720784	0.590684322065742	0.330124100163406	0	0	0.00924334017340506	0	0	0	0	0	0	0	0.031673760269227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.493366224414961	0.0694326361729865	0.0825934338220111	0.0772943811717197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11249612082342	0.0614831630722664	0.18149891543331	0.218684556793121	0.232952138924185	0.334444151422886	0	0	0	0	0.110324538015997	1.03811404296057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AJ305238"	0	0	0	0	0	0.050133045389688	0.0801282051282051	0.10307507301151	0.156963283671894	0.169215966024088	0	0	0	0.0543834141685442	0.034776157466441	0.0547805127455993	0.255957280228053	0.0364402436941297	0	0.15821326533747	0.115636839462593	0.0638522192358523	0.325337602313512	1.54323859143136	0.0429395940945429	0	0	0	0.629599916285884	0.162184786020718	0.151422719944224	0	0	0	0	0.0789331560799302	0.119629745936327	0.175852584431786	0.192112352603454	0	0	0	0	0	0	0	0	0	0	0.0296941502524003	0	0	0	0	0.0440480123334435	0	0	0	0	0.748417834032568	0	0.0265994680106398	0	0	0	0.0255971331210904	0	0	0.134614294621096	0.0722692545942598	0.0709846357699467	0	0	0	0	0	0.0236410918547346	0	0	0	0	0	0.0482047613864311	0.492924153283511	0	0	0	0.0693532441086633	0	0	0	0	0	0	0	0	0	0.448153934709317	0	0.0296257892495417	0	0.0476891936287237	0	0	0.129908394492955	0.791344179434529	0	0.0589333071407524	0	0	0.325872992241907	0.383278215890783	0	0	0	0	0	0
"AJ867049"	0.203187391780628	0.572439821586579	0.204952710452588	0.00622187195387519	0.23734969044453	0.123404419420771	0.237416904083571	0.146023020099639	0.06932545028842	0.069677162480507	0	0	0	0	0.133308603621357	0.0620845811116792	0	0	0.112942357567138	0.0476175847132193	0.144546049328241	0.0415781892698573	0.196235379173229	0.0372144950458203	0	0	0.0232495059479986	0.00434612542917989	0.0697617635773832	0.207962749816888	0.145975859514576	0.0981458707785451	0.0911055305729136	0.0647715005397625	0.0837882442554272	0.0595460651129298	0.0328981801324899	0.15631340838381	0.171134566974341	0	0	0.0221840164161721	0.148706457526991	0.262330725781675	0.176011355571327	0.100291472090764	0.245455751625315	0.335867422871164	0.250062038291943	0.0494902504206671	0.213715905965001	0	0	0	0	0.122708567153012	0.19398343443052	0.156681339998508	0.0721359763153544	0.113773732489511	0.368251831912666	0.0629987400251995	0.160067612559545	0.0182315405651778	0.0909831613253666	0.094389428384021	0.113083239097301	0.0866724448296553	0.0963554950972057	0.0808727372840526	0.0630974540177304	1.34918253108731	0.930578116932996	0.130722304813657	0.444619796962018	0.168056040865905	0.130935277964684	0.0231588698471515	0.144400736941692	0	0.0678785821861146	0.127099409895597	0.015549923027881	0.0954046748290666	0.046229947760159	0.16809765180511	0.274309496783958	0.0590240375392879	0.200151967234382	0.196244529154313	0.115077557478843	0.242878253617569	0.300739386890421	0.104220948410631	0.0269016073710404	0.260050696751993	0.0852629689463292	0.0719513197927802	0.141776937618147	0.199974077434407	0.306572617831061	0	0	0	0	0.252724688042963	0.101589578104458	0.0454277575876633	0.0817638434645314	0.131141992935254	0.0463169735166162	0.0491817179682863	0.0432980763283231	0.136864881774812	0	0	0	0
"AY126616"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225884715134276	0.33946729747166	0.32865207005158	2.39520068900999	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152327143312146	0	0.341184074068507	0.164510003091463	0	0	0.0332760246242582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443791124177516	1.29846847308303	0.132593022292202	0.152091254752852	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879682650334445	0	0.0657573764927985	0	0.0855245766533456	0.152892107097863	0.0816729077096143	0.156460122064756	0.0756715853197125	0.0767312488010742	0	0	0	0	0	0	0.0807048221131213	0	0	0.0883973357454157	0	0	0	0.399529466622863	0.711318795430945	0.220296278707771	0.396421492473349	0	0	0	0	0	0	0	0	0	0	0	0	0
"CP001726"	0.031803243930881	0.10654242736154	0.0752120038358122	0	0.0100087218862151	0	0.0311609686609687	0	0	0	0.146680756431084	0.0331719968034258	0.038100955987623	0.0277466398819103	0.0336169522175596	0	0.0491839479653906	0.0353014860786882	0.0209152514013218	0.0215047156769377	0.0243445977815985	0.0148493533106633	0.166541867850964	0.309345490068382	0.0101034339045983	0	0	0	0	0.0549335565554044	0.0795241622728659	0.0366568914956012	0.0560649418910238	0.0395825836631882	0.0825187254030722	0.0304654286624292	0.0194398337146531	0.0450904062645604	0.0187695976681535	0	0	0	0.042778569973518	0.101623614492	0.16749467707594	0.059548061553891	0.0318429083189598	0.0402236434576244	0.0553572451180636	0	0.046551979517129	0.164699423552018	0.0950614782839066	0.0779669197497633	0.103237528906508	0.0164609053497942	0.0569633894756289	0.0432738939043498	0.055604815076419	0	0.0168236877523553	0	0	0	0	0.00639928328027261	0	0	0	0	0	0.182674617361918	0.339994711193381	0.0679243348541549	0.130502739040046	0.0582372418842244	0	0	0.0116184500987568	0	0	0	0.00621996921115241	0.0110082317110461	0	0	0	0	0.0407716970292259	0.00988281801496541	0.0251732156984968	0.0263361961753991	0.014953892165822	0.00814226159458051	0.00538032147420808	0	0	0.0123345119644766	0.0168782068593033	0.0203677301090599	0.00996984123027841	0.0445099140534755	0.07398753894081	0.149062751460947	0.179461081052124	0.0537039962091297	0.0253973945261145	0.121549945977802	0.0267847073418293	0	0	0	0	0.0169451758387862	0	0.0052376861997444	0	0
"G000173975"	0	0	0	0	0.207323524785885	0.0848405383517797	0.221094491927825	0	0	0.144331265138193	0.635616611201363	0.65137739177636	0	0.037735430239398	0	0	0.409531648364885	0	0.464318581109345	0.695831157260914	0.619265706069412	0.353414608793787	0.202690490330244	0.162813415825464	0	0.258041553588112	0.0994562198886607	0.155011806974083	0.436011022358645	0.309982211991211	0.26580678896684	0.41268564941822	0.167026806050342	0.515773059853664	0.474800050780754	1.64236356334732	0.954047223842208	0.754512798160311	1.26418760764916	0.113799416159517	0.0623513160923951	0.134952766531714	0.552047260134447	0.522298111691442	0	0	0.948653310335677	0.894976066932143	0.591749861606887	0.348411362961497	0.562855752343469	0	0	0	0	0	0	0	0	0.291545189504373	0.323388664573052	0.417191656166877	0.29196332530861	0.285074997928234	0.177892449755568	0.169581006927224	0.272055328842781	0	0	0	0	0	0	0	0	0.222965440356745	0.24004800960192	0.0741083835108847	0.482995568391177	0.184832424888252	0.267271917357826	0.344984112573763	0.454057752414125	0.111305453967244	0.115574869400398	0.235336712527154	0.167896329928112	0.16821850698697	0	0	0	0.340907428270443	0.267508515410817	0.392457008858781	0.127782635012442	0.286318443898659	0	0.598223830277115	0.597488522819336	0.329586905401152	0.363899204905162	0	0	0	0	0	0	0	0	0.211519343443958	0.360610722379369	0.491817179682863	0.341745531019979	0.346724367162856	0.0832037043736208	0.0764702185162683	0.0528632194930048	0.0974022117429057
