"X"	"SRR16937040"	"SRR16937041"	"SRR16937044"	"SRR16937046"	"SRR16937047"	"SRR16937049"	"SRR16937050"	"SRR16937057"	"SRR16937058"	"SRR16937059"	"SRR16937063"	"SRR16937064"	"SRR16937065"	"SRR16937068"	"SRR16937073"	"SRR16937074"	"SRR16937076"	"SRR16937077"	"SRR16937080"	"SRR16937082"	"SRR16937083"	"SRR16937089"	"SRR16937092"	"SRR16937095"	"SRR16937097"	"SRR16937100"	"SRR16937101"	"SRR16937104"	"SRR16937107"	"SRR16937111"	"SRR16937112"	"SRR16937113"	"SRR16937115"	"SRR16937116"	"SRR16937120"	"SRR16937121"	"SRR16937124"	"SRR16937126"	"SRR16937130"	"SRR16937132"	"SRR16937135"	"SRR16937136"	"SRR16937139"	"SRR16937142"	"SRR16937143"	"SRR16937146"	"SRR16937148"	"SRR16937152"	"SRR16937155"	"SRR16937157"	"SRR16937158"	"SRR16937163"	"SRR16937164"	"SRR16937170"	"SRR16937171"	"SRR16937177"	"SRR16937179"	"SRR16937180"	"SRR16937181"	"SRR16937184"	"SRR16937187"	"SRR16937190"	"SRR16937191"	"SRR16937194"	"SRR16937200"	"SRR16937201"	"SRR16937203"	"SRR16937204"	"SRR16937206"	"SRR16937209"	"SRR16937211"	"SRR16937214"	"SRR16937215"	"SRR16937217"	"SRR16937221"	"SRR16937223"	"SRR16937227"	"SRR16937229"	"SRR16937233"	"SRR16937234"	"SRR16937238"	"SRR16937240"	"SRR16937244"	"SRR16937245"	"SRR16937246"	"SRR16937247"	"SRR16937255"	"SRR16937256"	"SRR16937257"	"SRR16937259"	"SRR16937263"	"SRR16937267"	"SRR16937268"	"SRR16937269"	"SRR16937272"	"SRR16937274"	"SRR16937275"	"SRR16937279"	"SRR16937281"	"SRR16937284"
"AB214328"	0	0	1.15196265002157	0.996021255574248	0	0	0	0	0	0	0	0	0	0	0.442672723480196	1.7466333974591	0.136431122346615	0.0780509561242125	0	0	0	0	0.0657966882333589	0.985839756228715	0.963131731565866	0	0	0	0	0	0	0	0	0	0	0	0	0	0.720523199160483	1.81326116373478	0	0	0	0	0	0	0	0	0	0	2.20734337184884	0	6.71922115077854	0	0	0	0	0	0	0	0.264060908262292	0.0751715609010888	0	3.33596007354873	0	0	0	0	0	0	0	0	0	0	0	0	2.1098976499514	4.00610380328756	0	0	0	0	0.0736823855755895	0	0	0	0	0	0	0	0	0	0	0	0	0.761997405966278	3.77126749219772	2.052377778649	0.506191318546741	2.50713153724247
"AB266102"	0	0	0.134480221258024	0.0240326844508532	0.0194088077169419	0.106349980059379	0.328008260948794	0.0556324634831097	0	0	0.0206331427223958	0.0718213444057906	0.0452284034373587	0.0233595739213717	0.101976962477113	0.0190472562427382	0.0361141206211629	0.0473880805039862	0.128865979381443	0	0	0.033101621979477	0	0.0537730776124754	0	0.0181106105539583	0.183525093527211	0.131230081148397	0.149715540473101	0.0968241673121611	0.110367416690402	0	0.0630941364515858	0	0.0971622609758296	0.02766130910785	0	0.116440416468556	0.0702720935462109	0.12043301759134	0.0427456633033451	0.0383337592639918	0.0406409660938226	0.0245923347584276	0	0.0471884799220629	0.0554358988340286	0.064826069340742	0	0	0	0.108018023578791	0	0.0744670948524621	0.0328175094034787	0.0791727645689883	0.0345423143350604	0.139503851519379	0.0130132582136624	0.245736838186015	0.104552034743445	0.0484977812265089	0	0.0594472785588874	0.173281960328624	0.153543123904648	0.117700316885469	0.0466284454712122	0	0.124398524495279	0.049640879264074	0.0959218672790164	0.228864501185684	0	0	0.0605895994818545	0	0.0115894999130788	0	0	0.055840964931874	0.0426511984986778	0.0238384188626907	0.0332021059621496	0.128970623358013	0.167448091091762	0.195209416323845	0.148268605318538	0.0627231496670848	0.358117753124139	0.0648172154524242	0	0.0395171720074723	0	0.0340575288424697	0.106540670743005	0.0302023557837511	0.12545575724311	0.138794393795074	0.0380348652931854
"AB547651"	0.304910955207771	0.511991376987335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116367722001525	0.091988626860679	0	0	0	0	0	0	0	0	0	0.101770267013043	0.593871643876634	0	0	0	0	0	0	0	1.96965314118916	1.12850170294109	0	0	0	0	0.487691593125871	0.214709999621656	0	0	0.285358561211229	1.01753776697343	0	0	0	0	0	0	0	0.0743744152011708	0.140636565507032	0	0	0.651574949735647	0	0	0	0	0	0	0	0	0	0	0	0.417599240376324	0	0	0	0	0	0	0.109348451457699	0.060313630880579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0568471400007841	0	0
"AB818948"	0	0	0.11925604526655	0.0560762637186574	0.0388176154338839	0	0	0.0258755644107487	0.0155179102547524	0.0100764127970443	0.0707422036196428	0.0269330041521715	0	0.0163517017449602	0	0	0	0	0.0384337131488515	0	0	0.033101621979477	0.0575721022041891	0	0	0.0181106105539583	0.0352932872167714	0.0749886177990841	0.0449146621419303	0.0258197779499096	0.0569638279692395	0.0179699901165054	0.126188272903172	0.0809180520818008	0.0160267646970441	0	0	0.0261990937054252	0.112435349673937	0	0.0129231075103136	0.0404634125564358	0.0348351137947051	0.0179713215542356	0	0	0.0363514090714941	0	0.0811871363492851	0	0	0.0678970433923832	0	0.104719352136275	0.0277686618029435	0	0	0.817960471020458	0.518233871214673	0.167547844217738	0	0	0.0148945677383663	0	0	0	0	0.00847789917658404	0	0	0	0.0784815277737407	0.551480725748635	0	0.103543488265071	0.179679501911706	0	0	0	0	0.0845591754682664	0	0.121359223300971	0.0616610539297064	0	0	0.362944914794705	0	0.0217118595001447	0.693696626681025	0.0311122634171636	0.0285043962549609	0	0	0	0	0	0	0.0190502109130494	0
"ABXH02000033"	0	0	0	0	0	0	0	0	0.0750032328979697	0	0	0	0	0	0	0	0	0	1.07614396816784	0	0	1.01511640737063	0.989691852176774	0	0	0	0.0599985882685113	0	0	0	0	0	0	0	0.00701170955495678	0	0	0	0	0	0	0	0	0	0	0	0.00636149658751147	0	0	0	1.34945522690247	0	0.816103901450051	0	0	0	0	1.89499952343405	0.210508588750421	0	0	0	0	0	0.0591197276415306	0.0480791600105464	0	0	0	0	0	0	0	0	0.109295904279798	0.175500908843992	0	0	0	0	0	0	0.0585124826629681	0.0142294739837784	0	0	0	0	0	0	0	0	0.104181635292427	0.240603111800246	0	0	0	0	0	0
"AF473835"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08114551300672	3.03837642674121	0	0	0	0	0.115313882399722	0.0404634125564358	0	0	0.836022293927838	0.00532773160410388	0	0	0	0	0	1.17996831471308	0	0	0	0.407859696264485	0.609425117197138	0	0	0	0	0	0	0	0.491305322814099	0.952277556337919	2.56564056133997	1.7782393522885	0	0	0	0	0	0	3.78317226568492	0.783486200196394	1.69535136371433	0.716617411292036	0	0	0	0	0.0801837725381415	0.547834748375468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AJ305238"	0.032379924446843	0.0346460330292182	0.41105275176981	0	0.174679269452478	0	0.0273340217457329	0.197948067742228	0.139661192292771	0	0.0412662854447916	0.0897766805072382	0.0552791597567717	0	0.438037407003963	0.0438086893582979	0	0	0.0226080665581479	0	0	0.022067747986318	0.0219322294111196	0	0	0	0	0.176758884812127	0.0798482882523206	0.0408813150873569	0	0	0	0.132411357952038	0.0450752757104364	0.02766130910785	0	0.0630718922538013	0.0402893336331609	0.146143437077131	0.110343456434216	0.302410767527047	0	0.0558056827210473	0.0586682311528307	0.0327274941394952	0.0399865499786436	0.0845054118191816	0.317982950701367	0.0244422416251375	0.24766693975949	0.0421784663498138	0.146137142504297	0.121009029135251	0.100976952010704	0.0311892708908136	0.0641500123365408	0.0554549471878276	0.0168406871000337	0	0.0174253391239076	0.0484977812265089	0.588335425665468	0.0801847013119876	0.0142702790858867	0.021713169037021	0	0.00953763657365705	0.572037462845606	0	0.0279229945860416	0.0484453875146547	0.193018254012022	0.183957718924285	0	0	0.0486019783864143	0.0907844159857835	0.0151405548172199	0.0146214862740798	0.0494591403682313	0.0661093576729506	0.026005547850208	0	0	0.0948872516186649	0.0173519481176751	0.0334800076525732	0	0.150259197115023	0	0.0241191045234284	0.366431958614743	0.0427738865422659	0.0141906370176957	0.667037242912729	0.0382563173260848	0	0.027214587018642	0.0158478605388273
"AJ867049"	0	0	0.0507472533049149	0.0667574568079254	0	0.0531749900296894	0.170078357529004	0.0362257901750482	0.206905470063365	0.0470232597195398	0	0	0.0351776471179456	0.0467191478427433	0.055623797714789	0.127616616826346	0.0481521608282172	0.0111501365891732	0.689546030023512	0	0	0	0	0.184364837528487	0.134631317315659	0.359948384759921	0.0635279169901885	0	0.0399241441261603	0.178586797486875	0.094346340074053	0.107819940699033	0	0	0.0230384742520008	0.100454227812718	0.101682138129925	0	0.0768308222771906	0.0832205683355886	0.0377752373378399	0.00745378652355397	0	0.232681321175892	0	0.0738271379425823	0.0172669193089597	0	0	0	0.189281577534819	0.0380634940230027	0.13790406405335	0.0255980638555338	0.0833059854088304	0	0	0.0909807727300297	0.187544015432193	0	0.0187657498257466	0.208540459273988	0	0.082949691012401	0.144741402156851	0.0930564387300898	0.09506564056134	0.0805400421775484	0.40098704503393	0.00950266506561158	0.0139614972930208	0	0	0.0613192396414284	0.0364319680932658	0.0877504544219961	0.102921836582995	0.15259508218887	0.0874787611661592	0.109661147055598	0.0638182456364274	0.0426511984986778	0.013002773925104	0.0166010529810748	0.0214951038930021	0.0279080151819603	0.0303659092059315	0.141094317964416	0	0.0275475194710876	0.147783251231527	0.499923257394698	0	0	0	0.560496572169724	0.481224202154435	0.0803700944838672	0	0.0887480190174326
"G000332875"	1.01457096600108	3.42225815144166	1.4589835325163	1.75972656145691	3.2082759156105	2.19789958789383	1.98627224685659	4.51528598967565	0.605198499935342	0.0873289109077169	1.16724635972411	2.03344181348895	1.85938991909141	0.619028708916349	2.96892020302686	1.42473476695682	1.89599133261105	0.95333667837431	2.78983541327546	0.535190379469323	0.59357015878755	0.967302953400272	0.331724969843185	0.893657337464471	0.616197183098592	0.59085866932289	2.11759723300628	2.67548675647446	3.03423495358818	0.67131422669765	0.715608088863572	0.533109706789661	0.963237149827543	1.53008680300132	5.25377380224976	1.17487770789658	0.284008730638757	5.52024607741347	1.04377482947305	0.733423545331529	0.516924300412545	2.59178805690434	0.661867162099396	0.803034315765578	4.64945731886184	0.164398575212348	4.43487190672228	3.18226543960178	0.551395967705561	0	0.103586932979254	0.913523856552065	0.40856651812821	6.89984175742344	1.52222755156136	2.9389889877882	2.85714285714286	2.49980504120129	0.207446645641324	1.10953905726413	0.788161492681358	0.732316496520284	0.0478753963018916	0.805994497670496	4.33612623081157	3.9378382989283	0.533046627433228	0.631603488655511	0.173854523021704	1.64741657092012	0.525883064703784	2.28371556744082	2.50647989852755	1.83957718924285	1.08912409878816	1.81977728098949	1.31511235633827	1.85045681945491	0.0958901805090591	0.137076433819498	1.64012891285619	0.934061247121044	0.530946601941748	0.457714746478205	1.29925961308813	2.42799732083054	4.02998995033005	0.774823034245265	0.422175045836148	0.853973103603716	0	0.175411669261298	0.668199453944532	0.882211409934235	4.25009578679987	4.9958310172318	3.85583408839223	2.68161681107147	2.35406177711253	0.573692551505547
"G000431455"	0.00809498111171074	0	0.0837329679531095	0.66223397153462	5.3510082875609	0.0930562325519564	0.133632995201361	0.153959608243955	1.8233544549334	2.93559492820556	0	0.00897766805072383	0.130659832152369	0.186876591370973	0.00927063295246483	0.289518294889621	0	0	1.41526496654006	0.773769223329142	0.518243996504866	0.408253337746883	0.345432613225134	1.00632473817632	2.03500414250207	1.22925769134992	0.314110256229265	0.0348161439781462	0.0798482882523206	0.466907651260866	0.2527769866135	0	0.0294439303440734	0.0809180520818008	0	0.0101910086186816	0.305046414389776	0	0.888239262424106	1.51556156968877	0.00695859635170734	0	0.685090571295866	2.0184631682494	0	0.0304441805948793	0.00727028181429883	0.00810325866759275	0	0	1.53591170626513	0.00514371540851388	0.650413197624757	0	0	0.0239917468390874	0.0468788551690106	0.572745626424282	0.294712024250589	0.528706530642639	0.367272532303898	0.5431751497369	0	0.674657486900861	0	0.00310188129100299	2.43549117247623	0.541525809904306	0	0.368012301631867	0.224935234165335	0	0	0	0.0306795520785397	0.0459645237448551	0	0	0.237202025469778	0.230288408816756	0	0.0106627996246695	0	0.0071147369918892	0.0764270360640077	0	0.0130139610882563	0.0382628658886551	0	0	0.11926367643246	0.0833205428991164	0	0	4.40619279399452	0.0115805076894571	0.0201349038558341	0.58415336966323	0	0.098256735340729
