"X"	"SRR21968871"	"SRR21968861"	"SRR21969109"	"SRR21969108"	"SRR21969105"	"SRR21969104"	"SRR21969100"	"SRR21969099"	"SRR21969098"	"SRR21969097"	"SRR21969092"	"SRR21969091"	"SRR21969087"	"SRR21969086"	"SRR21969085"	"SRR21969084"	"SRR21968985"	"SRR21968984"	"SRR21968980"	"SRR21968979"	"SRR21968976"	"SRR21968975"	"SRR21968969"	"SRR21968968"	"SRR21968965"	"SRR21968964"	"SRR21968963"	"SRR21968962"	"SRR21968972"	"SRR21968958"	"SRR21968957"	"SRR21969082"	"SRR21969081"	"SRR21968961"	"SRR21969077"	"SRR21969076"	"SRR21969073"	"SRR21969072"	"SRR21969078"	"SRR21969066"	"SRR21969065"	"SRR21969064"	"SRR21969063"	"SRR21969058"	"SRR21969057"	"SRR21969067"	"SRR21969055"	"SRR21969054"	"SRR21968953"	"SRR21968952"	"SRR21968948"	"SRR21968947"	"SRR21968946"	"SRR21968945"	"SRR21968940"	"SRR21968939"	"SRR21968936"	"SRR21968935"	"SRR21968930"	"SRR21968929"	"SRR21968928"	"SRR21968927"	"SRR21968853"	"SRR21968842"	"SRR21968906"	"SRR21968895"	"SRR21969044"	"SRR21968938"	"SRR21969033"	"SRR21968802"	"SRR21968801"	"SRR21968798"	"SRR21969022"	"SRR21968797"	"SRR21968795"	"SRR21968794"	"SRR21969015"	"SRR21969014"	"SRR21969010"	"SRR21969009"	"SRR21969006"	"SRR21969005"	"SRR21969004"	"SRR21969003"	"SRR21968999"	"SRR21968998"	"SRR21968993"	"SRR21968992"	"SRR21968991"	"SRR21969000"	"SRR21968990"	"SRR21968890"	"SRR21968889"	"SRR21968884"	"SRR21968989"	"SRR21968883"	"SRR21968879"	"SRR21968878"	"SRR21968877"	"SRR21968876"	"SRR21968873"	"SRR21968882"	"SRR21968872"	"SRR21968868"	"SRR21968867"	"SRR21968862"	"SRR21968830"	"SRR21968916"	"SRR21968915"	"SRR21968914"	"SRR21968913"	"SRR21968829"	"SRR21968897"	"SRR21968896"	"SRR21968892"	"SRR21968891"	"SRR21969041"	"SRR21969040"	"SRR21969030"	"SRR21969029"	"SRR21969028"	"SRR21969027"	"SRR21968821"	"SRR21968820"	"SRR21968812"	"SRR21968811"	"SRR21968810"	"SRR21968809"	"SRR21968918"	"SRR21968910"	"SRR21968909"	"SRR21968903"	"SRR21968902"	"SRR21968901"	"SRR21968900"	"SRR21968894"	"SRR21968893"	"SRR21969043"	"SRR21969042"	"SRR21969035"	"SRR21969034"	"SRR21969026"	"SRR21969025"	"SRR21968819"	"SRR21968818"	"SRR21968805"	"SRR21968804"	"SRR21968919"	"SRR21968860"	"SRR21968859"	"SRR21968857"	"SRR21968855"	"SRR21968854"	"SRR21968852"	"SRR21968850"	"SRR21968849"	"SRR21968847"	"SRR21968845"	"SRR21968844"	"SRR21968843"	"SRR21968840"	"SRR21968839"	"SRR21968837"	"SRR21968835"	"SRR21968833"	"SRR21968832"
"AB238928"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368788819875776	0.372866530603091	1.08803224510116	1.48513293167381	2.5434895452065	2.3563415788007	1.22393042768313	0.64378453336399	0.0606689356848613	0.0381794433839043	0.54660447013708	0.656983074334356	0.887211464828793	0.451797882507727	2.20083682008368	1.3834671849664	2.79225566968372	0.142284455987804	0.0698320242084351	0.386680370580667	0.78693706729592	0	0	1.5505145289887	0.950922532505147	2.94251555570544	0	1.4135105141849	0.85704860199417	1.73112246181718	1.59343683964414	0.278296577570533	0.381995725137562	0	0	2.95101553166069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB266102"	0	0	0	0	0	0	0.155649148507599	0.255179383527034	0	0	0.308401506297883	0.187859936558776	0	0	0	0	0	0	0	0	0.697626841243862	0.533757079411645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014942769193987	0	0	0	0	0.556888667541993	0	0	0	0	0	0.175319533989368	0.33003300330033	0.230547550432277	0.237803811855219	0	0	0.122440650295898	0	0	0	0.0853242320819113	0.0423380569322342	0	0	0	0	0	0	0	0.412082858088966	0	0.122151050201102	0	0	0.318698211540625	0	0	0	0	0	0	0	0.328101114798106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34034611469291	1.84545937334041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142298114549982	0	0	0	0	0	0	0
"AB510705"	0	0.821890008793885	0	0	3.01259606202537	0.785999542136189	0	0	0	0	0.081158291131022	0.0785316128237504	0	0	0.231523515525695	0.256071592226206	0.593065693430657	0.649219493897337	0	0	0	0	0.0345152902735912	0	0.557596431382839	0.315779908219365	0	0.102984610601586	0.583248558833503	0	0	0	0	0.940215762661073	0.378345437001676	0.239162107925337	0.0508353949910191	0	0	0	0	0	1.9808031873953	0	0	0	0.333864091632852	0.468586778092822	0	0	0.08136972368198	0.632977793320511	0	0	0	0	0.0641595104135821	0.0688844766805786	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441417581031656	0	0.375493131802842	0	0	0	0	0	0	0	0	0.118039726473461	0.0494629734313171	2.33224222585925	2.01430066271364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06805543295966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB510710"	0	0	0	0	0	0	0	0	0	0	0.118491105051292	0.195559114286594	0.0458424430495804	0.108854929872305	0.608316687851825	0.234507668670315	0.918111313868613	1.08780332977465	0.314291700794301	0.473766852563756	0.816284779050736	2.87658395469177	0.0598265031408914	0.087165535275628	0.137759118341643	0.247625971193603	0	0	0.162767039674466	0.344696839129985	0.935805271787111	0	0	0	0.48753237519679	0.404101492701432	0	0	0.103808118887614	0.670016750418761	0.841574431855393	0.505699368559167	0	0.0239034301422254	0	0.139411093743399	0.200318454979711	0.247724220265632	0.209252347019568	0.183351668500183	0	0.0419653785626858	2.19788087056128	3.2001486712507	0.285694850690429	3.04570678188673	0	0	0	0	0.268543866510233	0.709467996190254	0	0.0986008075875669	0	0	0.171306209850107	0	0.216582894037841	0.2711157455683	0.118203309692671	0	0	0	0	0	0	0	0	0.128460135919112	0.566720107378547	0.858947966209981	0.118039726473461	0	0.347790507364975	0.435995814440181	0	0	0	0.276861228050214	0	0.0633480464279876	0.353633114949375	0.124899919935949	0.339219794472713	0.031488349310755	0	0	0	0	0	0	0	0	0.129172048835368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB547651"	0	0	2.67896516242834	0.979368451373636	2.17361647946887	2.90489151171368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269219264134011	0.987876066457117	0	0	0.189849386153651	0.0485776465101819	0.0271278399457443	0	0.00756715853197124	0	0	0	0	0	2.04358287863897	0.555871014016318	0	0	0	0	0	0	0	0	0	0	0	0	0.966265468723512	2.37104388879175	0.0143184421534937	0.0185839063371121	0	0	0	0	0	0	0.0130361100247686	0	0.0411861614497529	1.40858296553667	0	0	0	0	0	0	0	0	0	0	0	0	1.33713608415438	6.17614048986598	0	0.227913144372617	0	0	0	0.162521198417185	0.0204582651391162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00967336278334892	0	0	0	0	0	0	1.03410410064945	0.874039142237607	0	0	0	0.461843896762894	0.350665130539344	0	0	0	0	0.130438211722452	0.0361699989952778	0	0	2.51230718739744	0.878771705537006	0	0	0	0	0	0.475803727368777	0.840364194919971	0	0	0	0	0	0	0.177844805508921	2.4088923000276	2.24504944266915	1.47919712565777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AB554230"	0	0	0.0587975892988387	0.0864148633564973	0.0704833795643672	0.0152621270317707	0	0	0.200089513729827	0.0367358934169279	0.0275938189845475	0	0	0	0	0	0	0	0	0	0.35392798690671	1.1775251599234	0.0161071354610092	0	0.60351613749672	1.11545276932164	0	0	0	0	0	0	0	0	0.152353867248997	0.129202518074608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0508560773012375	0.465116279069767	0	0	0.0816271001972655	0.114372855508959	0.0394827756391274	0.0688844766805786	0.209181988329847	0.19674744103803	0.531873289010559	1.03601764923125	0.0973491088812341	0	0	0	0.12847965738758	0	0.171631727350742	0.0446894086101594	0	0	0	0	0	0	0	0	0.0492536182465712	0	0.454867454606465	0.557251366508128	0	0	0	0	0	0	0	0	0	0	0	0.810248198558847	0	0.15044433559583	0	0	0	0	0	0	0.041917905394512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AJ270473"	0	0	0	0	0	0	0.091558322651529	0	0	0.690634796238244	0	0	0	0	0.226983838750681	0.0754737324456185	0	0	0	0	0	0	0.112749948227065	0	0	0	0	0	0.356052899287894	0	0.388447471307857	0.545784075462372	0.134707189109987	0	0	0	0.216897685295015	0.170347568811452	0	0	0	0	0	0	0	0	0	0.119385166393076	0	0	0	0	0	0	0	0	0	0	0	0	0.320688306609308	0.198262289346318	0	0	0	0.178171873705146	0	0.23547591890798	0	1.71011470281543	1.04694360013509	0.180771009374869	0	0	0.148132090468965	0.0857578452547326	0	0	0.17428203379556	0.236200895077076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105002310050821	0	0.167671621578048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AJ305238"	0	0.263816546032605	0.0330736439805968	4.44316422424657	0	1.70681453971969	0	0	6.58452465576705	0.0342868338557994	0.11199844176081	0.117027501462844	0.0246843924113125	0.75361105296211	0	0	0	1.77453328331939	0.0190479818663213	1.76782716985218	0	0.152793057083486	0.0506224257346004	2.04971076890568	0.0940260648998513	0.0340769685128811	0.17972408555879	0.0738380226954765	0.122075279755849	0	0.471686215159541	0	0.297773786453656	0.827839376685646	0.0710984713828653	0	0	1.54807088849706	0	0	0	0	0.468601439760945	0.0252313984834602	0.146566675623519	0	0	0.158185345470825	0.166836330731818	6.53343112088987	0.155958637057128	4.23500611995104	0.0357961053837342	0.0223006876045345	0.343514046663492	9.64120811623671	0.0863685717105913	0.117508813160987	0	0.759594550843025	0	0	0	0	0	0	0.0556745182012848	0.0588689797269951	3.75137918352335	0	0	0.109303401017362	0.123729893892242	0.0522838537953325	0.0758725341426404	0	0	0	0	0	0.0782968569404571	0.489813303045361	0	0.264980214810628	0.0490998363338789	0	0	0	0	0	0.0994694960212202	0.102174268432238	0.260571768910066	0.0960768614891914	0	0	0	0	1.05798848265702	4.49229423980763	0.100802217648788	0	0.370812240028375	0	0	0	0	0	0.0442543147956926	0	0	0	0.0244733999459897	0	0	0	0.0153061903557691	0	0.0954942739883803	0	0.0327612252698251	0	0	0	0	0	0	0.0202005863629663	0.0463998779619648	0	0	0	0.0205917054384364	0	0	0.035897371304775	0.0240885080610472	0.0292284257682298	0	0	0	0.0125808318446016	0	0	0	0	0	0.0182355530403069	0.229357798165138	0.409836065573771	0.289093298291721	1.57992565055762	1.07577174929841	0	0	0	1.04542177361211	0.679501698754247	0	0.85	0	0	0.759144237405107	0.681247759053424	1.7558886509636	1.10575559965977
"AJ312385"	0	0.162348643712372	1.27884756724974	0.219637777697764	1.3664681005866	0.501106504209803	0.155649148507599	1.09146033350177	0	1.20493730407524	0.806713413842358	2.52687013027009	1.4140630509909	0	0.955601961140367	1.04315480201623	0	0	0.137145469437513	0.270723915750717	0	0	0	0	0	0	0	0.180708845017877	0.230586639538827	0.479128606390679	0.274940093328289	1.92363142068625	1.4510563879567	0	0	0	0.196563527298607	0	1.81937387313555	0	0	0	0.525195816543668	0.333320053649921	0.117253340498815	0.202779772717671	0	0	0.630584775477887	0.149737195941816	1.84777080861163	0.632977793320511	0.433132875143184	1.41609366288794	0	0	0	0.1904453178816	1.0321479687328	0.859213508330635	0.628340503193847	0.0621999339125702	0	1.12686637242934	0.888069705093834	0.733405154553742	1.5203426124197	0.23547591890798	0	0	0	0	0	0	0	0	0.274094377361286	0.201360005281574	0	0.319078402121664	1.18563811938406	0.173919216298715	0.17909475740801	0	0.466448445171849	0	0	0	0	0	0	0	0	0.381104883907126	0	0	0	0	1.34815410026338	0.280540678398368	0	0	0	1.01351351351351	1.1917163215134	2.66572513019684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AJ413954"	0	0	0	0	0.607066527215679	0.892834431358584	0	0	0.32646183819077	0.200822884012539	0	0	0	0	0	0	0	0	0	0	0	0	0.752433327964288	0.464882854803349	0	0	0	0	0	1.0771776222812	0.966073905914996	0	0	0	1.03346706617236	0.981389339417764	0	0	0	0	0	0	0.296554534341468	0.383782850616841	0.161223343185871	0	0.362114130155632	0.274585882704074	0.695622667119104	0.149737195941816	0	0	0	0	0	0	2.59846017175007	2.42311276794035	0	0.129504644733893	0	0	0.527931705855923	1.74664287726547	0	0	0.338329764453961	1.89852459619559	0.633402803318213	0.125130344108446	0.232185072610605	0	2.32087285816055	0	0.0939374232242214	0	0	0	0.844888989921952	1.76529090004973	3.35185116140338	2.14382054376375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
