	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
ERR4856123.fastq	40924	40924	34563	34563	34289	0.8	83.8
ERR4856124.fastq	14909	14909	13691	13691	13691	0	91.8
ERR4856125.fastq	6486	6486	5892	5892	5892	0	90.8
ERR4856126.fastq	7541	7541	7194	7194	7194	0	95.4
ERR4856127.fastq	22470	22470	19531	19531	19445	0.4	86.5
ERR4856128.fastq	29387	29387	26520	26520	26309	0.8	89.5
ERR4856129.fastq	21705	21705	20391	20391	20267	0.6	93.4
ERR4856130.fastq	12240	12240	11335	11335	11294	0.4	92.3
ERR4856131.fastq	12419	12419	11201	11201	11142	0.5	89.7
ERR4856132.fastq	27158	27158	24431	24431	24349	0.3	89.7
ERR4856133.fastq	48227	48227	43272	43272	42971	0.7	89.1
ERR4856134.fastq	69118	69118	61146	61146	60586	0.9	87.7
ERR4856135.fastq	30884	30884	27846	27846	27697	0.5	89.7
ERR4856136.fastq	37771	37771	33422	33422	33208	0.6	87.9
ERR4856137.fastq	36559	36559	32725	32725	32514	0.6	88.9
ERR4856138.fastq	41908	41908	37643	37643	37448	0.5	89.4
ERR4856139.fastq	33535	33535	29139	29139	28754	1.3	85.7
ERR4856140.fastq	18534	18534	17433	17433	17253	1	93.1
ERR4856141.fastq	29046	29046	25643	25643	25320	1.3	87.2
ERR4856142.fastq	16302	16302	13245	13245	12972	2.1	79.6
ERR4856143.fastq	41944	41944	36685	36685	36223	1.3	86.4
ERR4856144.fastq	36057	36057	32809	32809	32130	2.1	89.1
ERR4856145.fastq	39685	39685	34854	34854	34587	0.8	87.2
ERR4856146.fastq	28952	28952	26422	26422	26157	1	90.3
ERR4856147.fastq	25112	25112	22394	22394	22309	0.4	88.8
ERR4856148.fastq	46608	46608	41381	41381	41055	0.8	88.1
ERR4856149.fastq	27560	27560	24505	24505	24387	0.5	88.5
ERR4856150.fastq	27917	27917	24991	24991	24793	0.8	88.8
ERR4856151.fastq	36736	36736	32776	32776	32507	0.8	88.5
ERR4856152.fastq	54877	54877	47936	47936	47457	1	86.5
ERR4856153.fastq	40688	40688	37107	37107	36677	1.2	90.1
ERR4856154.fastq	24601	24601	22887	22887	22733	0.7	92.4
ERR4856155.fastq	25411	25411	23648	23648	23570	0.3	92.8
ERR4856156.fastq	23615	23615	21217	21217	21101	0.5	89.4
ERR4856157.fastq	18741	18741	17708	17708	17708	0	94.5
ERR4856158.fastq	27142	27142	24196	24196	24150	0.2	89
ERR4856159.fastq	27054	27054	25404	25404	25262	0.6	93.4
ERR4856160.fastq	14676	14676	13748	13748	13691	0.4	93.3
ERR4856162.fastq	28411	28411	26109	26109	26000	0.4	91.5
ERR4856163.fastq	243766	243766	201532	201532	198891	1.3	81.6
ERR4856164.fastq	39124	39124	35084	35084	34830	0.7	89
ERR4856165.fastq	29570	29570	25738	25738	25503	0.9	86.2
ERR4856166.fastq	28821	28821	26414	26414	26133	1.1	90.7
ERR4856167.fastq	46704	46704	40432	40432	39793	1.6	85.2
ERR4856168.fastq	19054	19054	17574	17574	17407	1	91.4
ERR4856169.fastq	30663	30663	27596	27596	27165	1.6	88.6
ERR4856170.fastq	25254	25254	22842	22842	22523	1.4	89.2
ERR4856171.fastq	28155	28155	25993	25993	25922	0.3	92.1
ERR4856172.fastq	46619	46619	41615	41615	41529	0.2	89.1
ERR4856173.fastq	37929	37929	33710	33710	33643	0.2	88.7
ERR4856174.fastq	29554	29554	26799	26799	26793	0	90.7
ERR4856175.fastq	31127	31127	28105	28105	28010	0.3	90
ERR4856176.fastq	37628	37628	33780	33780	33576	0.6	89.2
ERR4856177.fastq	40345	40345	36895	36895	36803	0.2	91.2
ERR4856178.fastq	29712	29712	27221	27221	27129	0.3	91.3
ERR4856179.fastq	36910	36910	32932	32932	32574	1.1	88.3
ERR4856180.fastq	26472	26472	23731	23731	23578	0.6	89.1
ERR4856181.fastq	38797	38797	34631	34631	34384	0.7	88.6
ERR4856182.fastq	18689	18689	16962	16962	16837	0.7	90.1
ERR4856183.fastq	25219	25219	23099	23099	22811	1.2	90.5
ERR4856184.fastq	83386	83386	71036	71036	70633	0.6	84.7
ERR4856185.fastq	45333	45333	41915	41915	41718	0.5	92
ERR4856186.fastq	66689	66689	56996	56996	56236	1.3	84.3
ERR4856187.fastq	30035	30035	25811	25811	25677	0.5	85.5
ERR4856188.fastq	46842	46842	40957	40957	40727	0.6	86.9
