Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,env_biome,env_feature,env_material
SRR2467275,AMPLICON,365,4438599,PRJNA293971,SAMN04012581,Metagenome or environmental,2076868,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165627,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:10:00Z,1,1B,SRP062889,faeces,human,human
SRR2467276,AMPLICON,369,4278960,PRJNA293971,SAMN04012582,Metagenome or environmental,2017463,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165629,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,1WWB,SRP062889,,,
SRR2467277,AMPLICON,371,4020944,PRJNA293971,SAMN04012583,Metagenome or environmental,1891010,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165630,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,1BKB,SRP062889,,,
SRR2467278,AMPLICON,372,4317507,PRJNA293971,SAMN04012584,Metagenome or environmental,2053103,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165631,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,6B,SRP062889,,,
SRR2467280,AMPLICON,372,4708775,PRJNA293971,SAMN04012587,Metagenome or environmental,2217797,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165632,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,6WWB,SRP062889,,,
SRR2467281,AMPLICON,371,4296128,PRJNA293971,SAMN04012588,Metagenome or environmental,2007673,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165633,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,6BKB,SRP062889,,,
SRR2467282,AMPLICON,369,4511394,PRJNA293971,SAMN04012589,Metagenome or environmental,2104597,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165634,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,8B,SRP062889,,,
SRR2467283,AMPLICON,370,4581992,PRJNA293971,SAMN04012590,Metagenome or environmental,2137150,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165635,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,8WWB,SRP062889,,,
SRR2467284,AMPLICON,370,4669454,PRJNA293971,SAMN04012591,Metagenome or environmental,2194373,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165636,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,8BKB,SRP062889,,,
SRR2467285,AMPLICON,371,4151544,PRJNA293971,SAMN04012592,Metagenome or environmental,1923082,GOTHENBURG UNIVERISITY,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1165637,Sweden,Europe,Sweden:Lund,454 GS FLX Titanium,feces,55.42 N 14.11 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-10-10T00:00:00Z,2015-09-28T17:09:00Z,1,9B,SRP062889,,,
