Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,Sample Name,sample_title,seq_methods,SRA Study,create_date,version
SRR3053238,AMPLICON,500,21740707,PRJNA306884,SAMN04370085,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14249979,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample1_BeforeRS,human,gut,fecal,SRX1501580,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_1_S130_L001_R1_001.fastq.U001_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_1,U001_1,MiSeqIllumina,SRP067761,2015-12-24T10:09:00Z,1
SRR3053239,AMPLICON,500,13385072,PRJNA306884,SAMN04370086,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8945299,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample2_BeforeRS,human,gut,fecal,SRX1501581,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_2_S274_L001_R1_001.fastq.U001_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_2,U001_2,MiSeqIllumina,SRP067761,2015-12-24T10:09:00Z,1
SRR3053240,AMPLICON,500,18738136,PRJNA306884,SAMN04370087,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12354093,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample3_BeforeRS,human,gut,fecal,SRX1501582,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_3_S10_L001_R1_001.fastq.U001_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_3,U001_3,MiSeqIllumina,SRP067761,2015-12-24T10:09:00Z,1
SRR3053241,AMPLICON,500,19270661,PRJNA306884,SAMN04370088,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12772134,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample4_BeforeRS,human,gut,fecal,SRX1501583,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_4_S215_L001_R1_001.fastq.U001_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_4,U001_4,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053242,AMPLICON,500,22148444,PRJNA306884,SAMN04370089,"MIGS/MIMS/MIMARKS.human-gut,MIMARKS.survey",14741304,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample1_DuringRS,human,gut,fecal,SRX1501584,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_5_S127_L001_R1_001.fastq.U001_5,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_5,U001_5,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053243,AMPLICON,500,14769994,PRJNA306884,SAMN04370090,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9847792,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample2_DuringRS,human,gut,fecal,SRX1501585,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_6_S6_L001_R1_001.fastq.U001_6,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_6,U001_6,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053244,AMPLICON,500,23360943,PRJNA306884,SAMN04370091,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15345643,MOTHUR,2015-02-23,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample3_DuringRS,human,gut,fecal,SRX1501586,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_7_S194_L001_R1_001.fastq.U001_7,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_7,U001_7,MiSeqIllumina,SRP067761,,
SRR3053245,AMPLICON,500,21300991,PRJNA306884,SAMN04370092,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14257068,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U001_Sample4_DuringRS,human,gut,fecal,SRX1501587,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U001_8_S172_L001_R1_001.fastq.U001_8,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U001_8,U001_8,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053246,AMPLICON,500,25969862,PRJNA306884,SAMN04370093,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17217866,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample1_BeforeRS,human,gut,fecal,SRX1501588,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_1_S256_L001_R1_001.fastq.U004_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_1,U004_1,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
SRR3053247,AMPLICON,500,32082407,PRJNA306884,SAMN04370094,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",21107891,MOTHUR,2015-02-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",U004_Sample2_BeforeRS,human,gut,fecal,SRX1501589,USA,North America,"USA: Michigan\, Ann Arbor",Homo sapiens,Illumina MiSeq,42.23 N 83.73 W,U004_2_S157_L001_R1_001.fastq.U004_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,human gut metagenome,ILLUMINA,2016-01-15T00:00:00Z,U004_2,U004_2,MiSeqIllumina,SRP067761,2015-12-24T10:08:00Z,1
