	SRR10022092	SRR10022093	SRR10022095	SRR10022096	SRR10022097	SRR10022098	SRR10022099	SRR10022100	SRR10022101	SRR10022102	SRR10022103	SRR10022104	SRR10022105	SRR10022106	SRR10022107	SRR10022108	SRR10022109	SRR10022110	SRR10022111	SRR10022112	SRR10022113	SRR10022114	SRR10022115	SRR10022116	SRR10022117	SRR10022118	SRR10022119	SRR10022120	SRR10022121	SRR10022122	SRR10022123	SRR10022124	SRR10022125	SRR10022126	SRR10022127	SRR10022128	SRR10022129	SRR10022130	SRR10022131	SRR10022132	SRR10022133	SRR10022134	SRR10022135	SRR10022136	SRR10022137	SRR10022138	SRR10022139	SRR10022141	SRR10022142	SRR10022143	SRR10022144	SRR10022145	SRR10022146	SRR10022147	SRR10022148	SRR10022149	SRR10022150	SRR10022151	SRR10022152	SRR10022153	SRR10022154	SRR10022155	SRR10022156	SRR10022157	SRR10022158	SRR10022159	SRR10022160	SRR10022161	SRR10022162	SRR10022163	SRR10022164	SRR10022165	SRR10022166	SRR10022167	SRR10022168	SRR10022169	SRR10022170	SRR10022171	SRR10022172	SRR10022173	SRR10022174	SRR10022175	SRR10022176	SRR10022177	SRR10022178	SRR10022179	SRR10022180	SRR10022181	SRR10022182	SRR10022183	SRR10022184	SRR10022185	SRR10022186	SRR10022187	SRR10022188	SRR10022189	SRR10022190	SRR10022191	SRR10022192	SRR10022193	SRR10022194	SRR10022195	SRR10022196	SRR10022197	SRR10022198	SRR10022199	SRR10022200	SRR10022201	SRR10022202	SRR10022203	SRR10022204	SRR10022205	SRR10022206	SRR10022207	SRR10022208	SRR10022209	SRR10022210	SRR10022211	SRR10022212	SRR10022213	SRR10022214	SRR10022215	SRR10022216	SRR10022217	SRR10022218	SRR10022219	SRR10022220	SRR10022221	SRR10022222	SRR10022223	SRR10022224	SRR10022225	SRR10022226	SRR10022227	SRR10022228	SRR10022229	SRR10022230	SRR10022231	SRR10022232	SRR10022233	SRR10022234	SRR10022235	SRR10022236	SRR10022237	SRR10022238	SRR10022239	SRR10022240	SRR10022241	SRR10022242	SRR10022243	SRR10022244	SRR10022245	SRR10022246	SRR10022247	SRR10022248	SRR10022249	SRR10022250	SRR10022251	SRR10022252	SRR10022253	SRR10022254	SRR10022255	SRR10022256	SRR10022257	SRR10022258	SRR10022259	SRR10022260	SRR10022261	SRR10022262	SRR10022263	SRR10022264	SRR10022265	SRR10022266	SRR10022267	SRR10022268	SRR10022269	SRR10022270	SRR10022271	SRR10022272	SRR10022273	SRR10022274	SRR10022275	SRR10022276	SRR10022277	SRR10022278	SRR10022279	SRR10022280	SRR10022281	SRR10022282	SRR10022283	SRR10022284	SRR10022285	SRR10022286	SRR10022287	SRR10022288	SRR10022289	SRR10022291
ASV_1	3035	3070	3487	2881	2484	3394	2078	4594	3652	4474	3072	5041	5125	4752	3135	1248	3616	2507	2934	2242	2112	1962	2822	4642	2157	1576	980	4220	2190	3317	4631	5782	4500	5566	5512	3178	8027	3886	1240	262	2972	1159	982	4021	4828	2648	6114	8123	1896	1957	2767	5648	6029	9058	1530	874	1761	3549	1844	2746	4088	5916	2534	4666	9227	12980	4776	2220	4139	5259	3804	4262	8437	798	4773	3851	2775	5222	3254	1891	1692	1451	2052	1366	9928	7473	6665	5625	4525	4887	6453	6866	5162	8426	272	2160	899	2284	1849	1885	7535	5756	6084	6518	6448	3695	3831	6826	5129	5453	5391	6728	6792	4705	5398	6911	7471	8020	11327	1317	5905	7317	7135	6863	6999	2985	1833	6551	3288	2675	5530	4856	3309	1179	5573	6494	7467	6822	5563	4055	7320	5731	3058	3891	2161	4928	3189	2030	2087	3669	3458	3184	9693	2983	1536	3019	1849	2392	3975	5123	4596	5851	1462	6423	4390	4827	5495	5621	3912	5852	8585	6128	7224	4214	3919	3257	3618	4604	3338	4381	4610	406	1609	4509	5392	4492	3865	4250	3491	3696	5060	4585	6878	5179	5448	3883	2942
ASV_2	2312	5164	1689	1665	1148	763	1866	8756	9589	3713	746	3498	3007	2985	3820	3435	4562	2201	1442	1825	966	1122	34	238	1105	474	81	609	1042	1082	1492	2775	2763	2262	1493	425	187	477	39	21	4107	4578	2132	3513	4045	1933	12615	8111	3635	1578	1947	21	26	36	2172	2555	2012	1244	503	1666	6170	3277	3148	3007	415	150	2676	2535	1808	2836	2808	4824	24127	192	2824	1164	19	83	1294	4898	1408	376	1207	46	4029	8191	4419	1252	5942	2700	3744	9503	12072	4649	113	0	18	0	0	66	3048	9952	12720	9189	8964	1131	2169	1742	2380	4355	1199	1141	1712	3432	5982	3401	728	6026	2354	170	4067	2786	2006	2546	3174	857	6127	10633	18282	15643	3841	1074	2112	990	6079	3384	3384	2983	3983	3060	2497	3285	1814	91	1366	1567	4019	3468	522	1688	6082	3050	1537	4284	18775	6817	7093	4100	6555	9351	5732	8704	9227	2277	764	1027	4971	6161	2299	2956	13788	11689	12666	3808	8982	9931	7526	13908	8088	8701	9832	9002	19381	7132	73	3203	7006	12090	11116	8180	1058	2201	7258	8722	27224	2667	2850
ASV_3	7054	7074	2154	3238	3650	4774	1679	1940	2683	790	3481	0	27	0	0	0	718	0	0	0	0	0	5808	8830	7141	6647	858	0	0	16	35	17	0	45	18	1779	3402	0	14	0	8681	10157	13853	85	280	3069	1420	3663	4466	6947	3325	7087	10130	15028	0	13	15	0	13	14	0	0	398	441	2357	0	2395	15701	20	156	2380	2802	2545	18	6354	3300	1710	13280	1764	0	13	15	20	0	25	12	2133	634	0	0	0	0	0	0	0	0	0	0	0	25	831	1058	179	344	318	119	38	0	17	60	195	126	1661	719	18	0	0	0	45	24	416	409	530	2848	1205	36	26	14	23	27	0	23	25	39	18	2080	1502	2304	0	0	48	15	0	0	0	9	58	7299	6349	6533	3446	6766	0	7597	6110	4541	1772	3054	986	1377	808	1484	861	86	9	240	32	22	8698	13342	12898	19742	14575	1415	5353	6681	5127	1531	2684	1874	332	1270	724	151	769	2446	8254	10016	5462	12607	0	10	15	10	88	2855	4358
ASV_4	65	0	967	1823	2099	1071	799	893	353	869	693	4930	2252	2351	1983	515	1266	1621	3913	1370	1604	922	1281	1075	292	1262	124	3896	308	2725	487	559	1701	1288	5268	1133	1141	3699	4440	5009	1241	3258	823	323	1268	773	3535	13652	127	319	98	1540	2086	2600	6139	5458	6354	6976	4131	7318	2381	3289	1283	532	2107	19078	6447	1786	3299	2621	1124	9150	22379	759	343	173	1763	1745	2059	3252	7030	4292	4745	1400	1199	1496	700	1550	9848	3384	1344	667	1246	1856	1101	4033	2575	3008	3315	4880	1506	3504	2601	1040	1115	2277	4109	1602	1474	112	76	54	112	136	1029	1825	1372	864	1230	1443	351	195	407	85	89	2775	1146	1560	4230	411	825	2353	3922	455	2686	1007	1025	1425	5770	1715	4755	6385	1469	4775	1801	4277	2135	0	0	0	0	0	1423	0	96	0	176	101	1021	1138	748	564	1243	1334	1860	1863	5303	1888	822	529	1254	328	973	6006	1036	160	284	568	339	881	981	510	1072	1281	1217	1073	180	136	1720	515	0	0	0	0	0	3081	0
ASV_5	4285	4825	1481	2860	2552	2983	1497	749	615	260	1510	9234	6180	5727	8014	9200	323	4171	1558	1455	1117	585	345	1116	1060	923	64	587	7194	878	6490	11828	11785	21212	0	45	34	613	322	2834	1154	2832	1008	438	1643	1162	697	712	412	1186	493	139	100	122	909	427	1216	19	0	0	15	0	187	509	11	1477	1017	781	1020	1786	743	1502	271	0	1492	888	213	195	1163	974	4231	0	6	16	0	0	516	197	13	3125	3631	7972	4604	6395	0	3747	2460	3722	5299	7199	2309	2845	1434	612	1704	201	118	709	900	41	53	83	218	112	0	0	0	0	17	0	76	317	80	263	200	263	985	221	433	4233	602	10762	10821	19077	0	693	427	1375	12	21	11	0	425	1090	244	138	204	478	776	882	831	1245	152	1689	1242	2687	522	910	473	766	227	695	117	197	1015	0	7885	10202	3715	3927	2028	1237	1900	770	3252	4361	5588	1435	3036	1510	409	2340	1802	238	23	920	2416	717	1095	2905	1448	2200	4055	2011	1514	294	2799
ASV_6	28	24	1061	1254	1149	1209	1186	2241	2081	1600	2440	1071	1560	1217	159	25	284	543	1492	1077	901	641	1716	1132	187	1470	156	2436	1590	1953	1564	1594	1970	2694	6079	786	1261	3267	1427	3014	3012	5706	1618	877	665	1036	0	17	2655	4204	1334	641	534	471	2608	2267	1966	1400	1074	1013	231	761	756	1915	1037	2053	1259	2509	1715	1302	1213	16	23	7555	2384	2973	1847	373	3396	2853	1301	1424	834	10804	1296	979	884	780	5845	1989	3651	2661	3127	5705	9121	1193	751	1169	894	651	43	41	18	17	39	2370	3698	1835	527	106	54	80	97	40	660	2283	2139	992	974	11851	946	973	1513	516	1005	2507	3961	2488	791	269	774	1015	2289	692	422	441	972	805	2694	3561	3484	4271	395	5703	1145	3699	2549	622	1724	525	6530	1378	746	177	28	36	253	249	1784	1840	1411	1274	494	648	1672	1751	2396	1792	3314	1916	1922	662	1561	854	107	0	0	0	35	15	0	0	0	0	2432	38	56	0	56	150	754	448	1050	1031	167	465	51
ASV_7	628	680	1524	2361	2234	2161	1014	675	1485	1414	1125	6568	877	578	886	1072	2757	1402	947	725	431	528	263	341	1135	245	255	1753	486	2925	1407	496	322	1145	1513	3792	6119	3066	209	102	823	1900	931	791	1825	1008	1492	0	827	762	726	897	1841	1888	1853	216	895	869	741	338	1670	2632	834	740	4658	181	2413	1165	944	1911	812	2061	343	279	651	1499	1137	1078	1536	2275	266	433	609	703	2083	2217	1138	378	1049	1312	2320	1792	1834	648	163	228	116	156	190	249	8810	7951	2699	7526	6077	1172	2223	4803	875	256	1090	148	385	210	2499	1332	2235	3010	1845	669	1069	708	1039	1423	1108	2030	3428	2619	776	3012	1053	979	542	434	1147	664	866	936	2683	1739	1819	1061	985	1193	1604	2577	2251	1407	2130	4001	1419	2146	1054	143	526	267	651	1709	1371	781	710	1510	488	959	990	1662	621	1676	0	581	1055	2846	1175	3313	1459	1203	1659	3835	1564	2193	1847	377	2949	1295	2417	908	1011	1431	1067	971	2061	3813	1988	2392	1971	1410	165
ASV_8	53	280	1881	2219	976	2412	1043	102	1425	381	60	165	106	625	1176	426	684	206	697	248	148	204	695	2814	2499	1352	523	297	231	543	1134	1605	2843	817	1017	6117	2728	5076	3576	2959	5325	653	517	33	268	138	474	138	270	164	302	3116	7465	5714	1642	3274	1419	1229	114	261	587	2186	492	162	5694	1688	324	131	850	215	93	716	949	475	275	454	620	3197	2665	87	1021	674	342	202	1229	86	1607	1086	780	1607	7474	2404	858	1742	102	1974	2462	3106	1368	3783	0	348	291	67	93	556	1067	2821	2384	190	265	464	80	62	10061	2457	670	920	236	219	767	516	340	368	1410	568	186	2286	312	2455	3129	1286	304	325	914	2804	2785	1032	1875	153	320	3896	2590	967	896	537	599	46	17	99	179	727	3164	177	340	1295	616	161	992	2645	697	2705	4385	2511	1344	1348	833	1317	0	0	0	0	0	227	29	28	40	97	74	490	732	98	262	468	1736	1009	534	773	937	884	16610	9566	13759	9824	7404	214	485
ASV_9	62	70	1612	1645	2179	2038	812	18	0	0	0	22	0	0	0	15	1110	1853	1231	1299	1294	1422	721	326	677	466	0	0	0	1866	0	32	35	25	751	547	7295	7272	1905	1351	1481	905	69	0	0	0	0	0	2848	1931	1948	1806	2928	1867	2820	5044	3420	1878	2000	2204	15119	17101	807	0	4810	70	1429	30	0	0	0	0	0	1067	650	1406	5410	1059	826	3191	832	2035	2445	268	140	12111	3662	2139	3565	0	0	0	0	0	332	3096	2883	2804	4074	3043	0	0	0	0	0	942	456	0	1086	0	0	30	29	29	3151	2140	1390	0	37	476	0	2281	1846	291	881	1506	2635	1420	755	67	1255	0	0	0	12641	6093	2581	3630	4876	5338	2401	3547	939	23	0	181	803	0	0	0	0	0	843	3566	256	1083	1800	899	1100	1319	628	1694	148	2062	1767	1832	0	0	0	0	0	0	0	1079	0	0	0	0	0	0	0	0	42	15	1458	1400	6464	5399	1557	5721	0	0	40	0	88	1131	257
ASV_10	594	490	1009	685	768	908	711	2699	2666	3616	4363	0	33	0	0	0	3372	4811	2068	2698	2650	1660	891	1218	722	1021	63	303	994	669	2960	3405	4061	4765	900	4149	1865	1549	1031	2849	2638	3333	826	548	1114	1144	1025	579	1551	705	837	565	747	382	1594	561	716	775	738	423	671	2219	1892	3838	2066	1148	2656	631	0	874	973	395	636	210	961	1454	1210	177	2147	1293	663	827	1026	135	2851	4150	239	97	1853	696	538	535	464	423	51	0	0	0	0	0	1073	712	1205	1346	1458	369	741	1475	659	3233	2427	2424	3405	2964	3052	4349	4283	4931	4274	354	75	56	77	24	45	371	1211	110	870	296	669	2022	1985	2052	2253	94	106	147	1870	2068	1750	2602	629	1364	143	526	482	315	300	486	931	1438	1882	454	499	584	608	649	438	701	825	1032	159	1655	1367	686	1064	1857	374	330	470	354	399	3416	2410	3538	2983	1994	1900	0	0	0	0	0	683	1928	2052	1387	1207	2534	3694	2586	2422	1895	1877	2275	533
