Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diet (run),Diet,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,Sample Name,source_material_id,SRA Study,StudyID (run),studyid,Acetate (run),Butyrate (run),Propionate (run)
SRR16937037,AMPLICON,463,24927346,PRJNA780023,SAMN23100903,Metagenome or environmental,16964208,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Ref,Ref,SRX13129243,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_145,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:27:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_145,DC_01_145,SRP345891,POT 022,POT 022,88.48,7.65,13.61
SRR16937038,AMPLICON,463,21154970,PRJNA780023,SAMN23100902,Metagenome or environmental,14422006,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Ref,Ref,SRX13129242,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_174,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:27:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_174,DC_01_174,SRP345891,POT 021,POT 021,88.9,19.42,16.07
SRR16937075,AMPLICON,463,12986275,PRJNA780023,SAMN23100868,Metagenome or environmental,8627795,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",BL,BL,SRX13129205,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_022,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_022,DC_01_022,SRP345891,POT 015,POT 015,62.2,10.6,10.8
SRR16937082,AMPLICON,463,18670576,PRJNA780023,SAMN23100862,Metagenome or environmental,12609189,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Pot,Pot,SRX13129198,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_126,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_126,DC_01_126,SRP345891,POT 013,POT 013,49.8,6.69,6.42
SRR16937083,AMPLICON,463,20217263,PRJNA780023,SAMN23100861,Metagenome or environmental,13533820,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Pot,Pot,SRX13129197,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_108,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_108,DC_01_108,SRP345891,POT 013,POT 013,94.69,12.38,8.72
SRR16937084,AMPLICON,463,27931961,PRJNA780023,SAMN23100860,Metagenome or environmental,18762837,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Ref,Ref,SRX13129196,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_104,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_104,DC_01_104,SRP345891,POT 013,POT 013,75.19,14.49,12.33
SRR16937085,AMPLICON,463,25980839,PRJNA780023,SAMN23100859,Metagenome or environmental,17438214,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Ref,Ref,SRX13129195,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_103,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_103,DC_01_103,SRP345891,POT 013,POT 013,73.66,11.61,15.05
SRR16937086,AMPLICON,463,27116243,PRJNA780023,SAMN23100858,Metagenome or environmental,18008868,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",BL,BL,SRX13129194,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_012,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_012,DC_01_012,SRP345891,POT 013,POT 013,67.7,7.8,15.2
SRR16937087,AMPLICON,463,13718858,PRJNA780023,SAMN23100857,Metagenome or environmental,9322806,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Ref,Ref,SRX13129193,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_131,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_131,DC_01_131,SRP345891,POT 012,POT 012,79.6,8,25.7
SRR16937088,AMPLICON,463,21283557,PRJNA780023,SAMN23100856,Metagenome or environmental,14442188,PENN STATE UNIVERSITY,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Ref,Ref,SRX13129192,USA,North America,USA:State College,Homo sapiens,Illumina MiSeq,fecal sample,40.7934 N 77.8600 W,DC_01_127,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,anaerobe,2022-07-13T00:00:00Z,2021-11-12T19:28:00Z,1,Zymo Research DNA/RNA shield Fecal Collection Tube,DC_01_127,DC_01_127,SRP345891,POT 012,POT 012,74.4,7.01,16.7
