	dinput	filter	forwd	length	nonchim	chim_perc	retained_perc
SRR16937037_1.fastq	53815	53813	52910	52910	47038	11.1	87.4
SRR16937038_1.fastq	45672	45669	44452	44452	41001	7.8	89.8
SRR16937039_1.fastq	39684	39683	38655	38655	35058	9.3	88.3
SRR16937040_1.fastq	47909	47909	46682	46682	40434	13.4	84.4
SRR16937041_1.fastq	34231	34226	33155	33155	29583	10.8	86.4
SRR16937042_1.fastq	30477	30474	29653	29653	28712	3.2	94.2
SRR16937043_1.fastq	53071	53069	51948	51948	42848	17.5	80.7
SRR16937044_1.fastq	49435	49428	48120	48120	42800	11.1	86.6
SRR16937045_1.fastq	47306	47300	46000	46000	39820	13.4	84.2
SRR16937046_1.fastq	56837	56828	55508	55508	44263	20.3	77.9
SRR16937047_1.fastq	58492	58489	57352	57352	51529	10.2	88.1
SRR16937048_1.fastq	31102	31100	30270	30270	26965	10.9	86.7
SRR16937049_1.fastq	29809	29807	28992	28992	22598	22.1	75.8
SRR16937050_1.fastq	40200	40197	39204	39204	32982	15.9	82
SRR16937051_1.fastq	25221	25221	24569	24569	17878	27.2	70.9
SRR16937052_1.fastq	31485	31484	30864	30864	22563	26.9	71.7
SRR16937053_1.fastq	34610	34609	33833	33833	25262	25.3	73
SRR16937054_1.fastq	18447	18443	17930	17930	14877	17	80.6
SRR16937055_1.fastq	50391	50387	49491	49491	41819	15.5	83
SRR16937056_1.fastq	23630	23626	23062	23062	17655	23.4	74.7
SRR16937057_1.fastq	93957	93957	92626	92626	77371	16.5	82.3
SRR16937058_1.fastq	47077	47075	45952	45952	38762	15.6	82.3
SRR16937059_1.fastq	81715	81711	80778	80778	59705	26.1	73.1
SRR16937060_1.fastq	52606	52599	51436	51436	40574	21.1	77.1
SRR16937061_1.fastq	49066	49066	47981	47981	36431	24.1	74.2
SRR16937062_1.fastq	35911	35909	35200	35200	26825	23.8	74.7
SRR16937063_1.fastq	46396	46395	45541	45541	33999	25.3	73.3
SRR16937064_1.fastq	63796	63787	62419	62419	44837	28.2	70.3
SRR16937065_1.fastq	25956	25956	25311	25311	20808	17.8	80.2
SRR16937066_1.fastq	62865	62860	61323	61323	50402	17.8	80.2
SRR16937067_1.fastq	39069	39066	38001	38001	29490	22.4	75.5
SRR16937068_1.fastq	54984	54983	53980	53980	44190	18.1	80.4
SRR16937069_1.fastq	77436	77434	75815	75815	63643	16.1	82.2
SRR16937070_1.fastq	56896	56892	55533	55533	49768	10.4	87.5
SRR16937071_1.fastq	26473	26465	25702	25702	20033	22.1	75.7
